model_a,R2_task5_subsampled,R2_task6_full_vocab,delta,gcorr_E_cos
Qwen3.5-0.8B-Base,0.997949276132325,0.9978601039448638,-8.917218746118394e-05,0.9994655435143891
Qwen3.5-4B-Base,0.9974521882021828,0.9971758936229157,-0.0002762945792671445,0.9996167128093348
Qwen3.5-2B-Base,0.9968726611951201,0.9965920500316764,-0.0002806111634436892,0.9995466729381094
Qwen3-0.6B-Base,0.9886933968942051,0.9876894506828213,-0.0010039462113837772,0.989602742155382
Qwen3-1.7B-Base,0.9943875669804451,0.9938152314061097,-0.0005723355743353364,0.9947217369919181
Qwen3-4B-Base,0.9910817631256006,0.9901264236933547,-0.0009553394322459052,0.9972287933955417
Qwen2.5-0.5B,0.9905606041393752,0.9902607098733518,-0.00029989426602339275,0.9980068702339273
Qwen3-14B-Base,0.9965326171129416,0.9955615155647812,-0.0009711015481603802,0.993438959771175
Qwen3-8B-Base,0.9964203306085269,0.9956756144661487,-0.0007447161423781434,0.9940134077706431
Qwen2.5-1.5B,0.9997003455771837,0.9996813415065288,-1.9004070654915495e-05,0.9996698821311473
Qwen3.5-9B-Base,0.9988242369016843,0.99859045379887,-0.00023378310281430004,0.9984136182902994
Qwen2.5-3B,0.9997533878454463,0.9997321531880566,-2.1234657389679334e-05,0.9996624903142762
Qwen2.5-14B,0.9998726794708847,0.9998389456857062,-3.373378517845804e-05,0.9998070599536659
Llama-3.2-1B,0.9771369890716294,0.9753091845405636,-0.0018278045310657909,0.9814589202571341
Llama-3.1-8B,0.9986638286416245,0.9984405304987342,-0.0002232981428903491,0.9977256757940257
Llama-3.2-3B,0.981714296363779,0.9795068249326268,-0.002207471431152297,0.9863011898730909
Qwen2.5-7B,0.9997634430154076,0.9997231554449361,-4.02875704715866e-05,0.999673037779141
Llama-3.1-70B-Base,0.9990050579993027,0.998559589191473,-0.00044546880782969644,0.9986162303743085
Gemma-3-4B,0.9620378988805497,0.9578971652648591,-0.004140733615690562,0.9791577562059511
Gemma-2-9B,0.9925007889030121,0.9911235620291692,-0.001377226873842896,0.9985101925184453
Qwen2.5-32B,0.9999020237038979,0.9998761118536126,-2.5911850285331717e-05,0.9998459028997402
Gemma-2-2B,0.9993931607493383,0.9993343784311904,-5.878231814782087e-05,0.9997445760900497
Qwen2.5-72B-Base,0.9998033576052273,0.9996872170493445,-0.00011614055588282657,0.9997488564888981
Gemma-3-12B,0.9721059497073392,0.9672602427168877,-0.004845706990451504,0.9883863310411382
Gemma-4-E2B,0.6877371339071265,0.6682147154762776,-0.019522418430848898,0.8465831222913
Gemma-4-E4B,0.7515635496976871,0.7246885825165021,-0.026874967181184983,0.7880055837518973
Gemma-3-1B,0.40376625159333257,0.3750754435930015,-0.02869080800033108,0.7773450589717976
Gemma-4-26B-A4B,0.7398660052020842,0.707135105591586,-0.03273089961049824,0.8121912346884834
Gemma-3-27B,0.9769735248828407,0.9707730427305877,-0.006200482152252995,0.9898735731863937
Gemma-2-27B,0.998030175136156,0.9976057471139504,-0.00042442802220554743,0.9981624962631662
Gemma-4-31B,0.8251545596746241,0.7759188286655657,-0.049235731009058425,0.9510416254762479
