model_a,model_b,hidden_dim,vocab,rank_frac,rank_affine,rank_delta_param_matched,rank_delta_no_overbudget,affine_params_with_bias,delta_params_with_bias,delta_no_overbudget_params_with_bias,delta_over_affine_params,delta_no_overbudget_over_affine_params,full_hh_params,affine_params_over_full_hh,identity_R2,full_affine_R2,reported_full_affine_R2,rank_affine_R2,param_matched_delta_R2,no_overbudget_delta_R2,rank_affine_update_gain,param_matched_delta_update_gain,no_overbudget_delta_update_gain,rank_affine_gain_over_delta_gain,rank_affine_gain_over_no_overbudget_delta_gain,rank_affine_fraction_of_full_affine_gain,A_I_energy_at_rank_affine,pred_energy_at_rank_affine,delta_energy_at_param_matched_rank,delta_energy_at_no_overbudget_rank,delta_energy_at_same_rank_not_param_matched,full_affine_update_gain,centered_delta_over_Yc_energy
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.001,2,1,0,5120,250368,1024,48.9,0.2,1048576,0.0048828125,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9976276566431449,0.9976239517549904,0.9975700738204689,0.023697354743121908,0.022172663093756904,0.0,1.0687644800679945,inf,0.19854089219330856,0.20685566289372598,0.19854089219330856,0.022172663093756904,0.0,0.040208192809212756,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.002,3,1,0,7168,250368,1024,34.92857142857143,0.14285714285714285,1048576,0.0068359375,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9976419131776304,0.9976239517549904,0.9975700738204689,0.029564419597039277,0.022172663093756904,0.0,1.333372516960475,inf,0.2476962643130956,0.274858849597662,0.2476962643130956,0.022172663093756904,0.0,0.05209568107515222,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.005,6,1,0,13312,250368,1024,18.807692307692307,0.07692307692307693,1048576,0.0126953125,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9976685875979273,0.9976239517549904,0.9975700738204689,0.0405418807732487,0.022172663093756904,0.0,1.8284623999299372,inf,0.3396674973712753,0.37211964772584294,0.3396674973712753,0.022172663093756904,0.0,0.08024967381011448,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.01,11,1,0,23552,250368,1024,10.630434782608695,0.043478260869565216,1048576,0.0224609375,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9976938414098829,0.9976239517549904,0.9975700738204689,0.05093471170300688,0.022172663093756904,0.0,2.2971851187938013,inf,0.42674058833756967,0.4591240739704044,0.42674058833756967,0.022172663093756904,0.0,0.11299538606541475,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.02,21,1,0,44032,250368,1024,5.686046511627907,0.023255813953488372,1048576,0.0419921875,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9977237365765292,0.9976239517549904,0.9975700738204689,0.06323762316514236,0.022172663093756904,0.0,2.852053580471712,inf,0.5298166930229092,0.5600418310318968,0.5298166930229092,0.022172663093756904,0.0,0.15831220135165625,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.05,52,1,0,107520,250368,1024,2.3285714285714287,0.009523809523809525,1048576,0.1025390625,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9977667178295634,0.9976239517549904,0.9975700738204689,0.08092591896450287,0.022172663093756904,0.0,3.6498060076188574,inf,0.6780125599225044,0.6928039946131992,0.6780125599225044,0.022172663093756904,0.0,0.2511858575576362,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.1,103,1,0,211968,250368,1024,1.181159420289855,0.004830917874396135,1048576,0.2021484375,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9977939910051704,0.9976239517549904,0.9975700738204689,0.09214978898850619,0.022172663093756904,0.0,4.156009072922438,inf,0.7720482526225151,0.780064587660132,0.7720482526225151,0.022172663093756904,0.0,0.3524367475437332,0.11935755139071841,0.0024299261795311103
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.001,3,1,0,17920,253440,2560,14.142857142857142,0.14285714285714285,6553600,0.002734375,0.9967907101000678,0.997175886644525,0.9971758936229157,0.9968644960847659,0.9968543743630769,0.9967907101000678,0.022991374104168297,0.019837492091447625,0.0,1.1589859241370728,inf,0.19156406525756725,0.17116629226269783,0.19156406525756725,0.019837492091447625,0.0,0.03569361304899327,0.12001924303107303,0.0032092898999321936
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.002,6,1,0,33280,253440,2560,7.615384615384615,0.07692307692307693,6553600,0.005078125,0.9967907101000678,0.997175886644525,0.9971758936229157,0.9968860220270437,0.9968543743630769,0.9967907101000678,0.02969875889924047,0.019837492091447625,0.0,1.4971024947273577,inf,0.2474499767637382,0.23436207620862579,0.2474499767637382,0.019837492091447625,0.0,0.0502958245514754,0.12001924303107303,0.0032092898999321936
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.005,13,1,0,69120,253440,2560,3.6666666666666665,0.037037037037037035,6553600,0.010546875,0.9967907101000678,0.997175886644525,0.9971758936229157,0.9969167921706129,0.9968543743630769,0.9967907101000678,0.03928659437956983,0.019837492091447625,0.0,1.9804214261795288,inf,0.3273357953890653,0.3256817222873188,0.3273357953890653,0.019837492091447625,0.0,0.07448970829950559,0.12001924303107303,0.0032092898999321936
