model_a,model_b,family,is_anomaly,hidden_dim,actual_tied,E_R2,E_rel_err,E_rel_A_minus_I,E_identity_cosine,E_offdiag_over_A,E_delta_rank95,E_delta_rank95_over_h,A_I_rank95,A_I_rank95_over_h,E_delta_eff_rank_over_h,A_I_eff_rank_over_h,E_delta_energy_5pct_h,A_I_energy_5pct_h,gcorr_E_cos_task1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,Qwen,False,1024,True,0.9978601039448638,0.041508592705581715,0.017749600112438202,0.9998884797096252,0.014550634417623274,872.0,0.8515625,485.0,0.4736328125,0.6262705978249011,0.11992288905600272,0.2723273038864136,0.6928040385246277,0.9994655435143891
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,Qwen,False,2560,True,0.9971758936229157,0.04921549394903286,0.020147343482795184,0.9998533725738525,0.016793995709169833,2172.0,0.8484375,1176.0,0.459375,0.5937531101050065,0.13498829013492747,0.2739056944847107,0.6483452320098877,0.9996167128093348
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,Qwen,False,2048,True,0.9965920500316764,0.05259347706799539,0.021989225224206134,0.9998252391815186,0.018277623370494288,1738.0,0.8486328125,949.0,0.46337890625,0.5895644039641186,0.12960389074700313,0.2732696533203125,0.6698179841041565,0.9995466729381094
Qwen3-0.6B-Base,Qwen3-0.6B,Qwen,False,1024,True,0.9876894506828213,0.10501672906060505,0.07291886955499649,0.9982119202613831,0.056295170224426205,849.0,0.8291015625,620.0,0.60546875,0.35052052675774925,0.1332202081377038,0.41843727231025696,0.6687540411949158,0.989602742155382
Qwen3-1.7B-Base,Qwen3-1.7B,Qwen,False,2048,True,0.9938152314061097,0.07666905511526717,0.05851603119637335,0.9986376762390137,0.050909054629747166,1691.0,0.82568359375,1060.0,0.517578125,0.346705714441788,0.024855187988760123,0.4067821204662323,0.775377631187439,0.9947217369919181
Qwen3-4B-Base,Qwen3-4B,Qwen,False,2560,True,0.9901264236933547,0.09535315703089524,0.06448034292855058,0.9984342455863953,0.054364161773044754,2109.0,0.823828125,1320.0,0.515625,0.34642478973559,0.06464562741817045,0.40416908264160156,0.7165668606758118,0.9972287933955417
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,Qwen,False,896,True,0.9902607098733518,0.09075993605795823,0.05646374614653687,0.9989098906517029,0.04518987888865851,798.0,0.890625,583.0,0.6506696428571429,0.30857069738518417,0.11028632324627281,0.36254245042800903,0.6658024787902832,0.9980068702339273
Qwen3-14B-Base,Qwen3-14B,Qwen,False,5120,False,0.9955615155647812,0.06596673223274885,0.0378302758138912,0.9993573427200317,0.03584300092134066,2860.0,0.55859375,2031.0,0.3966796875,0.3626955222452118,0.28352010292183,0.40855878591537476,0.45386937260627747,0.993438959771175
Qwen3-8B-Base,Qwen3-8B,Qwen,False,4096,False,0.9956756144661487,0.06522749840514055,0.025052404031157494,0.9997735619544983,0.021279340335047966,2971.0,0.725341796875,2287.0,0.558349609375,0.5364761925989463,0.41849617525872673,0.28411728143692017,0.3427428603172302,0.9940134077706431
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,Qwen,False,1536,True,0.9996813415065288,0.016913823343246637,0.018933525417450473,0.9998307228088379,0.01813976174387699,887.0,0.5774739583333334,98.0,0.06380208333333333,0.013776405866185499,0.004444958119358181,0.7910254597663879,0.9448009133338928,0.9996698821311473
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,Qwen,False,4096,False,0.99859045379887,0.03733226311733783,0.006728323642164469,0.9999858140945435,0.005324950591755765,3586.0,0.87548828125,2558.0,0.62451171875,0.7890533938841842,0.5920556529056361,0.18647752702236176,0.2058858722448349,0.9984136182902994
Qwen2.5-3B,Qwen2.5-3B-Instruct,Qwen,False,2048,True,0.9997321531880566,0.015751736741179096,0.017851907499003557,0.9998486042022705,0.017225763530695232,1290.0,0.6298828125,120.0,0.05859375,0.017504440258645358,0.0030329998802935735,0.7550369501113892,0.946907103061676,0.9996624903142762
Qwen2.5-14B,Qwen2.5-14B-Instruct,Qwen,False,5120,False,0.9998389456857062,0.012664014942282946,0.0075125333983222355,0.999972403049469,0.007430664116184973,2637.0,0.5150390625,1567.0,0.3060546875,0.356148085122172,0.2347021428559195,0.3897538483142853,0.4830276072025299,0.9998070599536659
Llama-3.2-1B,Llama-3.2-1B-Instruct,Llama,False,2048,True,0.9753091845405636,0.14612316884089588,0.11137755690282813,0.9960187077522278,0.08814029398744913,1674.0,0.8173828125,1309.0,0.63916015625,0.20522405361201093,0.18798575656309743,0.49393826723098755,0.607408344745636,0.9814589202571341
Llama-3.1-8B,Llama-3.1-8B-Instruct,Llama,False,4096,False,0.9984405304987342,0.039173675876945015,0.00943620316684246,0.9999679327011108,0.008017456370773174,3647.0,0.890380859375,2489.0,0.607666015625,0.8688705918577491,0.580856805441598,0.14328151941299438,0.2007552832365036,0.9977256757940257
Llama-3.2-3B,Llama-3.2-3B-Instruct,Llama,False,3072,True,0.9795068249326268,0.13234853071842556,0.09923525209386531,0.996907114982605,0.07720117169912913,2506.0,0.8157552083333334,1945.0,0.6331380208333334,0.22592770818340777,0.20203483870956204,0.4747985601425171,0.5818513035774231,0.9863011898730909
Qwen2.5-7B,Qwen2.5-7B-Instruct,Qwen,False,3584,False,0.9997231554449361,0.016554796708317956,0.006701234082393903,0.9999781847000122,0.006606696115047719,1761.0,0.49135044642857145,1146.0,0.3197544642857143,0.32557202822898235,0.23525661475030837,0.40730199217796326,0.48527228832244873,0.999673037779141
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,Llama,False,8192,False,0.998559589191473,0.037787376095809455,0.013432947409893979,0.9999215006828308,0.012535933302403246,7011.0,0.8558349609375,4577.0,0.5587158203125,0.7712371220882216,0.5062133413625489,0.1912163645029068,0.25083088874816895,0.9986162303743085
Gemma-3-4B,Gemma-3-4B-Instruct,Gemma,False,2560,True,0.9578971652648591,0.20166181281103407,0.05289181983255705,0.9986153841018677,0.05089956950259849,2329.0,0.909765625,1085.0,0.423828125,0.6644274133306775,0.09481517072128759,0.21285511553287506,0.7054887413978577,0.9791577562059511
Gemma-2-9B,Gemma-2-9B-Instruct,Gemma,False,3584,True,0.9911235620291692,0.08279755004293941,0.05105314167415646,0.998698353767395,0.0506666699240578,3123.0,0.8713727678571429,941.0,0.26255580357142855,0.15191909061976205,0.02523200934024335,0.46468037366867065,0.843457043170929,0.9985101925184453
Qwen2.5-32B,Qwen2.5-32B-Instruct,Qwen,False,5120,False,0.9998761118536126,0.011113850700345053,0.007222882556841658,0.9999746084213257,0.0071393611864391405,2450.0,0.478515625,1562.0,0.305078125,0.3220120653675805,0.2249269604092412,0.4331914782524109,0.5051650404930115,0.9998459028997402
Gemma-2-2B,Gemma-2-2B-Instruct,Gemma,False,2304,True,0.9993343784311904,0.02351299300771831,0.05434300502141317,0.9985407590866089,0.053361066245890064,1561.0,0.6775173611111112,29.0,0.012586805555555556,0.04916716195483079,0.003612921664449634,0.6888808608055115,0.9777856469154358,0.9997445760900497
