model_a,model_b,is_anomaly,hidden_dim,n_common,rank_k,rank_over_h,lora_params_2hk,lora_params_2hk_plus_bias,lora_params_over_full_hh,same_rank_token_delta_params,same_rank_token_delta_param_factor_vs_lora,identity_R2,rankk_affine_R2,full_affine_R2_from_decomp,full_affine_R2_reported,oracle_delta_rankk_R2_not_param_matched,centered_delta_over_Yc_energy,mean_shift_over_raw_delta_energy,full_affine_update_gain_w,rankk_affine_update_gain_wCp,rankk_fraction_of_full_affine_gain_Cp,A_I_energy_at_rank_k,pred_energy_at_rank_k,centered_delta_energy_at_rank_k,rankk_affine_gain_minus_oracle_delta_gain
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,False,1024,248320,52,0.05078125,106496,107520,0.1015625,12965888,121.75,0.9975700738085393,0.9977667178468868,0.9978601038728252,0.9978601039448638,0.9981804369027432,0.0024299261914606674,0.02854861822704608,0.11935756127286472,0.08092593060579574,0.678012601319744,0.6928039946131992,0.678012601319744,0.2511858575576362,-0.1702599269518405
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,False,2560,248320,128,0.05,655360,657920,0.1,32112640,49.0,0.9967907088032527,0.9970383188574813,0.9971758855033526,0.9971758936229157,0.9975990491466694,0.0032092911967473037,0.029697593911453674,0.12001924303107303,0.07715412502283438,0.6428479556637359,0.6483453073007283,0.6428479556637359,0.251875038399759,-0.17472091337692464
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,False,2048,248320,103,0.05029296875,421888,423936,0.1005859375,25787904,61.125,0.9961489053071407,0.9964394053278527,0.9965920492931282,0.9965920500316764,0.9970939717108825,0.003851094692859294,0.03718994244486025,0.11506961561061625,0.07543310250216806,0.655543186634306,0.6698180780273009,0.655543186634306,0.2454020165991245,-0.16996891409695644
Qwen3-0.6B-Base,Qwen3-0.6B,False,1024,151936,52,0.05078125,106496,107520,0.1015625,7953920,74.6875,0.9821210193076362,0.985765930689675,0.9876894522232811,0.9876894506828213,0.9883080575358671,0.01787898069236381,0.11109501052924442,0.3114513635569394,0.20386572617059504,0.654566812109411,0.6687541095532905,0.654566812109411,0.34605094857972096,-0.14218522240912593
Qwen3-1.7B-Base,Qwen3-1.7B,False,2048,151936,103,0.05029296875,421888,423936,0.1005859375,15860352,37.59375,0.9912145786242073,0.9929973402572351,0.9938152289782958,0.9938152314061097,0.9943650022410429,0.008785421375792706,0.07530013126747336,0.29601885246555293,0.20292272354062396,0.6855060812866223,0.7753777206843613,0.6855060812866223,0.35859675729570567,-0.1556740337550817
Qwen3-4B-Base,Qwen3-4B,False,2560,151936,128,0.05,655360,657920,0.1,19775488,30.175,0.9859308032228065,0.9888465814229837,0.9901263975282723,0.9901264236933547,0.9909033335859048,0.014069196777193583,0.07863214865672695,0.2982113600306566,0.20724553408078808,0.6949619023885706,0.7165668916629289,0.6949619023885706,0.3534338485590615,-0.14618831447827343
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,False,896,151936,45,0.05022321428571429,80640,81536,0.10044642857142858,6877440,85.28571428571429,0.9868950117268989,0.9892279493831121,0.9902607073089366,0.9902607098733518,0.9901718657068377,0.013104988273101113,0.15032077940470487,0.2568255317668597,0.17801905714037847,0.693151712431691,0.665802437646644,0.693151712431691,0.2500463114999325,-0.07202725435955404
Qwen3-14B-Base,Qwen3-14B,False,5120,151936,256,0.05,2621440,2626560,0.1,40206336,15.3375,0.9951816432322689,0.9953190237342454,0.9955615070607453,0.9955615155647812,0.9971474116633774,0.004818356767731086,0.0010665209474126404,0.07883679992740748,0.02851189909733761,0.36165723524535776,0.4538693499514988,0.36165723524535776,0.40797486069804034,-0.37946296160070275
Qwen3-8B-Base,Qwen3-8B,False,4096,151936,205,0.050048828125,1679360,1683456,0.10009765625,31986560,19.046875,0.9953341687985686,0.9954240050530485,0.995675605445203,0.9956756144661487,0.996656578672836,0.004665831201431332,0.001025645087777478,0.07317809665500559,0.019254072983262066,0.26311251403591995,0.3427428973191506,0.26311251403591995,0.28342428544385995,-0.2641702124605979
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,False,1536,151936,77,0.050130208333333336,236544,238080,0.10026041666666667,11817344,49.958333333333336,0.999261935666068,0.999660981212816,0.9996813415332778,0.9996813415065288,0.9998205255532632,0.0007380643339319741,0.14089406707949595,0.5682510967240999,0.5406649913863663,0.9514543737851731,0.9448009836020854,0.9514543737851731,0.7568308906342802,-0.21616589924791396
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,False,4096,248320,205,0.050048828125,1679360,1683456,0.10009765625,51745280,30.8125,0.9985479704035515,0.9985574345786289,0.9985904523581901,0.99859045379887,0.9988185954274991,0.0014520295964484693,0.00014351091645313038,0.029256948165883003,0.006517894057126722,0.2227810645242672,0.20588587228963726,0.2227810645242672,0.18637707152076707,-0.17985917746364036
Qwen2.5-3B,Qwen2.5-3B-Instruct,False,2048,151936,103,0.05029296875,421888,423936,0.1005859375,15860352,37.59375,0.9993997003412951,0.9997144869623946,0.9997321531433098,0.9997321531880566,0.999833439620071,0.0006002996587048524,0.11732609814027843,0.553811412673367,0.5243824755433858,0.9468610858199521,0.9469068371717619,0.9468610858199521,0.7225379399876098,-0.19815546444422405
Qwen2.5-14B,Qwen2.5-14B-Instruct,False,5120,152064,256,0.05,2621440,2626560,0.1,40239104,15.35,0.9998309537991374,0.9998342542101903,0.9998389458042862,0.9998389456857062,0.9998968356095457,0.00016904620086259458,7.477976543090823e-05,0.04727704679540219,0.019523722130416196,0.4129640799034623,0.4830275371287129,0.4129640799034623,0.389726655032955,-0.3702029329025388
Llama-3.2-1B,Llama-3.2-1B-Instruct,False,2048,128256,103,0.05029296875,421888,423936,0.1005859375,13421312,31.8125,0.9582858944502339,0.9698126496590209,0.9753091794965637,0.9753091845405636,0.9750417317416896,0.04171410554976603,0.15433992154679282,0.40809421230476983,0.2763275169603068,0.677116971102599,0.6074083603246374,0.677116971102599,0.40168276583242496,-0.12535524887211819
Llama-3.1-8B,Llama-3.1-8B-Instruct,False,4096,128256,205,0.050048828125,1679360,1683456,0.10009765625,27132160,16.15625,0.9983613897914093,0.9983778106488681,0.9984405292111053,0.9984405304987342,0.9985958973984714,0.0016386102085906716,0.0002464371180909272,0.048296671948622666,0.0100212102748135,0.20749277062970145,0.20075527291280773,0.20749277062970145,0.1431137227344644,-0.1330925124596509
Llama-3.2-3B,Llama-3.2-3B-Instruct,False,3072,128256,154,0.050130208333333336,946176,949248,0.10026041666666667,20224512,21.375,0.9657056741450658,0.9748936982238735,0.9795068211973773,0.9795068249326268,0.9793854274592659,0.03429432585493417,0.1263923548003308,0.4024323764429924,0.2679167427776038,0.6657435098678156,0.5818513076704444,0.6657435098678156,0.3988926148327224,-0.13097587205511863
