model_a,model_b,series,hidden_dim,is_anomaly,k_5pct,rank95_A_minus_I,kappa_S,kappa_K_top_5pct_AminusI,kappa_K_top_10pct_AminusI,kappa_K_top_50pct_AminusI,kappa_K_rank95_AminusI,rank95_G_p_over_h,rank95_G_R_over_h,rank95_G_cd_over_h,rank95_G_AminusI_over_h,overlap_mean_cos2_5pct,overlap_max_cos2_5pct,overlap_min_cos2_5pct,C_G_p_5pct,C_G_R_5pct,C_G_cd_5pct,C_G_AminusI_5pct,C_Gp_minus_C_AminusI_5pct,w_share_pred,convex_UB_5pct,convex_LB_5pct,gap_UB_minus_obs,gap_obs_minus_LB
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,Qwen3.5,1024,False,52,485,494.1143900587349,6.135085564417644,10.036810894759567,27.926872122504484,26.799613682615803,0.4697265625,0.8662109375,0.85546875,0.4736328125,0.6604727506637573,0.9870874881744385,0.0009287489810958505,0.678012601319744,0.2017228401040998,0.2511858575576362,0.6928039946131992,-0.014791393293455246,0.11935755139071841,0.2585716197552691,0.17764569584969306,0.0073857621976328725,0.07354016170794317
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,Qwen3.5,2560,False,128,1176,1144.4257486222984,16.405522463623527,25.549284566413252,81.73559204107755,74.66466072073072,0.452734375,0.86328125,0.85234375,0.459375,0.650696873664856,0.9892418384552002,1.9752065782085992e-05,0.6428479556637359,0.206749220954656,0.251875038399759,0.6483453073007283,-0.005497351636992387,0.12001924303107303,0.2590894609812485,0.18193533595841413,0.007214422581489521,0.06993970244134487
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,Qwen3.5,2048,False,103,949,1137.661717923977,18.70892392586114,27.26930471704319,92.5468909557601,84.55452785824144,0.46337890625,0.86376953125,0.853515625,0.46337890625,0.6283521056175232,0.9865028262138367,0.00012052906822646037,0.655543186634306,0.2005085418757549,0.2454020165991245,0.6698180780273009,-0.01427489139299487,0.11506962626484923,0.25286920838567983,0.17743609889920192,0.007467191786555333,0.06796591769992258
Qwen3-0.6B-Base,Qwen3-0.6B,Qwen3,1024,False,52,620,206.08682405284043,15.652207292197113,22.07232818215088,46.632821927039295,52.52693316446003,0.5732421875,0.875,0.845703125,0.60546875,0.5950156450271606,0.9851530194282532,0.00035513314651325345,0.654566812109411,0.22295270419359292,0.34605094857972096,0.6687541095532905,-0.014187297443879476,0.31145132777725315,0.35737949119136914,0.20386570275039986,0.011328542611648174,0.1421852458293211
Qwen3-1.7B-Base,Qwen3-1.7B,Qwen3,2048,False,103,1060,1776.51475759422,152.2321577689342,186.108426252391,322.51030587681197,330.292865319848,0.5556640625,0.86328125,0.8369140625,0.517578125,0.5775433778762817,0.9941515922546387,0.00011768728290917352,0.6855060812866223,0.23672792718991922,0.35859675729570567,0.7753777206843613,-0.08987163939773901,0.29601885246555293,0.36957472137723435,0.20292272354062396,0.01097796408152868,0.1556740337550817
Qwen3-4B-Base,Qwen3-4B,Qwen3,2560,False,128,1320,774.1796242301839,59.810147672572086,73.8144723709443,131.41893949065204,134.08891817718305,0.48984375,0.86640625,0.8359375,0.515625,0.6448421478271484,0.9935406446456909,1.9264789443695918e-06,0.6949619023885706,0.22202572007581875,0.3534338485590615,0.7165668916629289,-0.021604989274358277,0.29821138516231127,0.36306067409667986,0.2072455515463306,0.009626825537618344,0.14618829701273092
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,Qwen2.5,896,False,45,583,508.75200496524224,102.28911063616407,167.65964041033223,268.0349485794396,291.7775558583786,0.6283482142857143,0.9129464285714286,0.9051339285714286,0.6506696428571429,0.35854238271713257,0.9946007132530212,0.0005724398652091622,0.693151712431691,0.10975751613159548,0.2500463114999325,0.665802437646644,0.027349274785047006,0.25682553236047584,0.2595880411723795,0.17801905755184452,0.009541729672446986,0.07202725394808798
Qwen3-14B-Base,Qwen3-14B,Qwen3,5120,False,256,2031,971.4764220794422,3.632456255070121,5.343694651111977,35.10405183917434,20.54357317643648,0.4638671875,0.5587890625,0.5587890625,0.3966796875,0.6876341104507446,0.9798650741577148,5.32737798319971e-10,0.36165723524535776,0.4159589145800779,0.40797486069804034,0.4538693499514988,-0.09221211470614105,0.07883679992740748,0.41167794395064433,0.38316604485330674,0.003703083252603989,0.0248088158447336
Qwen3-8B-Base,Qwen3-8B,Qwen3,4096,False,205,2287,387.6630424918191,4.517923079887782,6.120333904750056,27.99878714621126,32.39090088875799,0.5947265625,0.72216796875,0.725341796875,0.558349609375,0.5730106830596924,0.9683340787887573,1.2254373904507787e-10,0.26311251403591995,0.28906891374502924,0.28342428544385995,0.3427428973191506,-0.07963038328323063,0.0731781030860501,0.2871694736513733,0.26791539897602296,0.0037451882075133502,0.015508886467836991
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,Qwen2.5,1536,False,77,98,422.3717768157018,34.10308507556145,40.95898655860915,66.80422368834236,36.21855387576393,0.047526041666666664,0.7981770833333334,0.6236979166666666,0.06380208333333333,0.7569606900215149,0.999701738357544,0.0021074723917990923,0.9514543737851731,0.5071981274065319,0.7568308906342802,0.9448009836020854,0.006653390183087637,0.5682480194733605,0.759645859549864,0.540662063522691,0.0028149689155837487,0.21616882711158925
