family,size,model_a,stable_small_budget_gain,stable_small_budget_param_saving,stable_small_budget_both,min_gain_ratio_1_2_4_8,median_gain_ratio_1_2_4_8,max_match_param_ratio_1_2_4_8,median_match_param_ratio_1_2_4_8,gain_ratio_r1,gain_ratio_r2,gain_ratio_r4,gain_ratio_r8,match_param_ratio_r1,match_param_ratio_r2,match_param_ratio_r4,match_param_ratio_r8
Qwen2.5,0.5B,Qwen2.5-0.5B,True,True,True,1.4529503403159865,1.4666536598602287,0.07835547651427974,0.043145936569888924,1.5778156129877643,1.4529503403159865,1.4699034500671595,1.4634038696532976,0.029142381348875937,0.037995824634655534,0.048296048505122306,0.07835547651427974
Qwen2.5,1.5B,Qwen2.5-1.5B,False,False,False,1.0,1.0660737725980036,1.0,0.43951462293135235,1.0,1.0724589967839353,1.0721863334618096,1.0599612117341977,1.0,0.5522821576763486,0.32674708818635606,0.3259058725531029
Qwen2.5,3B,Qwen2.5-3B,False,False,False,1.0,1.0740010616188675,1.0,0.45400685308724154,1.0,1.0804806639198845,1.081075193901079,1.0675214593178506,1.0,0.569364161849711,0.3386495443247722,0.32894190871369294
Qwen2.5,7B,Qwen2.5-7B,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen2.5,14B,Qwen2.5-14B,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen2.5,32B,Qwen2.5-32B,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen2.5,72B,Qwen2.5-72B-Base,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen3,0.6B,Qwen3-0.6B-Base,True,True,True,1.9866744806094276,3.3547400540505223,0.039297658862876256,0.03163761433225388,6.001783477034198,4.011170620122497,2.6983094879785474,1.9866744806094276,0.03325020781379884,0.030025020850708923,0.028404344193817876,0.039297658862876256
Qwen3,1.7B,Qwen3-1.7B-Base,True,True,True,1.6612653690447516,2.4312824293345425,0.07800829875518672,0.05766879421585732,4.180041207193779,2.79405697853635,2.068507880132735,1.6612653690447516,0.06562756357670221,0.046242774566473986,0.04971002485501243,0.07800829875518672
Qwen3,4B,Qwen3-4B-Base,True,True,True,1.8374415316284194,2.9541194951264,0.08149959250203749,0.06286424610969785,4.989307639485412,3.5158636189247097,2.3923753713280904,1.8374415316284194,0.08149959250203749,0.05751848808545604,0.05363036303630363,0.06821000413393964
Qwen3,8B,Qwen3-8B-Base,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen3,14B,Qwen3-14B-Base,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,True,True,True,1.5778056290215896,2.3124361164779996,0.12775782452539763,0.03537095418242959,4.265433273817615,2.637307895959579,1.9875643369964207,1.5778056290215896,0.02044989775051125,0.02663934426229508,0.0441025641025641,0.12775782452539763
Qwen3.5,2B,Qwen3.5-2B-Base,True,True,True,1.7865812044905545,2.4512703052333267,0.09499489274770173,0.06003021898414538,3.454377621262757,2.6914245646865793,2.2111160457800745,1.7865812044905545,0.056795131845841784,0.05295315682281059,0.06326530612244897,0.09499489274770173
Qwen3.5,4B,Qwen3.5-4B-Base,True,True,True,1.7825106917303417,2.287268198046934,0.11337579617834395,0.07479373891587632,3.0351746431888613,2.449906967676236,2.124629428417632,1.7825106917303417,0.0707070707070707,0.06598984771573604,0.07888040712468193,0.11337579617834395
Qwen3.5,9B,Qwen3.5-9B-Base,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Llama-3.1,8B,Llama-3.1-8B,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Llama-3.1,70B,Llama-3.1-70B-Base,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Llama-3.2,1B,Llama-3.2-1B,True,True,True,2.1264909920154103,2.64537602159835,0.10831721470019343,0.06547987616099071,3.041650124032931,2.803685202131758,2.4870668410649417,2.1264909920154103,0.10831721470019343,0.07017543859649122,0.05870841487279843,0.060784313725490195
