model_a,model_b,hidden_dim,vocab,baseline_rank_w,baseline_w_params,baseline_w_gain,identity_R2,delta_over_Yc_energy,full_affine_gain_over_delta,residual_gain_over_delta,same_budget_hybrid_gain,same_budget_rank_affine,same_budget_rank_residual_w,same_budget_hybrid_params,same_budget_mode,same_budget_gain_over_w,same_budget_param_ratio,match_hybrid_params,match_rank_affine,match_rank_residual_w,match_hybrid_gain,match_mode,match_param_ratio_over_w,match_param_saving
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,1,250368,0.02217266336083412,0.9975700738204689,0.0024299261795311103,0.11935755139071841,0.8806423300235259,0.09457601606845856,121,0,248832,decomposed_hybrid,4.265433273817615,0.9938650306748467,5120,2,0,0.023697353899478912,decomposed_hybrid,0.02044989775051125,0.9795501022494888
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,2,499712,0.04020819440484047,0.9975700738204689,0.0024299261795311103,0.11935755139071841,0.8806423300235259,0.10604138858616352,121,1,498176,decomposed_hybrid,2.637307895959579,0.9969262295081968,13312,6,0,0.0405418835580349,decomposed_hybrid,0.02663934426229508,0.9733606557377049
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,4,998400,0.06268264353275299,0.9975700738204689,0.0024299261795311103,0.11935755139071841,0.8806423300235259,0.12458578683435917,243,2,997376,decomposed_hybrid,1.9875643369964207,0.9989743589743589,44032,21,0,0.06323762238025665,decomposed_hybrid,0.0441025641025641,0.9558974358974359
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,8,1995776,0.09485430270433426,0.9975700738204689,0.0024299261795311103,0.11935755139071841,0.8806423300235259,0.14966165274381638,365,5,1995264,decomposed_hybrid,1.5778056290215896,0.9997434581836839,254976,124,0,0.09493868052959442,decomposed_hybrid,0.12775782452539763,0.8722421754746024
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,16,3990528,0.1374833881855011,0.9975700738204689,0.0024299261795311103,0.11935755139071841,0.8806423300235259,0.18454217910766602,365,13,3990016,decomposed_hybrid,1.342287104960421,0.999871696176546,1469440,230,4,0.1375301480293274,decomposed_hybrid,0.3682319733128047,0.6317680266871952
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,32,7980032,0.19661562144756317,0.9975700738204689,0.0024299261795311103,0.11935755139071841,0.8806423300235259,0.23499920219182968,487,28,7980032,decomposed_hybrid,1.1952214196495232,1.0,4819968,405,16,0.19661827385425568,decomposed_hybrid,0.6040035929680483,0.3959964070319517
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,64,15959040,0.2781764566898346,0.9975700738204689,0.0024299261795311103,0.11935755139071841,0.8806423300235259,0.3075069338083267,608,59,15957504,decomposed_hybrid,1.1054383878043117,0.9999037536092397,12403200,577,45,0.2781905010342598,decomposed_hybrid,0.7771896053897979,0.22281039461020213
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,1,253440,0.01983749121427536,0.9967907101000678,0.0032092898999321936,0.12001924303107303,0.8799806927552831,0.060210250318050385,49,0,253440,decomposed_hybrid,3.0351746431888613,1.0,17920,3,0,0.022991374135017395,decomposed_hybrid,0.0707070707070707,0.9292929292929293
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,2,504320,0.029521677643060684,0.9967907101000678,0.0032092898999321936,0.12001924303107303,0.8799806927552831,0.07232536375522614,98,0,504320,decomposed_hybrid,2.449906967676236,1.0,33280,6,0,0.029698755592107773,decomposed_hybrid,0.06598984771573604,0.934010152284264
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,4,1006080,0.04110850393772125,0.9967907101000678,0.0032092898999321936,0.12001924303107303,0.8799806927552831,0.08734033722430468,147,1,1006080,decomposed_hybrid,2.124629428417632,1.0,79360,15,0,0.04122137278318405,decomposed_hybrid,0.07888040712468193,0.9211195928753181
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,8,2009600,0.05819954723119736,0.9967907101000678,0.0032092898999321936,0.12001924303107303,0.8799806927552831,0.10374131519347429,245,3,2009600,decomposed_hybrid,1.7825106917303417,1.0,227840,44,0,0.05836855247616768,decomposed_hybrid,0.11337579617834395,0.8866242038216561
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,16,4016640,0.08290769159793854,0.9967907101000678,0.0032092898999321936,0.12001924303107303,0.8799806927552831,0.12594714388251305,343,9,4016640,decomposed_hybrid,1.5191249624135557,1.0,847360,116,1,0.08302456606179476,decomposed_hybrid,0.2109623964308477,0.7890376035691523
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,32,8030720,0.11989330500364304,0.9967907101000678,0.0032092898999321936,0.12001924303107303,0.8799806927552831,0.1574617549777031,490,22,8030720,decomposed_hybrid,1.3133490228909657,1.0,3397120,320,7,0.11990665085613728,decomposed_hybrid,0.42301562001912657,0.5769843799808734
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,64,16058880,0.17367708683013916,0.9967907101000678,0.0032092898999321936,0.12001924303107303,0.8799806927552831,0.2046179249882698,637,51,16058880,decomposed_hybrid,1.178151526622459,1.0,10539520,539,31,0.17369024455547333,decomposed_hybrid,0.6563047983421011,0.3436952016578989
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,1,252416,0.019254345446825027,0.9961489055099909,0.0038510944900091095,0.11506962626484923,0.8849303630809178,0.06651178002357483,61,0,251904,decomposed_hybrid,3.454377621262757,0.9979716024340771,14336,3,0,0.022083451971411705,decomposed_hybrid,0.056795131845841784,0.9432048681541583
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,2,502784,0.029080094769597054,0.9961489055099909,0.0038510944900091095,0.11506962626484923,0.8849303630809178,0.07826688140630722,122,0,501760,decomposed_hybrid,2.6914245646865793,0.9979633401221996,26624,6,0,0.030040321871638298,decomposed_hybrid,0.05295315682281059,0.9470468431771895
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,4,1003520,0.042321767657995224,0.9961489055099909,0.0038510944900091095,0.11506962626484923,0.8849303630809178,0.09357833955436945,183,1,1001984,decomposed_hybrid,2.2111160457800745,0.9984693877551021,63488,15,0,0.0426364466547966,decomposed_hybrid,0.06326530612244897,0.936734693877551
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,8,2004992,0.061430998146533966,0.9961489055099909,0.0038510944900091095,0.11506962626484923,0.8849303630809178,0.10975146666169167,305,3,2002432,decomposed_hybrid,1.7865812044905545,0.9987231869254342,190464,46,0,0.06155024468898773,decomposed_hybrid,0.09499489274770173,0.9050051072522982
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,16,4007936,0.08939649164676666,0.9961489055099909,0.0038510944900091095,0.11506962626484923,0.8849303630809178,0.1330740675330162,366,10,4004864,decomposed_hybrid,1.4885826622685958,0.9992335206949412,838144,143,1,0.089496367610991,decomposed_hybrid,0.2091211037301993,0.7908788962698007
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,32,8013824,0.1305253654718399,0.9961489055099909,0.0038510944900091095,0.11506962626484923,0.8849303630809178,0.16758105158805847,489,24,8013824,decomposed_hybrid,1.2838964363919987,1.0,3754496,366,9,0.1305495873093605,decomposed_hybrid,0.4685024278047534,0.5314975721952466
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,64,16025600,0.19006793200969696,0.9961489055099909,0.0038510944900091095,0.11506962626484923,0.8849303630809178,0.21969661861658096,611,54,16024576,decomposed_hybrid,1.1558847212867682,0.9999361022364217,11186176,530,36,0.1900930255651474,decomposed_hybrid,0.6980191693290735,0.3019808306709265
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,1,153984,0.03635311871767044,0.9821210165079378,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.21818354725837708,74,0,152576,decomposed_hybrid,6.001783477034198,0.9908561928512053,5120,2,0,0.0450565405189991,decomposed_hybrid,0.03325020781379884,0.9667497921862012
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,2,306944,0.061082031577825546,0.9821210165079378,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.24501045048236847,149,0,306176,decomposed_hybrid,4.011170620122497,0.9974979149291076,9216,4,0,0.07389568537473679,decomposed_hybrid,0.030025020850708923,0.9699749791492911
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,4,612864,0.10595373064279556,0.9821210165079378,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.28589595668017864,224,1,612736,decomposed_hybrid,2.6983094879785474,0.9997911445279867,17408,8,0,0.1112007200717926,decomposed_hybrid,0.028404344193817876,0.9715956558061821
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,8,1224704,0.1643640249967575,0.9821210165079378,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.3265378139913082,448,2,1224448,decomposed_hybrid,1.9866744806094276,0.9997909698996655,48128,23,0,0.16623511910438538,decomposed_hybrid,0.039297658862876256,0.9607023411371237
