model_a,model_b,series,hidden_dim,is_anomaly,E_R2,E_delta_rank95_over_h,Centered_delta_rank95_over_h,A_delta_rank95_over_h,Pred_delta_rank95_over_h,Residual_rank95_over_h,E_delta_eff_over_h,Centered_delta_eff_over_h,A_delta_eff_over_h,Pred_delta_eff_over_h,Residual_eff_over_h,E_delta_energy_5pct_h,Centered_delta_energy_5pct_h,A_delta_energy_5pct_h,Pred_delta_energy_5pct_h,Residual_energy_5pct_h,Mean_shift_energy_5pct_h,Pred_delta_rank_95,Pred_delta_effective_rank,Pred_delta_total_energy,Centered_delta_total_energy,Residual_total_energy,Mean_shift_total_energy,Residual_over_centered_delta_energy,Mean_shift_over_raw_delta_energy,solver
DeepSeek-V3-Base,DeepSeek-V3,DeepSeek,7168,False,0.999995109242179,0.8812779017857143,0.8812779017857143,0.5340401785714286,0.5779854910714286,0.8801618303571429,0.7822511739057026,0.7822854912496936,0.4634848364608836,0.5099388556682415,0.7809445059157353,0.19302469491958618,0.19300933182239532,0.2789239287376404,0.2572421431541443,0.19326600432395935,0.9999996423721313,4143,3655.2417174299553,0.4101231098175049,6.803191184997559,6.39316987991333,0.00024841041886247694,0.9397310329910454,3.651247510595005e-05,solve
DeepSeek-V3.1-Base,DeepSeek-V3.1,DeepSeek,7168,False,0.9999856465174676,0.8892299107142857,0.8892299107142857,0.5419921875,0.5862165178571429,0.8882533482142857,0.8415211301357101,0.8415484168391021,0.4891819319928445,0.5396923006602717,0.8402925410368216,0.16088955104351044,0.16087257862091064,0.25593024492263794,0.23250240087509155,0.16104760766029358,0.9999995827674866,4202,3868.514411132828,1.207064151763916,19.944072723388672,18.737171173095703,0.0007471253047697246,0.9394857024925697,3.74596166040912e-05,solve
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,Qwen3,2048,False,0.9921235164246368,0.8681640625,0.8681640625,0.75927734375,0.75048828125,0.8662109375,0.8433860285000121,0.8435650077080752,0.7404426857346267,0.7222746673155015,0.8402277791455065,0.13102740049362183,0.13087862730026245,0.15601228177547455,0.1731514185667038,0.13138556480407715,0.9999998807907104,1537,1479.218518662147,43.1773681640625,1055.189208984375,1012.01171875,0.24447177350521088,0.9590808076250765,0.00023163158231757574,solve
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,Qwen3.5,2048,False,0.9987133610282297,0.8857421875,0.8857421875,0.666015625,0.66162109375,0.8857421875,0.8266783923264875,0.8269259813278796,0.6461675080421444,0.6100632862172762,0.8263284248392211,0.18222060799598694,0.18209712207317352,0.18309935927391052,0.22025179862976074,0.1823827177286148,0.9999995827674866,1355,1249.4096101729817,2.0865156650543213,104.27494812011719,102.18843078613281,0.02001347579061985,0.9799902337848123,0.00019189302612874362,solve
Gemma-2-27B,Gemma-2-27B-Instruct,Gemma-2,4608,False,0.9976057471139504,0.7977430555555556,0.8315972222222222,0.009331597222222222,0.1519097222222222,0.8726128472222222,0.08781631856334082,0.23989943192743388,0.0022455653128245715,0.013102161703848704,0.5955164744350223,0.5699486136436462,0.46548497676849365,0.9843341708183289,0.9069637060165405,0.2682991921901703,0.9999995231628418,700,60.37476113133483,278.6690368652344,870.3911743164062,591.720947265625,211.54627990722656,0.6798333493332521,0.19552542439620604,solve
Gemma-2-2B,Gemma-2-2B-Instruct,Gemma-2,2304,False,0.9993343784311904,0.6775173611111112,0.7261284722222222,0.012586805555555556,0.20963541666666666,0.8033854166666666,0.04916716195483079,0.10307555294466855,0.003612921664449634,0.017957992067491296,0.2281511551293763,0.6888808608055115,0.6201390027999878,0.9777856469154358,0.8700900077819824,0.4808231294155121,0.9999994039535522,483,41.37521372349995,264.6416015625,718.06103515625,453.4164123535156,158.9230194091797,0.6314455041483379,0.18121540361179148,solve
Gemma-2-9B,Gemma-2-9B-Instruct,Gemma-2,3584,False,0.9911235620291692,0.8713727678571429,0.8942522321428571,0.26255580357142855,0.14983258928571427,0.9171316964285714,0.15191909061976205,0.39121250561677595,0.02523200934024335,0.01137869124522493,0.8625208400924694,0.46468037366867065,0.33963537216186523,0.843457043170929,0.9065914750099182,0.14543862640857697,0.9999995231628418,537,40.78122942288615,1940.09326171875,7221.27978515625,5281.1884765625,1687.830078125,0.7313369144647023,0.1894499118347798,solve
Gemma-3-12B,Gemma-3-12B-Instruct,Gemma-3,3840,False,0.9672602427168877,0.9044270833333333,0.9059895833333333,0.5916666666666667,0.44765625,0.91328125,0.699388340381413,0.7416434248451595,0.2838259434982769,0.042078712718119235,0.9150347716747179,0.20275670289993286,0.18947388231754303,0.44884470105171204,0.7308074235916138,0.12136353552341461,0.9999992251396179,1719,161.58225683757786,1071.270751953125,8690.0888671875,7618.81005859375,145.48916625976562,0.8767240675019169,0.016466287288620318,solve
Gemma-3-27B,Gemma-3-27B-Instruct,Gemma-3,5376,False,0.9707730427305877,0.8956473214285714,0.8967633928571429,0.5587797619047619,0.44568452380952384,0.9025297619047619,0.7336921027200566,0.7689621201004305,0.30173674023450314,0.05424994848838796,0.8844396803343011,0.20068538188934326,0.19039340317249298,0.42282330989837646,0.7000434398651123,0.14225241541862488,0.9999995827674866,2396,291.6477230735737,868.935302734375,8766.72265625,7897.7822265625,113.42176818847656,0.9008819528392389,0.01277251391050981,solve
Gemma-3-4B,Gemma-3-4B-Instruct,Gemma-3,2560,False,0.9578971652648591,0.909765625,0.913671875,0.423828125,0.2734375,0.91953125,0.6644274133306775,0.8033410193141686,0.09481517072128759,0.034389659300944966,0.9418885829622454,0.21285511553287506,0.17493820190429688,0.7054887413978577,0.8488757610321045,0.10513487458229065,0.9999995231628418,700,88.03752781041912,1194.1207275390625,11824.8466796875,10630.728515625,570.6890869140625,0.8990161820775457,0.046039888687322644,solve
