model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,matrix_kind,raw_delta_over_Yc_energy
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,1,9,0.0012555803571428572,143616,136192,0.948306595365419,0.9999947955812982,0.9999951093241175,0.999995109242179,0.999994831187025,0.9999948043497658,0.006841441635594504,0.0016848121134874889,0.24626565616255278,0.027947946956599336,0.006841441635594504,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.0068777044561562604,0.0017212632161009759,0.060318242765924616,0.2502671097709449,0,0,embed,5.20460873567355e-06
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,2,19,0.002650669642857143,280064,279552,0.9981718464351006,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999948519075634,0.9999948094563142,0.0108227774251461,0.0026660068650916084,0.24633296614760783,0.044224170668668,0.0108227774251461,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.010858894876709001,0.0027024221417144578,0.060318242765924616,0.24886714277995473,0,0,embed,5.20460873567355e-06
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,4,38,0.005301339285714286,552960,551936,0.9981481481481481,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999948824850817,0.9999948165052907,0.01669807686808306,0.004020428335257076,0.24077193841057107,0.06669154201650873,0.01669807686808306,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.01673397979707285,0.0040567941584041195,0.060318242765924616,0.24242853210051943,0,0,embed,5.20460873567355e-06
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,8,76,0.010602678571428572,1098752,1096704,0.9981360671015843,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999949269232956,0.9999948269502641,0.02523663158744673,0.006027371671643306,0.23883423787196137,0.09998305592551017,0.02523663158744673,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.02527222275143683,0.006063664216031916,0.060318242765924616,0.23993394944602456,0,0,embed,5.20460873567355e-06
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,16,152,0.021205357142857144,2190336,2186240,0.9981299672744273,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999949923037708,0.999994842799828,0.037799124902592116,0.009072776890708182,0.24002610944270847,0.15050075035708452,0.037799124902592116,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.03783425737704361,0.009108958239374753,0.060318242765924616,0.24075953569269007,0,0,embed,5.20460873567355e-06
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,32,304,0.04241071428571429,4373504,4365312,0.9981269023647857,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999950856494462,0.9999948681678312,0.055734975320533085,0.013947097111960573,0.25023958531874296,0.23135679472102064,0.055734975320533085,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.05576945291010255,0.0139831004864275,0.060318242765924616,0.2507304582845295,0,0,embed,5.20460873567355e-06
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,64,609,0.0849609375,8739840,8737792,0.9997656707674283,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999952151088883,0.9999949088759763,0.08060988443104194,0.021768939919085045,0.27005298509895986,0.3611068399197526,0.08060988443104194,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.08064345377251955,0.021804657697581633,0.060318242765924616,0.2703834803391307,0,0,embed,5.20460873567355e-06
DeepSeek-V3-Base,DeepSeek-V3,7168,129280,128,1218,0.169921875,17472512,17468416,0.9997655746351756,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999953900458335,0.9999949694663808,0.11422304186502782,0.03341104790764576,0.2925070752985731,0.5542280870443285,0.11422304186502782,0.06028393127065296,5.204418701775048e-06,3.6512619517144614e-05,0.9999634873804829,0.11425538390207728,0.033446340602282985,0.060318242765924616,0.2927331689765116,0,0,embed,5.20460873567355e-06
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,1,9,0.0012555803571428572,143616,136192,0.948306595365419,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.999984786810259,0.9999847405136373,0.0042425279496469065,0.0012122491059754286,0.28573744719261557,0.020029742655438873,0.0042425279496469065,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.004279828547912512,0.0012496632170360198,0.06055764275868472,0.29198908391915457,0,0,embed,1.527857944146773e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,7168,129280,2,19,0.002650669642857143,280064,279552,0.9981718464351006,0.9999847219928868,0.9999856466553142,0.9999856465174676,0.9999848257356074,0.9999847526986063,0.006790330691484041,0.00200979874193296,0.29597950869366485,0.03320749125877924,0.006790330691484041,0.060522450379373934,1.5278007113195224e-05,3.7459521331836196e-05,0.9999625404786681,0.006827535850278488,0.00204718297716595,0.06055764275868472,0.29984214247405927,0,0,embed,1.527857944146773e-05
