family,size,model_a,category,boundary_rank_w_first_3_losses,ratio_rW_1,ratio_rW_8,ratio_rW_16,ratio_rW_32,ratio_rW_64,ratio_rW_128
Qwen2.5,0.5B,Qwen2.5-0.5B,aff_low_rank_advantage,51,1.5778153350630437,1.385088081860389,1.2612038536488128,1.1081444115730772,0.9355544789264102,0.7339016339419137
Qwen2.5,1.5B,Qwen2.5-1.5B,aff_poor,1,0.9329815551094656,0.8545586591386383,0.8266937983365724,0.7956384264620362,0.7602071109629406,0.7241957891183742
Qwen2.5,3B,Qwen2.5-3B,aff_poor,1,0.9833180274722086,0.8943869385480753,0.8647198665480827,0.8329128690549172,0.7951192033978643,0.7529086400045725
Qwen2.5,7B,Qwen2.5-7B,aff_poor,1,0.1813128973409254,0.22790662352897176,0.23047411163280696,0.19530704629503653,0.1448780331034255,0.09659289363784235
Qwen2.5,14B,Qwen2.5-14B,aff_poor,1,0.2339648399709911,0.3058411757023301,0.30752920933121397,0.28393294935495844,0.23307598224146425,0.17582295669840386
Qwen2.5,32B,Qwen2.5-32B,aff_poor,1,0.27830481101620314,0.31551835642515597,0.30154764730507605,0.266353243038057,0.21404843841298207,0.16182515461553687
Qwen2.5,72B,Qwen2.5-72B-Base,aff_poor,1,0.33948935761734844,0.3911462125174761,0.39178369390161044,0.37800758171031,0.34419458251573853,0.29388372823409514
Qwen3,0.6B,Qwen3-0.6B-Base,aff_low_rank_advantage,39,6.001784089606212,1.803755645901236,1.3632425947163904,1.060197661072559,0.8396714270991652,0.6617943235256676
Qwen3,1.7B,Qwen3-1.7B-Base,aff_low_rank_advantage,55,4.180041249199177,1.550544366879938,1.2854427333222285,1.125479034350587,0.9552528754097196,0.7697039306135045
Qwen3,4B,Qwen3-4B-Base,aff_large_advantage,77,4.989307336479545,1.7859639651719,1.4525160096812855,1.2402059678114417,1.051042129319325,0.8437544575260959
Qwen3,8B,Qwen3-8B-Base,aff_poor,1,0.5358647273140917,0.5159211846217495,0.5264876797647466,0.49940077727444715,0.42895319090866324,0.33680117689801303
Qwen3,14B,Qwen3-14B-Base,aff_poor,1,0.515699803746039,0.47554995883558404,0.46204005666813186,0.41637936717981083,0.34167437834390196,0.27160673412884834
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,aff_low_rank_advantage,13,4.265433678628369,1.257404083990151,0.8681598297909044,0.6070603784350297,0.4290713123547927,0.30380620393392327
Qwen3.5,2B,Qwen3.5-2B-Base,aff_low_rank_advantage,25,3.454377389571667,1.6336571175555776,1.2268668342648803,0.8812360654619031,0.605413140068109,0.41767880724886336
Qwen3.5,4B,Qwen3.5-4B-Base,aff_low_rank_advantage,31,3.035174200719873,1.6698689148824992,1.3086848129395592,0.9794839099172171,0.6910482210104442,0.4765031254926763
Qwen3.5,9B,Qwen3.5-9B-Base,aff_poor,1,0.35165888071295703,0.3376871058520558,0.3435271684692358,0.33125892484840863,0.28786027681934306,0.21014288403236545
Llama-3.1,8B,Llama-3.1-8B,aff_poor,1,0.2556009439841447,0.3318667365930379,0.38126541904260974,0.422447932541443,0.43832493333679035,0.40491624961738026
Llama-3.1,70B,Llama-3.1-70B-Base,aff_poor,1,0.35930798036933626,0.384440808018602,0.39224808692795754,0.4001774288314566,0.4102775617250525,0.41799005842535536
Llama-3.2,1B,Llama-3.2-1B,aff_large_advantage,109,3.041650080537484,2.03241437882848,1.665315543196342,1.3873340216085752,1.1719731114968148,0.9527088429360654
Llama-3.2,3B,Llama-3.2-3B,aff_large_advantage,,2.872934363057566,2.025557471128735,1.7145041203786018,1.4426800926838776,1.2368040492010268,1.0628200376796353
Gemma-2,2B,Gemma-2-2B,aff_low_rank_advantage,4,1.2981108247512383,0.8801130575946096,0.7990168574199679,0.7274585659721416,0.653488306899447,0.5851169131979288
Gemma-2,9B,Gemma-2-9B,aff_low_rank_advantage,41,2.6002796816567635,1.2735506318069514,1.1361151950828206,1.0320251237172848,0.9412023596580837,0.8429675847059156
Gemma-2,27B,Gemma-2-27B,aff_low_rank_advantage,20,2.9968820832088054,1.1994636445723916,1.0409606986792963,0.9233715223088537,0.8387937693731109,0.7615118495999663
Gemma-3,4B,Gemma-3-4B,aff_low_rank_advantage,26,4.315497466377396,1.4342693149552623,1.141893993453397,0.9357327625211912,0.7481673706857321,0.5772553427581872
Gemma-3,12B,Gemma-3-12B,aff_low_rank_advantage,47,2.1794194613384508,1.3419444850612916,1.1864086510406338,1.063790631962484,0.9414316039484422,0.7636147416412052
Gemma-3,27B,Gemma-3-27B,aff_low_rank_advantage,28,2.5753876172903576,1.4277549108278016,1.1637782951800208,0.966740140044882,0.8347593924140946,0.6999890193628581
