model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,raw_delta_over_Yc_energy
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,1,9,0.0012555803571428572,143616,136192,0.948306595365419,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999978996001688,0.9999978445078754,0.09414699746941743,0.0703869882122195,0.7476286031860326,0.5789633576572544,0.09414699746941743,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.12043130135143305,0.09736071444180262,0.14706264238791214,0.8084336326956422,0,0,2.387988379266376e-06
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,2,19,0.002650669642857143,280064,279552,0.9981718464351006,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999980357722345,0.9999978545218735,0.15287480379531024,0.0747057898348358,0.4886730054931888,0.61448736503411,0.15287480379531024,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.1774550569058633,0.10155420136773208,0.14706264238791214,0.5722812476491146,0,0,2.387988379266376e-06
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,4,38,0.005301339285714286,552960,551936,0.9981481481481481,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999981322880135,0.9999978621199141,0.19449978723943875,0.0779826459241558,0.40093949217618086,0.6414409206872124,0.19449978723943875,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.21787224646856412,0.10473597593611135,0.14706264238791214,0.4807219718608045,0,0,2.387988379266376e-06
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,8,76,0.010602678571428572,1098752,1096704,0.9981360671015843,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999982131715572,0.9999978693857959,0.22938295562462838,0.08111624969354025,0.3536280604313173,0.6672161641799478,0.22938295562462838,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.2517432420225742,0.10777865480544002,0.14706264238791214,0.42812928736246014,0,0,2.387988379266376e-06
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,16,152,0.021205357142857144,2190336,2186240,0.9981299672744273,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999982736690749,0.9999978771805347,0.2554741108440254,0.08447793701160179,0.33067122430725715,0.694867493303316,0.2554741108440254,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.27707733417489117,0.11104279913277634,0.14706264238791214,0.4007646437896149,0,0,2.387988379266376e-06
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,32,304,0.04241071428571429,4373504,4365312,0.9981269023647857,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999983311878416,0.9999978866922615,0.2802806008865493,0.08858012090717722,0.3160408555818398,0.7286097263812409,0.2802806008865493,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.3011640370988623,0.11502595372912772,0.14706264238791214,0.38193787955953207,0,0,2.387988379266376e-06
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,64,609,0.0849609375,8739840,8737792,0.9997656707674283,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999984000500384,0.9999979001461167,0.3099792452777018,0.09438245190343207,0.3044799074172771,0.7763364031599367,0.3099792452777018,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.3300009432257708,0.12065992382057401,0.14706264238791214,0.3656350877095048,0,0,2.387988379266376e-06
DeepSeek-V3-Base,DeepSeek-V3,lm_head,7168,129280,128,1218,0.169921875,17472512,17468416,0.9997655746351756,0.9999976813016844,0.9999979631955018,0.9999979631561335,0.9999984818693934,0.9999979193555892,0.3452660070619598,0.10266704522077783,0.2973563661665473,0.8444807588947465,0.3452660070619598,0.12157416748624102,2.318698315589361e-06,0.02901608076430506,0.9709839192356949,0.36426382148018593,0.12870413070912423,0.14706264238791214,0.35332669103984865,0,0,2.387988379266376e-06
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,1,9,0.0012555803571428572,143616,136192,0.948306595365419,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.9999889267286516,0.9999890097219885,0.04861005961837361,0.055740655747029334,1.1466897219348504,0.4987178123633613,0.04861005961837361,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.07957376645389239,0.08647229192600782,0.14067611258349147,1.0866934641847406,1,1,1.2030590768459651e-05
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,7168,129280,2,19,0.002650669642857143,280064,279552,0.9981718464351006,0.9999883609539282,0.9999896618259729,0.9999896617870091,0.9999893505255261,0.9999890679050645,0.08502170983566587,0.060739611467204156,0.7144011992302278,0.543444022119151,0.08502170983566587,0.11176792640086654,1.1639046071799036e-05,0.032545758075914116,0.9674542419240858,0.11480037191206784,0.09130855284268162,0.14067611258349147,0.7953680926453798,0,0,1.2030590768459651e-05
