family,size,model_a,matrix_kind,category,boundary_rank_w_first_3_losses,ratio_rW_1,ratio_rW_8,ratio_rW_16,ratio_rW_32,ratio_rW_64,ratio_rW_128
Qwen2.5,0.5B,Qwen2.5-0.5B,lm_head,aff_low_rank_advantage,51,1.5778153350630437,1.385088081860389,1.2612038536488128,1.1081444115730772,0.9355544789264102,0.7339016339419137
Qwen2.5,1.5B,Qwen2.5-1.5B,lm_head,aff_poor,1,0.9329815551094656,0.8545586591386383,0.8266937983365724,0.7956384264620362,0.7602071109629406,0.7241957891183742
Qwen2.5,3B,Qwen2.5-3B,lm_head,aff_poor,1,0.9833180274722086,0.8943869385480753,0.8647198665480827,0.8329128690549172,0.7951192033978643,0.7529086400045725
Qwen2.5,7B,Qwen2.5-7B,lm_head,aff_low_rank_advantage,8,1.1581917319113215,0.9985131940320956,0.9596054967012904,0.9138846130115694,0.855992149252862,0.782872701032599
Qwen2.5,14B,Qwen2.5-14B,lm_head,aff_low_rank_advantage,11,1.180735266128636,1.0224121282875565,0.9603182827926817,0.8926140779120767,0.8250590497127839,0.7660991504851898
Qwen2.5,32B,Qwen2.5-32B,lm_head,aff_low_rank_advantage,7,1.088253814790557,0.9868679677749534,0.9529595748925483,0.9080124555211851,0.854065251482529,0.797737671909894
Qwen2.5,72B,Qwen2.5-72B-Base,lm_head,aff_low_rank_advantage,3,1.0807340350109373,0.9633862546947403,0.9398047001428473,0.9156545447082791,0.8824371554810657,0.834803876336115
Qwen3,0.6B,Qwen3-0.6B-Base,lm_head,aff_low_rank_advantage,39,6.001784089606212,1.803755645901236,1.3632425947163904,1.060197661072559,0.8396714270991652,0.6617943235256676
Qwen3,1.7B,Qwen3-1.7B-Base,lm_head,aff_low_rank_advantage,55,4.180041249199177,1.550544366879938,1.2854427333222285,1.125479034350587,0.9552528754097196,0.7697039306135045
Qwen3,4B,Qwen3-4B-Base,lm_head,aff_large_advantage,77,4.989307336479545,1.7859639651719,1.4525160096812855,1.2402059678114417,1.051042129319325,0.8437544575260959
Qwen3,8B,Qwen3-8B-Base,lm_head,aff_large_advantage,82,4.447351932175511,1.6076088178315915,1.3500551952799948,1.1816665718763348,1.0430672636389118,0.9150075597353589
Qwen3,14B,Qwen3-14B-Base,lm_head,aff_large_advantage,76,4.298023864584027,1.7316487518436252,1.4301171769083691,1.2067126090264755,1.0347022647087873,0.9040203715434101
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,aff_low_rank_advantage,13,4.265433678628369,1.257404083990151,0.8681598297909044,0.6070603784350297,0.4290713123547927,0.30380620393392327
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,aff_low_rank_advantage,25,3.454377389571667,1.6336571175555776,1.2268668342648803,0.8812360654619031,0.605413140068109,0.41767880724886336
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,aff_low_rank_advantage,31,3.035174200719873,1.6698689148824992,1.3086848129395592,0.9794839099172171,0.6910482210104442,0.4765031254926763
Qwen3.5,9B,Qwen3.5-9B-Base,lm_head,aff_low_rank_advantage,57,5.037449228517103,1.95319609131454,1.5442269884914392,1.216541495752175,0.9541629759273859,0.7348060096830011
Llama-3.1,8B,Llama-3.1-8B,lm_head,aff_low_rank_advantage,44,2.818451830218981,1.6472094873683745,1.3224683846928653,1.0800586839209183,0.916513084443558,0.795181092330006
Llama-3.1,70B,Llama-3.1-70B-Base,lm_head,aff_large_advantage,70,2.1816592356163937,1.5702926330760514,1.3399489385654553,1.1482288977347925,1.0149001075412658,0.9015111588272683
Llama-3.2,1B,Llama-3.2-1B,lm_head,aff_large_advantage,109,3.041650080537484,2.03241437882848,1.665315543196342,1.3873340216085752,1.1719731114968148,0.9527088429360654
Llama-3.2,3B,Llama-3.2-3B,lm_head,aff_large_advantage,,2.872934363057566,2.025557471128735,1.7145041203786018,1.4426800926838776,1.2368040492010268,1.0628200376796353
Gemma-2,2B,Gemma-2-2B,lm_head,aff_low_rank_advantage,4,1.2981108247512383,0.8801130575946096,0.7990168574199679,0.7274585659721416,0.653488306899447,0.5851169131979288
Gemma-2,9B,Gemma-2-9B,lm_head,aff_low_rank_advantage,41,2.6002796816567635,1.2735506318069514,1.1361151950828206,1.0320251237172848,0.9412023596580837,0.8429675847059156
Gemma-2,27B,Gemma-2-27B,lm_head,aff_low_rank_advantage,20,2.9968820832088054,1.1994636445723916,1.0409606986792963,0.9233715223088537,0.8387937693731109,0.7615118495999663
Gemma-3,4B,Gemma-3-4B,lm_head,aff_low_rank_advantage,26,4.315497466377396,1.4342693149552623,1.141893993453397,0.9357327625211912,0.7481673706857321,0.5772553427581872
Gemma-3,12B,Gemma-3-12B,lm_head,aff_low_rank_advantage,47,2.1794194613384508,1.3419444850612916,1.1864086510406338,1.063790631962484,0.9414316039484422,0.7636147416412052
Gemma-3,27B,Gemma-3-27B,lm_head,aff_low_rank_advantage,28,2.5753876172903576,1.4277549108278016,1.1637782951800208,0.966740140044882,0.8347593924140946,0.6999890193628581
