model_a,model_b,series,hidden_dim,actual_tied,gcorr_E_cos,gcorr_E_euc,gcorr_U_cos,E_R2,E_rel_A_minus_I,E_identity_cosine,E_delta_rank95,AI_rank95,E_delta_rank95_over_h,AI_rank95_over_h,E_delta_eff_rank,AI_eff_rank,E_energy_5pct_h,AI_energy_5pct_h,is_anomaly
Qwen3-0.6B-Base,Qwen3-0.6B,Qwen3,1024,True,0.989602742155382,0.9941811807515396,0.9895873459258249,0.9876894506828213,0.07291886955499649,0.9982119202613831,849.0,620.0,0.8291015625,0.60546875,358.93301939993523,136.4174931330087,0.41843727231025696,0.6687540411949158,False
Qwen3-1.7B-Base,Qwen3-1.7B,Qwen3,2048,True,0.9947217369919181,0.9983066092840538,0.9947305316595347,0.9938152314061097,0.05851603119637335,0.9986376762390137,1691.0,1060.0,0.82568359375,0.517578125,710.0533031767818,50.90342500098073,0.4067821204662323,0.775377631187439,False
Qwen3-4B-Base,Qwen3-4B,Qwen3,2560,True,0.9972287933955417,0.9974344658572731,0.9972289681796072,0.9901264236933547,0.06448034292855058,0.9984342455863953,2109.0,1320.0,0.823828125,0.515625,886.8474617231104,165.49280619051638,0.40416908264160156,0.7165668606758118,False
Qwen3-8B-Base,Qwen3-8B,Qwen3,4096,False,0.9940134077706431,0.9999576787927541,0.998338588907448,0.9956756144661487,0.025052404031157494,0.9997735619544983,2971.0,2287.0,0.725341796875,0.558349609375,2197.406484885284,1714.1603338597447,0.28411728143692017,0.3427428603172302,False
Qwen3-14B-Base,Qwen3-14B,Qwen3,5120,False,0.993438959771175,0.9999542850646249,0.9973446966187213,0.9955615155647812,0.0378302758138912,0.9993573427200317,2860.0,2031.0,0.55859375,0.3966796875,1857.0010738954843,1451.6229269597695,0.40855878591537476,0.45386937260627747,False
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,Qwen3.5,1024,True,0.9994655435143891,0.9988445257353163,0.9994654861483402,0.9978601039448638,0.017749600112438202,0.9998884797096252,872.0,485.0,0.8515625,0.4736328125,641.3010921726988,122.80103839334679,0.2723273038864136,0.6928040385246277,False
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,Qwen3.5,2048,True,0.9995466729381094,0.998513586028977,0.9995466411623768,0.9965920500316764,0.021989225224206134,0.9998252391815186,1738.0,949.0,0.8486328125,0.46337890625,1207.4278993185148,265.4287682498624,0.2732696533203125,0.6698179841041565,False
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,Qwen3.5,2560,True,0.9996167128093348,0.9986087355845206,0.999616694012059,0.9971758936229157,0.020147343482795184,0.9998533725738525,2172.0,1176.0,0.8484375,0.459375,1520.0079618688167,345.57002274541435,0.2739056944847107,0.6483452320098877,False
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,Qwen3.5,4096,False,0.9984136182902994,0.999980284179076,0.9995285076503331,0.99859045379887,0.006728323642164469,0.9999858140945435,3586.0,2558.0,0.87548828125,0.62451171875,3231.9627013496183,2425.0599543014855,0.18647752702236176,0.2058858722448349,False
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,Qwen2.5,896,True,0.9980068702339273,0.9963720842850516,0.9980069120712726,0.9902607098733518,0.05646374614653687,0.9989098906517029,798.0,583.0,0.890625,0.6506696428571429,276.479344857125,98.81654562866044,0.36254245042800903,0.6658024787902832,False
