series,n_pairs,gcorr_E_cos_mean,gcorr_E_cos_min,gcorr_E_cos_max
deepseek_r1,1,0.9999953388336736,0.9999953388336736,0.9999953388336736
deepseek_r1_distill_llama,1,0.404510865540978,0.404510865540978,0.404510865540978
deepseek_r1_distill_qwen,6,0.25927228417342546,0.1535247130839928,0.5009706340495865
deepseek_v2_moe,1,0.9999728607929561,0.9999728607929561,0.9999728607929561
deepseek_v3_moe,15,0.999921235556776,0.9998492484024643,0.9999976314206677
deepseek_v4_moe,1,0.7833556726411502,0.7833556726411502,0.7833556726411502
gemma2,3,0.4857930975279547,0.36795124657458644,0.6970744453447285
gemma3,6,0.6558642400019963,0.4509871509379698,0.8344848965825232
gemma4,6,0.7506229625082088,0.7359778644362112,0.7682672115461976
glm5,1,0.9962817326470805,0.9962817326470805,0.9962817326470805
llama,6,0.3043704179583423,0.056513218695155264,0.9485399618616771
minimax_m2,1,0.992481313778726,0.992481313778726,0.992481313778726
qwen2.5,21,0.29513497996053456,0.05863786942046822,0.9152800945468701
qwen3,28,0.28229991965837037,0.07344813912659254,0.8844365907669787
qwen3.5_dense,10,0.44035335168890466,0.15747143690706017,0.9486166704955175
qwen3.5_moe,3,0.4415847313068326,0.41169366238692784,0.4987595248801152
