scale_group,series_pair,n_pairs,neg_euc_count,gcorr_E_cos_mean,gcorr_E_euc_mean
ge_27b,gemma2×gemma3,1,0,0.2088,0.2426
ge_27b,gemma2×gemma4,1,0,0.3299,0.1183
ge_27b,gemma2×llama,1,0,0.3391,0.1091
ge_27b,gemma2×qwen2.5,2,2,0.2328,-0.1039
ge_27b,gemma2×qwen3,2,2,0.2565,-0.0869
ge_27b,gemma2×qwen3.5_dense,1,1,0.2979,-0.0578
ge_27b,gemma3×gemma4,1,0,0.6401,0.332
ge_27b,gemma3×llama,1,0,0.5432,0.1514
ge_27b,gemma3×qwen2.5,2,2,0.3676,-0.0864
ge_27b,gemma3×qwen3,2,2,0.4077,-0.082
ge_27b,gemma3×qwen3.5_dense,1,1,0.425,-0.1159
ge_27b,gemma4×llama,1,1,0.4582,-0.1418
ge_27b,gemma4×qwen2.5,2,0,0.3129,0.1939
ge_27b,gemma4×qwen3,2,0,0.3483,0.1623
ge_27b,gemma4×qwen3.5_dense,1,0,0.3483,0.1812
ge_27b,llama×qwen2.5,2,0,0.3671,0.1853
ge_27b,llama×qwen3,2,0,0.3973,0.2276
ge_27b,llama×qwen3.5_dense,1,0,0.3638,0.3253
ge_27b,qwen2.5×qwen3,4,0,0.3057,0.9158
ge_27b,qwen2.5×qwen3.5_dense,2,0,0.2645,0.8251
ge_27b,qwen3×qwen3.5_dense,2,0,0.2909,0.8346
gt_4b_lt_27b,gemma2×gemma3,1,0,0.2609,0.2443
gt_4b_lt_27b,gemma2×gemma4,1,0,0.4584,0.0767
gt_4b_lt_27b,gemma2×llama,1,0,0.311,0.0557
gt_4b_lt_27b,gemma2×qwen2.5,2,2,0.2635,-0.2736
gt_4b_lt_27b,gemma2×qwen3,2,2,0.2814,-0.2728
gt_4b_lt_27b,gemma2×qwen3.5_dense,1,1,0.2884,-0.3231
gt_4b_lt_27b,gemma3×gemma4,1,0,0.605,0.1885
gt_4b_lt_27b,gemma3×llama,1,0,0.5476,0.1759
gt_4b_lt_27b,gemma3×qwen2.5,2,1,0.4057,-0.0319
gt_4b_lt_27b,gemma3×qwen3,2,2,0.4314,-0.0698
gt_4b_lt_27b,gemma3×qwen3.5_dense,1,1,0.4743,-0.0852
gt_4b_lt_27b,gemma4×llama,1,1,0.4335,-0.0429
gt_4b_lt_27b,gemma4×qwen2.5,2,0,0.3391,0.313
gt_4b_lt_27b,gemma4×qwen3,2,0,0.3633,0.2914
gt_4b_lt_27b,gemma4×qwen3.5_dense,1,0,0.3691,0.4041
gt_4b_lt_27b,llama×qwen2.5,2,0,0.2905,0.22
gt_4b_lt_27b,llama×qwen3,2,0,0.2991,0.0882
gt_4b_lt_27b,llama×qwen3.5_dense,1,0,0.3225,0.5267
gt_4b_lt_27b,qwen2.5×qwen3,4,0,0.3044,0.9457
gt_4b_lt_27b,qwen2.5×qwen3.5_dense,2,0,0.2725,0.6879
gt_4b_lt_27b,qwen3×qwen3.5_dense,2,0,0.279,0.7163
le_4b,gemma2×gemma3,2,0,0.3738,0.2265
le_4b,gemma2×gemma4,2,0,0.4342,0.2905
le_4b,gemma2×llama,2,2,0.6647,-0.0159
le_4b,gemma2×qwen2.5,3,0,0.6935,0.237
le_4b,gemma2×qwen3,3,0,0.6223,0.1828
le_4b,gemma2×qwen3.5_dense,3,0,0.72,0.1072
le_4b,gemma3×gemma4,4,0,0.6704,0.4775
le_4b,gemma3×llama,4,0,0.3092,0.1425
le_4b,gemma3×qwen2.5,6,0,0.3339,0.1502
le_4b,gemma3×qwen3,6,0,0.4061,0.0987
le_4b,gemma3×qwen3.5_dense,6,0,0.3072,0.2009
le_4b,gemma4×llama,4,0,0.328,0.2909
le_4b,gemma4×qwen2.5,6,0,0.4227,0.3479
le_4b,gemma4×qwen3,6,0,0.4694,0.3774
le_4b,gemma4×qwen3.5_dense,6,0,0.4045,0.413
le_4b,llama×qwen2.5,6,0,0.7449,0.5535
le_4b,llama×qwen3,6,0,0.655,0.6084
le_4b,llama×qwen3.5_dense,6,0,0.8086,0.7146
le_4b,qwen2.5×qwen3,9,0,0.8364,0.9021
le_4b,qwen2.5×qwen3.5_dense,9,0,0.7157,0.6149
le_4b,qwen3×qwen3.5_dense,9,0,0.6279,0.6141
