model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Gemma-2-27B,Gemma-2-27B-Instruct,0,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981577782013268,0.9818693533282922,0.9816622255082417,0.9981553914584803,0.9818715819695819,0.9816827354398435
Gemma-2-27B,Gemma-2-27B-Instruct,1,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981972117983113,0.9824714129187905,0.9822855876092914,0.998201553995114,0.9825676925545548,0.9823086053726493
Gemma-2-27B,Gemma-2-27B-Instruct,2,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981535665615969,0.9819593830424543,0.9817628248575373,0.9981538606870798,0.9819480530190442,0.9817499806574821
Gemma-2-27B,Gemma-2-27B-Instruct,3,id,20000,5000000,4608,4608,256000,256000,True,True,0.998175919725834,0.9823155668911162,0.9821112369465834,0.9981769041197873,0.9823692031355509,0.9821215892393218
Gemma-2-27B,Gemma-2-27B-Instruct,4,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981931355224347,0.9825226980676061,0.9823345156567188,0.9981944571578182,0.9825805830721246,0.9823687352000627
Gemma-2-27B,Gemma-2-27B-Instruct,5,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981346954678981,0.9817231591438217,0.9815403670884238,0.998130895785787,0.9817148354096515,0.981533179777237
Gemma-2-27B,Gemma-2-27B-Instruct,6,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981255563425149,0.9817136064213383,0.9815414249377994,0.9981212662560219,0.9816459629154988,0.9814909796271519
Gemma-2-27B,Gemma-2-27B-Instruct,7,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981773298131912,0.9819034291811859,0.9817429186838648,0.9981844122085654,0.9820114543175191,0.9818082928800882
Gemma-2-27B,Gemma-2-27B-Instruct,8,id,20000,5000000,4608,4608,256000,256000,True,True,0.9982120047846877,0.9826285902147526,0.9824893731655449,0.9982107516585654,0.9826053477661705,0.982475246654039
Gemma-2-27B,Gemma-2-27B-Instruct,9,id,20000,5000000,4608,4608,256000,256000,True,True,0.9981615202283437,0.981858248113386,0.9816141990907118,0.9981653843413234,0.9818688672333356,0.9816241104766915
