model_a,model_b,align_mode,n_tokens,n_bootstrap,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos_mean,gcorr_E_cos_std,gcorr_E_cos_se,gcorr_E_cos_ci95_low,gcorr_E_cos_ci95_high,gcorr_E_cos_median,gcorr_E_euc_mean,gcorr_E_euc_std,gcorr_E_euc_se,gcorr_E_euc_ci95_low,gcorr_E_euc_ci95_high,gcorr_E_euc_median,gcorr_E_euc2_mean,gcorr_E_euc2_std,gcorr_E_euc2_se,gcorr_E_euc2_ci95_low,gcorr_E_euc2_ci95_high,gcorr_E_euc2_median,gcorr_U_cos_mean,gcorr_U_cos_std,gcorr_U_cos_se,gcorr_U_cos_ci95_low,gcorr_U_cos_ci95_high,gcorr_U_cos_median,gcorr_U_euc_mean,gcorr_U_euc_std,gcorr_U_euc_se,gcorr_U_euc_ci95_low,gcorr_U_euc_ci95_high,gcorr_U_euc_median,gcorr_U_euc2_mean,gcorr_U_euc2_std,gcorr_U_euc2_se,gcorr_U_euc2_ci95_low,gcorr_U_euc2_ci95_high,gcorr_U_euc2_median
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,id,20000,100,5000000,8192,4096,128256,128256,False,False,0.41041578104267906,0.0011906267919723269,0.00011906267919723268,0.40838098816052726,0.4127573472268637,0.4103668506872674,0.8849728812612695,0.0021101517538655115,0.00021101517538655115,0.8812004703376292,0.888968547429101,0.8849885626133138,0.881359155829788,0.0019024614930800085,0.00019024614930800084,0.8777478561309777,0.8848629549976037,0.8813356810428025,0.8432503762989423,0.0015217618637795164,0.00015217618637795163,0.8402296092496984,0.8460200709326996,0.8434198265724907,0.8971348973264318,0.001850605130627911,0.0001850605130627911,0.8935886995882618,0.9006848013227478,0.8970395373634701,0.8916069565230269,0.0019430691653811187,0.00019430691653811186,0.8879178508370232,0.8952623699392828,0.8913635373631608
Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,id,20000,100,5000000,8192,2048,128256,128256,False,True,0.17815316687396113,0.0016137567981721244,0.00016137567981721243,0.17493298648716588,0.18122630112447827,0.17826363842241527,0.35358168660095096,0.009034027967594048,0.0009034027967594049,0.3359945186447167,0.3699927100030759,0.3536889331790951,0.31960199043080795,0.008398026889243697,0.0008398026889243698,0.3035675987029317,0.33495464037511,0.3197817065651747,0.7519088549718985,0.0021552582506856105,0.00021552582506856105,0.7475873647731246,0.7561133713906472,0.7519356688713146,0.6454181800163614,0.0038817752529278268,0.00038817752529278265,0.637670453841877,0.6522799510393789,0.6453842416127527,0.6432113665119852,0.0038544598686756784,0.00038544598686756786,0.6352363188843648,0.6505665900240641,0.6432922816430275
Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,id,20000,100,5000000,8192,3072,128256,128256,False,True,0.1585853321750926,0.001629090526434959,0.00016290905264349588,0.1553015113378774,0.16185074861036902,0.15855165112494773,0.43388255720640395,0.007933559925611539,0.0007933559925611539,0.41796550834439444,0.4469568982349386,0.43486508165512,0.405372475089298,0.007429134863042836,0.0007429134863042836,0.3907033207236538,0.41770563805146776,0.4059699842537515,0.7504845081592103,0.002184356417828957,0.00021843564178289569,0.7461703207446827,0.7544625000006118,0.7504792955076756,0.7260821399874043,0.003437389647612781,0.0003437389647612781,0.7189360249316012,0.7323441736980696,0.7260466129047377,0.727045201089888,0.0034979962627859048,0.0003497996262785905,0.7197353153461588,0.733475438546229,0.7271872658527576
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,id,20000,100,5000000,4096,2048,128256,128256,False,True,0.07401504710148876,0.0024787442556905696,0.00024787442556905697,0.06946343460993086,0.07947362013271347,0.0739267616433019,0.35941256357762813,0.009220394680037491,0.0009220394680037492,0.3390450090617908,0.37724540237525817,0.36065028839992797,0.3220470611323866,0.008540233927884455,0.0008540233927884454,0.3034305814003752,0.3382494210267844,0.32304986529137436,0.8751130545957867,0.0014272258767260117,0.00014272258767260117,0.8720708509753307,0.8775780066502114,0.8752607179866165,0.6717761759075109,0.004136076167510462,0.0004136076167510462,0.6642509218763386,0.680580082030221,0.6715694778973871,0.6693971977073718,0.004091864178321071,0.0004091864178321071,0.6616586307289379,0.6785072119511032,0.6691296626149317
Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,id,20000,100,5000000,4096,3072,128256,128256,False,True,0.056513218695155264,0.0026001444536175376,0.00026001444536175375,0.051720433736912375,0.06209077390949867,0.05643452365490181,0.4235190946264099,0.0081102375666588,0.00081102375666588,0.40497215079271565,0.43831686216544563,0.42445279590781654,0.39108510106333033,0.007557585188239455,0.0007557585188239454,0.37418066899021785,0.4049927456718696,0.3917215003451969,0.8765251725877703,0.0013599916594587485,0.00013599916594587486,0.8737528603304313,0.8791406199720588,0.8766682728374524,0.7216446460014321,0.0036995124785571165,0.00036995124785571163,0.7141728529399352,0.7288731319864863,0.7214646535777903,0.7195857753618775,0.0037329107688616743,0.00037329107688616745,0.7122903410299569,0.7271361214475902,0.7195764525384618
Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,id,20000,100,5000000,2048,3072,128256,128256,True,True,0.9485399618616771,0.000811391342655942,8.11391342655942e-05,0.9470932086272027,0.9500828849452635,0.9486250852418197,0.9587572712791385,0.0005187280292507016,5.1872802925070155e-05,0.9576723131990053,0.9597638748620627,0.9587655107489499,0.9564052906102064,0.000511619950827817,5.1161995082781704e-05,0.9553263791498464,0.9573686717257524,0.9563588439749106,0.9485470946444667,0.0007992236496089797,7.992236496089797e-05,0.9470845106195088,0.9500357302166277,0.9486001243416506,0.9587621121256208,0.0005186070392416637,5.186070392416637e-05,0.9576820394629076,0.959710949304063,0.95878822962933,0.9564090749573628,0.0005129374614049676,5.129374614049676e-05,0.9553586778793156,0.9573112791671401,0.9563521909838153
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,id,20000,100,5000000,896,1536,151936,151936,True,True,0.850934888714096,0.002415584455837513,0.00024155844558375127,0.845880058581577,0.8557022497622684,0.8511245503290119,0.8886101924284414,0.002427182770369584,0.0002427182770369584,0.8840355960118482,0.8927282620163911,0.8886454696908597,0.8734967655310575,0.0026072735081715303,0.00026072735081715304,0.8685031790961257,0.8783328273121818,0.8737866880175247,0.8509074439075612,0.0023985224545494347,0.00023985224545494346,0.8458807656221052,0.8557266626638489,0.8511081646573346,0.8886113669960466,0.002397851356566271,0.0002397851356566271,0.8840964154390955,0.8927098729157318,0.8886290034385598,0.8735136722109423,0.002576523616366726,0.0002576523616366726,0.8685860419643718,0.8783150762561116,0.8737947132566664
Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct,id,20000,100,5000000,896,2048,151936,151936,True,True,0.8481012630615636,0.002281355422817768,0.0002281355422817768,0.8435696427372212,0.8523771454386249,0.8483090820077717,0.862303557024872,0.0030839608692452437,0.0003083960869245244,0.8564113873758471,0.8673151966031197,0.8626904291904312,0.8411058187775815,0.0033571160083651517,0.0003357116008365152,0.8345962308989733,0.8466894923814028,0.8414118986056418,0.8480742277422247,0.002266903583227521,0.00022669035832275213,0.8436559990682108,0.8524901188332166,0.8482265002953684,0.862326859420935,0.0030474891179772725,0.00030474891179772725,0.8566151072826909,0.8674080589131051,0.8625255259999991,0.8411506530517155,0.003311883925112223,0.0003311883925112223,0.8347767614945496,0.846676164980304,0.841410629413311
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,string,20000,100,5000000,896,3584,151936,152064,True,False,0.05863786942046822,0.0024715686216800546,0.00024715686216800545,0.05426493902335366,0.06315644432310026,0.05878638490307289,0.6238018287889137,0.007220143791756738,0.0007220143791756738,0.607880953443046,0.6363165828820357,0.6240752187815258,0.5510612364512355,0.007372168305034959,0.0007372168305034959,0.5358688687754403,0.5651470468633807,0.551165884967368,0.8485752780496982,0.002213602713579451,0.0002213602713579451,0.843949609847933,0.8525739820829865,0.848836959572491,0.8027542473217452,0.003467665832143053,0.0003467665832143053,0.7963729802033567,0.8098533967730884,0.8028261138657593,0.7736492822190014,0.003650379946320355,0.0003650379946320355,0.7676124728301317,0.7810954106334144,0.7732524126983837
Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct,string,20000,100,5000000,896,5120,151936,152064,True,False,0.1496150100594863,0.0025945755120765617,0.00025945755120765617,0.14368652069774634,0.15390189816135885,0.15016179604890834,0.5866406864415058,0.007253226418986965,0.0007253226418986964,0.5719133797638106,0.5989601807813077,0.5868377372161686,0.5145543205549352,0.007283435726133781,0.0007283435726133782,0.5010133701352069,0.5274009267781014,0.5141050724404753,0.6663557980180822,0.002943335189663254,0.0002943335189663254,0.6595838029265457,0.6714326348625723,0.6665295998900195,0.7525393772467317,0.004537921930172026,0.00045379219301720254,0.7443803997919392,0.7618329880849253,0.7522854965033149,0.718458231377136,0.004795655151445427,0.0004795655151445427,0.709392752152392,0.7282266608726031,0.7181671975123647
