model_a,model_b,align_mode,n_tokens,n_bootstrap,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos_mean,gcorr_E_cos_std,gcorr_E_cos_se,gcorr_E_cos_ci95_low,gcorr_E_cos_ci95_high,gcorr_E_cos_median,gcorr_E_euc_mean,gcorr_E_euc_std,gcorr_E_euc_se,gcorr_E_euc_ci95_low,gcorr_E_euc_ci95_high,gcorr_E_euc_median,gcorr_E_euc2_mean,gcorr_E_euc2_std,gcorr_E_euc2_se,gcorr_E_euc2_ci95_low,gcorr_E_euc2_ci95_high,gcorr_E_euc2_median,gcorr_U_cos_mean,gcorr_U_cos_std,gcorr_U_cos_se,gcorr_U_cos_ci95_low,gcorr_U_cos_ci95_high,gcorr_U_cos_median,gcorr_U_euc_mean,gcorr_U_euc_std,gcorr_U_euc_se,gcorr_U_euc_ci95_low,gcorr_U_euc_ci95_high,gcorr_U_euc_median,gcorr_U_euc2_mean,gcorr_U_euc2_std,gcorr_U_euc2_se,gcorr_U_euc2_ci95_low,gcorr_U_euc2_ci95_high,gcorr_U_euc2_median
Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,id,20000,100,5000000,8192,2048,128256,128256,False,True,0.17815316687396113,0.0016137567981721244,0.00016137567981721243,0.17493298648716588,0.18122630112447827,0.17826363842241527,0.35358168660095096,0.009034027967594048,0.0009034027967594049,0.3359945186447167,0.3699927100030759,0.3536889331790951,0.31960199043080795,0.008398026889243697,0.0008398026889243698,0.3035675987029317,0.33495464037511,0.3197817065651747,0.7519088549718985,0.0021552582506856105,0.00021552582506856105,0.7475873647731246,0.7561133713906472,0.7519356688713146,0.6454181800163614,0.0038817752529278268,0.00038817752529278265,0.637670453841877,0.6522799510393789,0.6453842416127527,0.6432113665119852,0.0038544598686756784,0.00038544598686756786,0.6352363188843648,0.6505665900240641,0.6432922816430275
Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,id,20000,100,5000000,8192,3072,128256,128256,False,True,0.1585853321750926,0.001629090526434959,0.00016290905264349588,0.1553015113378774,0.16185074861036902,0.15855165112494773,0.43388255720640395,0.007933559925611539,0.0007933559925611539,0.41796550834439444,0.4469568982349386,0.43486508165512,0.405372475089298,0.007429134863042836,0.0007429134863042836,0.3907033207236538,0.41770563805146776,0.4059699842537515,0.7504845081592103,0.002184356417828957,0.00021843564178289569,0.7461703207446827,0.7544625000006118,0.7504792955076756,0.7260821399874043,0.003437389647612781,0.0003437389647612781,0.7189360249316012,0.7323441736980696,0.7260466129047377,0.727045201089888,0.0034979962627859048,0.0003497996262785905,0.7197353153461588,0.733475438546229,0.7271872658527576
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,id,20000,100,5000000,4096,2048,128256,128256,False,True,0.07401504710148876,0.0024787442556905696,0.00024787442556905697,0.06946343460993086,0.07947362013271347,0.0739267616433019,0.35941256357762813,0.009220394680037491,0.0009220394680037492,0.3390450090617908,0.37724540237525817,0.36065028839992797,0.3220470611323866,0.008540233927884455,0.0008540233927884454,0.3034305814003752,0.3382494210267844,0.32304986529137436,0.8751130545957867,0.0014272258767260117,0.00014272258767260117,0.8720708509753307,0.8775780066502114,0.8752607179866165,0.6717761759075109,0.004136076167510462,0.0004136076167510462,0.6642509218763386,0.680580082030221,0.6715694778973871,0.6693971977073718,0.004091864178321071,0.0004091864178321071,0.6616586307289379,0.6785072119511032,0.6691296626149317
Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,id,20000,100,5000000,4096,3072,128256,128256,False,True,0.056513218695155264,0.0026001444536175376,0.00026001444536175375,0.051720433736912375,0.06209077390949867,0.05643452365490181,0.4235190946264099,0.0081102375666588,0.00081102375666588,0.40497215079271565,0.43831686216544563,0.42445279590781654,0.39108510106333033,0.007557585188239455,0.0007557585188239454,0.37418066899021785,0.4049927456718696,0.3917215003451969,0.8765251725877703,0.0013599916594587485,0.00013599916594587486,0.8737528603304313,0.8791406199720588,0.8766682728374524,0.7216446460014321,0.0036995124785571165,0.00036995124785571163,0.7141728529399352,0.7288731319864863,0.7214646535777903,0.7195857753618775,0.0037329107688616743,0.00037329107688616745,0.7122903410299569,0.7271361214475902,0.7195764525384618
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,string,20000,100,5000000,896,3584,151936,152064,True,False,0.05863786942046822,0.0024715686216800546,0.00024715686216800545,0.05426493902335366,0.06315644432310026,0.05878638490307289,0.6238018287889137,0.007220143791756738,0.0007220143791756738,0.607880953443046,0.6363165828820357,0.6240752187815258,0.5510612364512355,0.007372168305034959,0.0007372168305034959,0.5358688687754403,0.5651470468633807,0.551165884967368,0.8485752780496982,0.002213602713579451,0.0002213602713579451,0.843949609847933,0.8525739820829865,0.848836959572491,0.8027542473217452,0.003467665832143053,0.0003467665832143053,0.7963729802033567,0.8098533967730884,0.8028261138657593,0.7736492822190014,0.003650379946320355,0.0003650379946320355,0.7676124728301317,0.7810954106334144,0.7732524126983837
Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct,string,20000,100,5000000,896,5120,151936,152064,True,False,0.1496150100594863,0.0025945755120765617,0.00025945755120765617,0.14368652069774634,0.15390189816135885,0.15016179604890834,0.5866406864415058,0.007253226418986965,0.0007253226418986964,0.5719133797638106,0.5989601807813077,0.5868377372161686,0.5145543205549352,0.007283435726133781,0.0007283435726133782,0.5010133701352069,0.5274009267781014,0.5141050724404753,0.6663557980180822,0.002943335189663254,0.0002943335189663254,0.6595838029265457,0.6714326348625723,0.6665295998900195,0.7525393772467317,0.004537921930172026,0.00045379219301720254,0.7443803997919392,0.7618329880849253,0.7522854965033149,0.718458231377136,0.004795655151445427,0.0004795655151445427,0.709392752152392,0.7282266608726031,0.7181671975123647
Qwen2.5-0.5B-Instruct,Qwen2.5-32B-Instruct,string,20000,100,5000000,896,5120,151936,152064,True,False,0.15223633935468964,0.002358174375327162,0.0002358174375327162,0.14730206006739838,0.15580050276129895,0.15256359152002014,0.5604424748045442,0.007235543261989424,0.0007235543261989424,0.5456995335695944,0.5725765584115721,0.5606173693258361,0.4873636107379695,0.00719349965173515,0.000719349965173515,0.47356456920912127,0.4998584657582572,0.48752420958685977,0.7416716089242237,0.002865504850515039,0.0002865504850515039,0.7348523051338762,0.7462502292713735,0.741801104074642,0.7670410878898882,0.004277586557987523,0.0004277586557987523,0.7587899671382996,0.775367325002082,0.7673728236367846,0.7300303178793672,0.004440972115346569,0.0004440972115346569,0.7214653226309513,0.738661755240652,0.7302790178167449
Qwen2.5-0.5B-Instruct,Qwen2.5-72B-Instruct,string,20000,100,5000000,896,8192,151936,152064,True,False,0.1176689619432989,0.0019729238390533825,0.00019729238390533825,0.11398600481767095,0.1216252297302004,0.1177969733014684,0.5164089756721478,0.007610680490710292,0.0007610680490710292,0.4997609911151351,0.5293666910498862,0.5162080234516473,0.4378944079566198,0.007528004489897814,0.0007528004489897814,0.4224918457113531,0.4514251261938465,0.43760328212898947,0.8249948838378457,0.0025648797025551564,0.00025648797025551565,0.818051021980609,0.8294880619798206,0.8251930185297969,0.7531862221680599,0.003969185803549915,0.0003969185803549915,0.7450535573762556,0.7610687677209439,0.7531638541348675,0.7142496708179484,0.004054773646254983,0.0004054773646254983,0.7060683752530009,0.7220494590952802,0.7142655560318187
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,string,20000,100,5000000,1536,3584,151936,152064,True,False,0.0901220192325011,0.00303161811414655,0.000303161811414655,0.08483617200799673,0.09647004125658191,0.08997615137210684,0.6198518285699405,0.006333211455376934,0.0006333211455376934,0.6071743067989877,0.6315150601040702,0.619885275073618,0.5716311811695745,0.006270632510741508,0.0006270632510741508,0.5592705934510771,0.5835076931047639,0.5714100067929335,0.7934877205415206,0.003363632999507725,0.0003363632999507725,0.7863026250329127,0.799558873213427,0.7937387836639759,0.7959466644145827,0.0038716134289772945,0.00038716134289772943,0.7894692572506833,0.8040242369176697,0.7956996386501373,0.7591947724865961,0.0042484961006265575,0.00042484961006265576,0.7526014093339373,0.7686563039713896,0.7590963564746223
Qwen2.5-1.5B-Instruct,Qwen2.5-14B-Instruct,string,20000,100,5000000,1536,5120,151936,152064,True,False,0.1580800634495088,0.002612921314602652,0.0002612921314602652,0.15172861510873584,0.1620522097497826,0.15849458786641243,0.6043508330054087,0.006033487252647181,0.000603348725264718,0.5925869463514185,0.6153127305057405,0.6041680723778234,0.5537137767929985,0.005896854549435419,0.0005896854549435419,0.5427511121233242,0.5647896634746657,0.553134459124949,0.7356854441424272,0.003383489804351084,0.0003383489804351084,0.7286180853584779,0.7412539358940969,0.7353437318675426,0.8756207225523227,0.002557469417844199,0.00025574694178441993,0.8705616543238286,0.8808080006410118,0.8754949260164523,0.8578697214613661,0.002631778307966531,0.0002631778307966531,0.8528040121945568,0.8634068389418756,0.8576586526542435
