model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,tied,vocab_size,hidden_dim
DeepSeek-R1,other_models,deepseek_r1,,E,3.157230854034424,0.24874897301197052,0.07878707149149708,False,129280,7168
DeepSeek-R1,other_models,deepseek_r1,,U,6.671839714050293,0.532281219959259,0.0797802769209702,False,129280,7168
DeepSeek-R1-0528,other_models,deepseek_r1,,E,3.157231330871582,0.24874794483184814,0.07878673393348692,False,129280,7168
DeepSeek-R1-0528,other_models,deepseek_r1,,U,6.672057628631592,0.5328845381736755,0.0798680958460138,False,129280,7168
DeepSeek-R1-Distill-Llama-70B,other_models,deepseek_r1_distill_llama,,E,0.8151389956474304,0.07679088413715363,0.09420587721504095,False,128256,8192
DeepSeek-R1-Distill-Llama-70B,other_models,deepseek_r1_distill_llama,,U,0.9398331046104431,0.12526005506515503,0.13327904119431375,False,128256,8192
DeepSeek-R1-Distill-Llama-8B,other_models,deepseek_r1_distill_llama,,E,0.6813199520111084,0.08688032627105713,0.12751766040992238,False,128256,4096
DeepSeek-R1-Distill-Llama-8B,other_models,deepseek_r1_distill_llama,,U,0.9040384888648987,0.23979009687900543,0.26524323890245355,False,128256,4096
DeepSeek-R1-Distill-Qwen-1.5B,other_models,deepseek_r1_distill_qwen,,E,1.1660844087600708,0.5936555862426758,0.509101726927235,False,151936,1536
DeepSeek-R1-Distill-Qwen-1.5B,other_models,deepseek_r1_distill_qwen,,U,1.1393234729766846,0.6330559849739075,0.5556420103589514,False,151936,1536
DeepSeek-R1-Distill-Qwen-14B,other_models,deepseek_r1_distill_qwen,,E,1.1442793607711792,0.07765589654445648,0.06786445618674869,False,152064,5120
DeepSeek-R1-Distill-Qwen-14B,other_models,deepseek_r1_distill_qwen,,U,1.1853991746902466,0.18374168872833252,0.15500406331592526,False,152064,5120
DeepSeek-R1-Distill-Qwen-32B,other_models,deepseek_r1_distill_qwen,,E,1.208452820777893,0.06891073286533356,0.0570239331486479,False,152064,5120
DeepSeek-R1-Distill-Qwen-32B,other_models,deepseek_r1_distill_qwen,,U,1.2312781810760498,0.20179878175258636,0.16389373648790603,False,152064,5120
DeepSeek-R1-Distill-Qwen-7B,other_models,deepseek_r1_distill_qwen,,E,1.0362467765808105,0.08136724680662155,0.07852110968692236,False,152064,3584
DeepSeek-R1-Distill-Qwen-7B,other_models,deepseek_r1_distill_qwen,,U,1.0287799835205078,0.43357691168785095,0.4214476551187759,False,152064,3584
