model,model_group,matrix,mean,var,min,max,tied,vocab_size,hidden_dim
DeepSeek-R1,deepseek_r1,E,3.157230854034424,0.20514242351055145,0.49316585063934326,4.658359050750732,False,129280,7168
DeepSeek-R1,deepseek_r1,U,6.671839714050293,0.9238325953483582,1.0977725982666016,10.52165699005127,False,129280,7168
DeepSeek-R1-0528,deepseek_r1,E,3.157231330871582,0.20514218509197235,0.49316585063934326,4.658323287963867,False,129280,7168
DeepSeek-R1-0528,deepseek_r1,U,6.672057628631592,0.9241083860397339,1.0951050519943237,10.521367073059082,False,129280,7168
DeepSeek-R1-Distill-Llama-70B,deepseek_r1_distill_llama,E,0.8151389956474304,0.014172441326081753,2.4776472855592147e-05,1.1039446592330933,False,128256,8192
DeepSeek-R1-Distill-Llama-70B,deepseek_r1_distill_llama,U,0.9398331046104431,0.021172376349568367,0.3525978624820709,1.815901517868042,False,128256,8192
DeepSeek-R1-Distill-Llama-8B,deepseek_r1_distill_llama,E,0.6813199520111084,0.0072133238427340984,2.0047253269492893e-21,0.9348875880241394,False,128256,4096
DeepSeek-R1-Distill-Llama-8B,deepseek_r1_distill_llama,U,0.9040384888648987,0.015853416174650192,0.4240921437740326,1.7867236137390137,False,128256,4096
DeepSeek-R1-Distill-Qwen-1.5B,deepseek_r1_distill_qwen,E,1.1660844087600708,0.02859095297753811,0.7301058769226074,1.9898322820663452,False,151936,1536
DeepSeek-R1-Distill-Qwen-1.5B,deepseek_r1_distill_qwen,U,1.1393234729766846,0.022033264860510826,0.7417265176773071,1.883095622062683,False,151936,1536
DeepSeek-R1-Distill-Qwen-14B,deepseek_r1_distill_qwen,E,1.1442793607711792,0.08849343657493591,0.0,1.7813094854354858,False,152064,5120
DeepSeek-R1-Distill-Qwen-14B,deepseek_r1_distill_qwen,U,1.1853991746902466,0.04695107042789459,0.2555812895298004,1.9806607961654663,False,152064,5120
DeepSeek-R1-Distill-Qwen-32B,deepseek_r1_distill_qwen,E,1.208452820777893,0.11426001042127609,0.0,1.9023184776306152,False,152064,5120
DeepSeek-R1-Distill-Qwen-32B,deepseek_r1_distill_qwen,U,1.2312781810760498,0.05185330659151077,0.3632974624633789,2.0152015686035156,False,152064,5120
DeepSeek-R1-Distill-Qwen-7B,deepseek_r1_distill_qwen,E,1.0362467765808105,0.15559682250022888,0.0,1.9746873378753662,False,152064,3584
DeepSeek-R1-Distill-Qwen-7B,deepseek_r1_distill_qwen,U,1.0287799835205078,0.02678767591714859,0.5732942819595337,1.7558863162994385,False,152064,3584
DeepSeek-V2-Lite,deepseek_v2_moe,E,5.785749435424805,1.955051302909851,0.2565245032310486,9.041922569274902,False,102400,2048
DeepSeek-V2-Lite,deepseek_v2_moe,U,6.739805698394775,1.1509144306182861,1.5730230808258057,12.358369827270508,False,102400,2048
DeepSeek-V2-Lite-Chat,deepseek_v2_moe,E,5.785707950592041,1.954961895942688,0.2565245032310486,9.039116859436035,False,102400,2048
DeepSeek-V2-Lite-Chat,deepseek_v2_moe,U,6.738328456878662,1.1501928567886353,1.5730230808258057,12.333983421325684,False,102400,2048
DeepSeek-V3.2,deepseek_v3_moe,E,3.152761220932007,0.203038290143013,0.49316585063934326,4.650850296020508,False,129280,7168
DeepSeek-V3.2,deepseek_v3_moe,U,6.669526100158691,0.9223756194114685,1.0977716445922852,10.503616333007812,False,129280,7168
DeepSeek-V3.2-Speciale,deepseek_v3_moe,E,3.1527652740478516,0.20304088294506073,0.49316585063934326,4.650862693786621,False,129280,7168
DeepSeek-V3.2-Speciale,deepseek_v3_moe,U,6.669405937194824,0.9222848415374756,1.0959397554397583,10.502955436706543,False,129280,7168
DeepSeek-V4-Flash,deepseek_v4_moe,E,7.287116527557373,2.901742696762085,0.37132906913757324,47.29735565185547,False,129280,4096
DeepSeek-V4-Flash,deepseek_v4_moe,U,11.286921501159668,2.126633882522583,4.420812129974365,29.770727157592773,False,129280,4096
DeepSeek-V4-Pro,deepseek_v4_moe,E,7.427170276641846,1.2792099714279175,0.4954865872859955,27.690338134765625,False,129280,7168
DeepSeek-V4-Pro,deepseek_v4_moe,U,9.535568237304688,1.8792827129364014,4.304664134979248,22.322669982910156,False,129280,7168
GLM-5-744B,glm5,E,0.7069623470306396,0.012689845636487007,0.0032584345899522305,0.9649168848991394,False,154880,6144
GLM-5-744B,glm5,U,1.5126714706420898,0.052025001496076584,0.4310566186904907,5.139055252075195,False,154880,6144
GLM-5.1,glm5.1,E,0.7053305506706238,0.012627276591956615,0.003246679902076721,0.9607012271881104,False,154880,6144
GLM-5.1,glm5.1,U,1.5053001642227173,0.05169183015823364,0.42959457635879517,5.124720573425293,False,154880,6144
MiniMax-M2.5-Chat,minimax_m2.5,E,1.3246935606002808,0.004791004583239555,0.004053841345012188,3.175111770629883,False,200064,3072
MiniMax-M2.5-Chat,minimax_m2.5,U,0.936824381351471,0.014374783262610435,0.45452240109443665,1.9334876537322998,False,200064,3072
MiniMax-M2.7,minimax_m2.7,E,1.3239061832427979,0.00480999518185854,0.004049685318022966,3.1698203086853027,False,200064,3072
MiniMax-M2.7,minimax_m2.7,U,0.9450650215148926,0.014457931742072105,0.4749395549297333,1.897751808166504,False,200064,3072
