model,matrix,rank1,rank2_unc,rank1_c_recomputed,rank1_c_csv,rank1_c_from_spectral_gpu,ratio_r1c_over_r2,cos_v2_v1c,cos_v1_mu,abs_rank1c_recomputed_minus_rank2
DeepSeek-R1,E,0.008422,0.006303,0.007427,0.007427,0.007427,1.178358,0.108796,0.677177,0.001124
DeepSeek-R1,U,0.011169,0.008279,0.009464,0.009464,0.009464,1.143133,0.653540,0.796907,0.001185
DeepSeek-R1-0528,E,0.008422,0.006303,0.007427,0.007427,0.007427,1.178381,0.108886,0.677161,0.001124
DeepSeek-R1-0528,U,0.011177,0.008280,0.009466,0.009466,0.009466,1.143195,0.653996,0.797326,0.001186
DeepSeek-R1-Distill-Llama-70B,E,0.009573,0.004108,0.004145,0.004145,0.004145,1.009178,0.999345,0.990626,0.000038
DeepSeek-R1-Distill-Llama-70B,U,0.027555,0.003177,0.011407,0.011407,0.011407,3.590231,0.200506,0.989679,0.008230
DeepSeek-R1-Distill-Llama-8B,E,0.016751,0.005710,0.006072,0.006072,0.006072,1.063383,0.962834,0.995525,0.000362
DeepSeek-R1-Distill-Llama-8B,U,0.091737,0.003157,0.026634,0.026634,0.026634,8.435925,0.216318,0.996283,0.023477
DeepSeek-R1-Distill-Qwen-1.5B,E,0.272994,0.005372,0.029695,0.029695,0.029695,5.527828,0.345056,0.999616,0.024323
DeepSeek-R1-Distill-Qwen-1.5B,U,0.326567,0.004221,0.036788,0.036788,0.036788,8.715995,0.286969,0.999707,0.032567
DeepSeek-R1-Distill-Qwen-14B,E,0.006119,0.005134,0.006137,0.006137,0.006137,1.195347,0.083429,0.101950,0.001003
DeepSeek-R1-Distill-Qwen-14B,U,0.028353,0.002914,0.006663,0.006663,0.006663,2.286581,0.406327,0.995224,0.003749
DeepSeek-R1-Distill-Qwen-32B,E,0.006295,0.004000,0.006114,0.006114,0.006114,1.528671,0.208267,0.376018,0.002115
DeepSeek-R1-Distill-Qwen-32B,U,0.035566,0.005516,0.011061,0.011061,0.011061,2.005243,0.089863,0.993993,0.005545
DeepSeek-R1-Distill-Qwen-7B,E,0.012972,0.006400,0.009623,0.009623,0.009623,1.503522,0.100967,0.876192,0.003223
DeepSeek-R1-Distill-Qwen-7B,U,0.193414,0.008356,0.027960,0.027960,0.027960,3.346216,0.250249,0.999186,0.019605
DeepSeek-V2-Lite,E,0.023830,0.009997,0.010292,0.010292,0.010292,1.029492,0.966217,0.985381,0.000295
DeepSeek-V2-Lite,U,0.059356,0.005640,0.008930,0.008930,0.008930,1.583363,0.353809,0.998420,0.003290
DeepSeek-V2-Lite-Chat,E,0.023828,0.009997,0.010292,0.010292,0.010292,1.029490,0.966263,0.985385,0.000295
DeepSeek-V2-Lite-Chat,U,0.059378,0.005642,0.008931,0.008931,0.008931,1.582761,0.354700,0.998421,0.003288
DeepSeek-V3,E,0.008422,0.006303,0.007427,0.007427,0.007427,1.178374,0.108910,0.677146,0.001124
DeepSeek-V3,U,0.011176,0.008278,0.009463,0.009463,0.009463,1.143194,0.653980,0.797314,0.001185
DeepSeek-V3-Base,E,0.008422,0.006303,0.007427,0.007427,0.007427,1.178334,0.108853,0.677140,0.001124
DeepSeek-V3-Base,U,0.011188,0.008282,0.009469,0.009469,0.009469,1.143390,0.654140,0.797540,0.001187
