subset,model,model_group,matrix,mean,var,min,max,role,tied,vocab_size,hidden_dim
base_instruct,DeepSeek-V3,deepseek_v3_moe,E,3.157227039337158,0.20514065027236938,0.49316585063934326,4.658169269561768,base,False,129280,7168
base_instruct,DeepSeek-V3,deepseek_v3_moe,U,6.672220230102539,0.9241209626197815,1.094524621963501,10.52098560333252,base,False,129280,7168
base_instruct,DeepSeek-V3-Base,deepseek_v3_moe,E,3.157236337661743,0.20514504611492157,0.49316585063934326,4.658177852630615,base,False,129280,7168
base_instruct,DeepSeek-V3-Base,deepseek_v3_moe,U,6.672492980957031,0.9240091443061829,1.0977725982666016,10.521657943725586,base,False,129280,7168
base_instruct,DeepSeek-V3.1,deepseek_v3_moe,E,3.155203104019165,0.20416206121444702,0.49316585063934326,4.655545711517334,base,False,129280,7168
base_instruct,DeepSeek-V3.1,deepseek_v3_moe,U,6.668074131011963,0.9219340085983276,1.0931994915008545,10.499757766723633,base,False,129280,7168
base_instruct,DeepSeek-V3.1-Base,deepseek_v3_moe,E,3.1552066802978516,0.2041652500629425,0.49316585063934326,4.656125068664551,base,False,129280,7168
base_instruct,DeepSeek-V3.1-Base,deepseek_v3_moe,U,6.669332981109619,0.9218738079071045,1.0977718830108643,10.500714302062988,base,False,129280,7168
base_instruct,Gemma-2-27B,gemma2,E,0.9992180466651917,2.2811996132077184e-06,0.967780590057373,1.0089586973190308,base,True,256000,4608
base_instruct,Gemma-2-27B,gemma2,U,0.9992180466651917,2.2811996132077184e-06,0.967780590057373,1.0089586973190308,base,True,256000,4608
base_instruct,Gemma-2-27B-Instruct,gemma2,E,0.9936171770095825,1.46364809552324e-05,0.974103569984436,1.0130709409713745,instruct,True,256000,4608
base_instruct,Gemma-2-27B-Instruct,gemma2,U,0.9936171770095825,1.46364809552324e-05,0.974103569984436,1.0130709409713745,instruct,True,256000,4608
base_instruct,Gemma-2-2B,gemma2,E,1.7797690629959106,0.0638558566570282,1.0731253623962402,4.871137619018555,base,True,256000,2304
base_instruct,Gemma-2-2B,gemma2,U,1.7797690629959106,0.0638558566570282,1.0731253623962402,4.871137619018555,base,True,256000,2304
base_instruct,Gemma-2-2B-Instruct,gemma2,E,1.7720335721969604,0.06352157890796661,1.0645421743392944,4.863351821899414,instruct,True,256000,2304
base_instruct,Gemma-2-2B-Instruct,gemma2,U,1.7720335721969604,0.06352157890796661,1.0645421743392944,4.863351821899414,instruct,True,256000,2304
base_instruct,Gemma-2-9B,gemma2,E,1.722504734992981,0.045349303632974625,1.0138236284255981,4.256280899047852,base,True,256000,3584
base_instruct,Gemma-2-9B,gemma2,U,1.722504734992981,0.045349303632974625,1.0138236284255981,4.256280899047852,base,True,256000,3584
base_instruct,Gemma-2-9B-Instruct,gemma2,E,1.7215255498886108,0.04559020698070526,1.0204237699508667,4.276258945465088,instruct,True,256000,3584
