base_model,instruct_model,base_tied,base_E,base_U,instruct_E,instruct_U,delta_E_pct,delta_U_pct
Qwen3-0.6B-Base,Qwen3-0.6B,True,"0.955460 (var=0.0195) [0.3447, 1.4251]",(=E),"0.925070 (var=0.0175) [0.3024, 1.3806]",(=E),-3.1807,-3.1807
Qwen3-1.7B-Base,Qwen3-1.7B,True,"1.578621 (var=0.0723) [0.3692, 2.3505]",(=E),"1.539382 (var=0.0676) [0.3475, 2.3117]",(=E),-2.4857,-2.4857
Qwen3-4B-Base,Qwen3-4B,True,"1.130571 (var=0.0324) [0.3495, 1.6759]",(=E),"1.097372 (var=0.0295) [0.3563, 1.6320]",(=E),-2.9365,-2.9365
Qwen3-8B-Base,Qwen3-8B,False,"1.392440 (var=0.1009) [0.0002, 1.9747]","1.678594 (var=0.0954) [0.3912, 2.4738]","1.375833 (var=0.0986) [0.0096, 1.9476]","1.638488 (var=0.0894) [0.3970, 2.4186]",-1.1927,-2.3892
Qwen3-14B-Base,Qwen3-14B,False,"1.322214 (var=0.1014) [0.0008, 2.1878]","1.491495 (var=0.0843) [0.2767, 2.2160]","1.306749 (var=0.0992) [0.0008, 2.1601]","1.455687 (var=0.0794) [0.2824, 2.1877]",-1.1696,-2.4008
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,False,"0.915518 (var=0.0354) [2.53e-05, 1.3098]","1.210180 (var=0.0316) [0.3937, 1.7818]","0.904628 (var=0.0346) [2.49e-05, 1.2924]","1.177611 (var=0.0293) [0.3892, 1.7422]",-1.1895,-2.6912
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,True,"0.631317 (var=0.0039) [0.3472, 1.0554]",(=E),"0.627213 (var=0.0039) [0.3466, 1.0571]",(=E),-0.6501,-0.6501
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,True,"0.681069 (var=0.0048) [0.3995, 1.1750]",(=E),"0.675691 (var=0.0047) [0.3991, 1.1779]",(=E),-0.7897,-0.7897
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,True,"0.661064 (var=0.0046) [0.4015, 1.0897]",(=E),"0.655775 (var=0.0045) [0.4001, 1.0911]",(=E),-0.8001,-0.8001
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,False,"0.855350 (var=0.0162) [4.14e-06, 1.0718]","0.992000 (var=0.0142) [0.3794, 1.5587]","0.852435 (var=0.0161) [4.11e-06, 1.0674]","0.983330 (var=0.0140) [0.3787, 1.5449]",-0.3407,-0.8741
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,False,"0.568392 (var=0.0064) [0.0005, 0.8121]","0.853659 (var=0.0087) [0.3886, 1.7269]","0.566611 (var=0.0064) [0.0005, 0.8076]","0.845854 (var=0.0086) [0.3881, 1.7141]",-0.3134,-0.9143
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,True,"0.463281 (var=0.0038) [0.2869, 0.8066]",(=E),"0.452634 (var=0.0035) [0.2849, 0.7798]",(=E),-2.2982,-2.2982
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,True,"1.015754 (var=0.0208) [0.4054, 1.5647]",(=E),"1.012561 (var=0.0202) [0.4147, 1.5590]",(=E),-0.3144,-0.3144
Qwen2.5-3B,Qwen2.5-3B-Instruct,True,"1.092016 (var=0.0265) [0.3777, 1.6296]",(=E),"1.088976 (var=0.0256) [0.3796, 1.6249]",(=E),-0.2783,-0.2783
Qwen2.5-7B,Qwen2.5-7B-Instruct,False,"0.791495 (var=0.0419) [0, 1.1215]","0.702594 (var=0.0149) [0.3272, 1.5823]","0.790655 (var=0.0418) [0, 1.1200]","0.698933 (var=0.0147) [0.3277, 1.5767]",-0.1060,-0.5211
Qwen2.5-14B,Qwen2.5-14B-Instruct,False,"1.141519 (var=0.0875) [0, 1.7609]","1.199214 (var=0.0496) [0.2356, 1.9831]","1.140284 (var=0.0873) [0, 1.7608]","1.195604 (var=0.0488) [0.2430, 1.9880]",-0.1082,-0.3010
Qwen2.5-32B,Qwen2.5-32B-Instruct,False,"1.207374 (var=0.1138) [0, 1.8994]","1.242295 (var=0.0533) [0.3645, 2.0182]","1.206060 (var=0.1135) [0, 1.8982]","1.237966 (var=0.0529) [0.3625, 2.0174]",-0.1088,-0.3485
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,False,"0.805492 (var=0.0604) [2.07e-14, 1.4107]","0.868490 (var=0.0264) [0.4034, 1.8990]","0.804685 (var=0.0603) [2.07e-14, 1.4092]","0.864182 (var=0.0263) [0.4033, 1.8819]",-0.1003,-0.4960
Llama-3.2-1B,Llama-3.2-1B-Instruct,True,"0.987007 (var=0.0087) [0.5442, 1.3784]",(=E),"0.929794 (var=0.0083) [0.5215, 1.3203]",(=E),-5.7967,-5.7967
Llama-3.2-3B,Llama-3.2-3B-Instruct,True,"1.147452 (var=0.0135) [0.6390, 1.5486]",(=E),"1.086130 (var=0.0128) [0.6221, 1.4695]",(=E),-5.3442,-5.3442
Llama-3.1-8B,Llama-3.1-8B-Instruct,False,"0.674119 (var=0.0071) [2.00e-21, 0.9349]","0.916771 (var=0.0163) [0.4293, 1.7925]","0.671327 (var=0.0071) [1.99e-21, 0.9313]","0.904344 (var=0.0159) [0.4149, 1.7803]",-0.4142,-1.3556
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,False,"0.817750 (var=0.0143) [2.49e-05, 1.1082]","0.957179 (var=0.0216) [0.3590, 1.8338]","0.814383 (var=0.0142) [2.48e-05, 1.1035]","0.943505 (var=0.0213) [0.3499, 1.8211]",-0.4117,-1.4286
Gemma-2-2B,Gemma-2-2B-Instruct,True,"1.779769 (var=0.0639) [1.0731, 4.8711]",(=E),"1.772034 (var=0.0635) [1.0645, 4.8634]",(=E),-0.4346,-0.4346
Gemma-2-9B,Gemma-2-9B-Instruct,True,"1.722505 (var=0.0453) [1.0138, 4.2563]",(=E),"1.721526 (var=0.0456) [1.0204, 4.2763]",(=E),-0.0568,-0.0568
Gemma-2-27B,Gemma-2-27B-Instruct,True,"0.999218 (var=2.28e-06) [0.9678, 1.0090]",(=E),"0.993617 (var=1.46e-05) [0.9741, 1.0131]",(=E),-0.5605,-0.5605
Gemma-3-1B,Gemma-3-1B-Instruct,True,"1.046725 (var=2.01e-08) [1.0450, 1.0481]",(=E),"0.947532 (var=0.0007) [0.7279, 1.1101]",(=E),-9.4765,-9.4765
Gemma-3-4B,Gemma-3-4B-Instruct,True,"0.972277 (var=0.0002) [0.0051, 0.9749]",(=E),"0.998227 (var=0.0005) [0.0056, 1.0845]",(=E),2.6690,2.6690
Gemma-3-12B,Gemma-3-12B-Instruct,True,"0.964557 (var=0.0002) [0.0047, 0.9674]",(=E),"0.950241 (var=0.0003) [0.0047, 1.0045]",(=E),-1.4842,-1.4842
Gemma-3-27B,Gemma-3-27B-Instruct,True,"1.030797 (var=0.0003) [0.0051, 1.0320]",(=E),"1.020246 (var=0.0003) [0.0051, 1.0795]",(=E),-1.0235,-1.0235
Gemma-4-E2B,Gemma-4-E2B-Instruct,True,"0.999998 (var=6.27e-09) [0.9989, 1.0008]",(=E),"1.193636 (var=0.0060) [0.8757, 2.0095]",(=E),19.3638,19.3638
Gemma-4-E4B,Gemma-4-E4B-Instruct,True,"0.999999 (var=3.83e-09) [0.9991, 1.0006]",(=E),"1.206352 (var=0.0070) [0.8798, 1.7348]",(=E),20.6354,20.6354
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,True,"0.999902 (var=3.75e-09) [0.9987, 1.0010]",(=E),"1.515363 (var=0.0346) [0.9981, 6.0225]",(=E),51.5511,51.5511
Gemma-4-31B,Gemma-4-31B-Instruct,True,"0.999800 (var=5.61e-08) [0.9981, 1.0018]",(=E),"1.118223 (var=0.0069) [0.5023, 6.8151]",(=E),11.8447,11.8447
