model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,sigma1,sigma1_centered,sigma1_over_mean_row,sigma1_c_over_mean_row,sigma1_over_mean_sqrt_n,sigma1_c_over_mean_sqrt_n,cos_v1_mu,cos_v1_v1_centered,rank1_energy_frac,rank5_energy_frac,rank10_energy_frac,participation_ratio,effective_rank,isotropy_pr_over_d,sigma_ratio,rank1_centered_energy_frac,rank5_centered_energy_frac,participation_ratio_centered,effective_rank_centered,isotropy_pr_over_d_centered,sigma_ratio_centered,tied,vocab_size,hidden_dim
DeepSeek-R1,other_models,deepseek_r1,,E,3.157231330871582,0.2487489879131317,0.07878706431196549,105.24668884277344,98.53364562988281,33.33512112769993,31.20887743207645,0.09271208879823539,0.08679855113445509,0.6771774291992188,0.8598442077636719,0.00842201802879572,0.03058130294084549,0.05088023096323013,1330.3250732421875,3784.923583984375,0.18559222561972483,22.022963645961358,0.007427269127219915,0.028900988399982452,1397.23193359375,3838.98779296875,0.1949263300214495,20.691667960058258,False,129280,7168
DeepSeek-R1,other_models,deepseek_r1,,U,6.671839237213135,0.5322810411453247,0.07978025582158084,256.1433410644531,235.04615783691406,38.39171358263207,35.22958954495046,0.10677555198177247,0.0979810099295774,0.7969073057174683,0.7498265504837036,0.011168965138494968,0.028381329029798508,0.037673018872737885,2104.526123046875,4921.236328125,0.293600184576852,90.05016472490222,0.009464128874242306,0.024081798270344734,2468.456787109375,5013.21484375,0.34437176159449984,89.40519932307093,False,129280,7168
DeepSeek-R1-0528,other_models,deepseek_r1,,E,3.157231569290161,0.24874790012836456,0.0787867138248242,105.24674987792969,98.53412628173828,33.33513794225498,31.20902731372715,0.09271213556310286,0.08679896798732495,0.6771613955497742,0.85985267162323,0.008422025479376316,0.030581289902329445,0.050880420953035355,1330.3125,3784.8876953125,0.18559047154017858,22.02158553748174,0.0074273403733968735,0.028901057317852974,1397.21630859375,3838.944091796875,0.19492415019444057,20.690790982204508,False,129280,7168
DeepSeek-R1-0528,other_models,deepseek_r1,,U,6.672057151794434,0.5328844785690308,0.0798680926205365,256.2407531738281,235.07093811035156,38.40505969061023,35.232152957072586,0.10681267035741122,0.09798813932596936,0.7973263263702393,0.749396800994873,0.011176681146025658,0.02840118482708931,0.03770466893911362,2103.25830078125,4920.6875,0.2934233120509556,90.12082049859836,0.009465591982007027,0.024096837267279625,2467.7607421875,5012.86572265625,0.3442746571132115,95.34524450638168,False,129280,7168
DeepSeek-R1-Distill-Llama-70B,other_models,deepseek_r1_distill_llama,,E,0.81513911485672,0.07679086178541183,0.09420583601721731,28.86534881591797,18.911739349365234,35.411561400769905,23.200627972182907,0.09887949299928066,0.06478297596627576,0.9906260967254639,0.0317830927670002,0.009572796523571014,0.02228377014398575,0.03317110240459442,2534.339599609375,5681.82177734375,0.3093676269054413,24.084900084586362,0.0041452208533883095,0.015684762969613075,3210.800048828125,5839.25,0.3919433653354645,15.821573237727682,False,128256,8192
DeepSeek-R1-Distill-Llama-70B,other_models,deepseek_r1_distill_llama,,U,0.9398330450057983,0.12526004016399384,0.13327903379181677,56.53783416748047,36.05907440185547,60.15731673611418,38.36753197120559,0.16797691894305417,0.1071334321017547,0.9896788597106934,0.9668831825256348,0.027555126696825027,0.03362967073917389,0.03650546073913574,1099.49658203125,6517.69580078125,0.13421589136123657,73.59066999217002,0.011406805366277695,0.016843870282173157,3541.924560546875,7075.14794921875,0.4323638379573822,53.825450342661924,False,128256,8192
DeepSeek-R1-Distill-Llama-8B,other_models,deepseek_r1_distill_llama,,E,0.6813199520111084,0.08688030391931534,0.1275176276033948,31.824626922607422,19.005783081054688,46.71025239855084,27.895532818250437,0.13042876090001282,0.07789253093915899,0.995525062084198,0.26804375648498535,0.016750987619161606,0.03247135877609253,0.04220901429653168,1546.9017333984375,3396.888916015625,0.3776615560054779,16.13080678649478,0.006071644369512796,0.01889616623520851,2618.989501953125,3574.79296875,0.6394017338752747,9.637110282519032,False,128256,4096
DeepSeek-R1-Distill-Llama-8B,other_models,deepseek_r1_distill_llama,,U,0.9040384888648987,0.23978981375694275,0.2652429257276649,99.0086669921875,51.47425842285156,109.51819885069467,56.93812714487644,0.3058070174876742,0.15898799492901083,0.9962831139564514,0.9669657945632935,0.0917370393872261,0.10054655373096466,0.10577625036239624,115.44671630859375,2418.332275390625,0.02818523347377777,63.34078022009587,0.02663445472717285,0.03446444496512413,1015.2073974609375,3455.173095703125,0.2478533685207367,33.6089477867827,False,128256,4096
DeepSeek-R1-Distill-Qwen-1.5B,other_models,deepseek_r1_distill_qwen,,E,1.1660845279693604,0.5936571955680847,0.509103054991982,239.97193908691406,68.36502838134766,205.7929192361426,58.62784964688597,0.5279588613080698,0.15040892978923479,0.9996163845062256,0.9281848669052124,0.27299413084983826,0.28536340594291687,0.2920489013195038,13.341595649719238,349.30255126953125,0.008685934667785963,84.84644156551443,0.029695186764001846,0.04314638301730156,619.2021484375,1304.097412109375,0.40312639872233075,24.279966729568596,False,151936,1536
DeepSeek-R1-Distill-Qwen-1.5B,other_models,deepseek_r1_distill_qwen,,U,1.1393234729766846,0.6330536007881165,0.5556399177260446,255.93145751953125,71.68305206298828,224.6345867437146,62.917208117992686,0.5762968962577967,0.161413219064849,0.9997068643569946,0.9485995173454285,0.3265666961669922,0.33724522590637207,0.34389621019363403,9.345450401306152,248.46041870117188,0.006084277605017026,127.9016148697062,0.03678766265511513,0.04955868050456047,484.15509033203125,1271.0738525390625,0.3152051369349162,40.16382795652433,False,151936,1536
