model_a,model_b,side,matrix_kind,n,d,delta_fro_norm_sq,r1,r5,r10,a_bias,B5,B10,R2_aff_full,rank_Z,k_eta90,R2_aff_k_eta90,a1_k_eta90,random_baseline_k_over_n_eta90,a1_over_baseline_eta90,A5_K_eta90,A5_K_over_baseline_eta90,R2_aff_K_L5_eta90,A10_K_eta90,A10_K_over_baseline_eta90,R2_aff_K_L10_eta90,k_eta95,R2_aff_k_eta95,a1_k_eta95,random_baseline_k_over_n_eta95,a1_over_baseline_eta95,A5_K_eta95,A5_K_over_baseline_eta95,R2_aff_K_L5_eta95,A10_K_eta95,A10_K_over_baseline_eta95,R2_aff_K_L10_eta95,k_eta99,R2_aff_k_eta99,a1_k_eta99,random_baseline_k_over_n_eta99,a1_over_baseline_eta99,A5_K_eta99,A5_K_over_baseline_eta99,R2_aff_K_L5_eta99,A10_K_eta99,A10_K_over_baseline_eta99,R2_aff_K_L10_eta99
Qwen3-0.6B-Base,Qwen3-0.6B,E,embed,151936,1024,2390.7734375,0.13680542251869982,0.21633772126894082,0.2741310077969015,0.8058977127075195,0.5111296946604702,0.40445089929715783,0.38791913247216675,1025,676,0.3341872257114754,0.9307430982589722,0.004449241786015164,209.19139552821775,0.743213510152534,167.04273354812932,0.16078511720269004,0.7095045274510772,159.46639035918176,0.19449719114662817,830,0.3484919185981916,0.9332767724990845,0.005462826453243471,170.84137314026614,0.7489244801949294,137.0946865336106,0.16202061544789703,0.7177848783227151,131.394413581735,0.19676709207598223,973,0.3642451530787304,0.936791718006134,0.006404012215669756,146.28200047993832,0.757751141662975,118.32443726588464,0.16393015527630636,0.7312264209807754,114.18254624679865,0.20045183571118133
Qwen3-1.7B-Base,Qwen3-1.7B,E,embed,151936,2048,3343.90966796875,0.09695324128068067,0.18351341502822513,0.22984379980687253,0.7648884654045105,0.4064709955034171,0.327073812351676,0.34901060507186643,2049,1557,0.31348809716592096,0.9308536052703857,0.010247735888795283,90.83505033420765,0.7843986008066974,76.54360039317044,0.14394766597739855,0.7268206351087055,70.92499679889292,0.16705521655142927,1774,0.32191814876830505,0.9328974485397339,0.011675968828980624,79.89893277414487,0.7899650480168298,67.65734472124298,0.14496918371450426,0.7329208399630125,62.77173660688854,0.1684573108147435,1975,0.33154506202755796,0.9361730813980103,0.012998894271272115,72.01943964318384,0.799377595899137,61.495814891408244,0.14669651252050317,0.7432102502754844,57.1748823219524,0.17082226797873407
Qwen3-4B-Base,Qwen3-4B,E,embed,151936,2560,2635.8828125,0.09965189426721953,0.1655033850546692,0.2080486443109371,0.7782867550849915,0.4709368526345546,0.377311306852912,0.35336661363750876,2561,1795,0.3118985130100506,0.9380996823310852,0.011814184919966301,79.40451996359653,0.811138108196043,68.65798306789638,0.13424610265328563,0.7747336294465396,65.57656196300248,0.16118228130844445,2131,0.32240193557661245,0.9398433566093445,0.014025642375737153,67.00893488024278,0.8171764605970538,58.26303271575503,0.1352454704158059,0.7821473297501172,55.765526369269736,0.16272469160593137,2447,0.33369912831623655,0.9428876638412476,0.01610546545914069,58.54457707126432,0.8275771200183225,51.384861997181794,0.1369668147568266,0.7943668966389207,49.32281520544792,0.16526695593121374
Qwen3-8B-Base,Qwen3-8B,E,embed,151936,4096,1390.450439453125,0.006977194183434191,0.023145853872984408,0.035873402296812185,0.09731951355934143,0.041040428735526054,0.026611593106559053,0.07412440729480614,4097,2324,0.0547763083849184,0.12402904778718948,0.015295914069081719,8.108639158603452,0.08568886211935747,5.6020752818273225,0.001983341881156957,0.07095488938643257,4.638813284774965,0.002545393291885305,2725,0.060715799341033855,0.126649409532547,0.017935183235046337,7.061506307059471,0.08831729087574496,4.924248039081536,0.0020441791090678517,0.07361072277686889,4.10426377094545,0.0026406670715337336,3402,0.06816349511042906,0.1312861144542694,0.022391006739679864,5.863341295039353,0.09309768404964877,4.15781590939666,0.002154825390926442,0.07850365297184293,3.5060349846942764,0.002816193124828257
Qwen3-8B-Base,Qwen3-8B,U,lm_head,151936,4096,3518.26025390625,0.07094559640502807,0.1450622186397224,0.18422701066991867,0.7163262963294983,0.35169463756033803,0.2821627667398344,0.3442312755286072,4097,3087,0.31096190813635943,0.9123169183731079,0.020317765374894693,44.90242413668174,0.7961231531741731,39.18359812137064,0.11548739090989711,0.7689122674192495,37.84433244658603,0.14165440849407743,3526,0.3196972005845063,0.9147945642471313,0.023207139848357202,39.418669005516776,0.8021771984108296,34.56596563180596,0.11636560414367174,0.7758102836027922,33.42981033734369,0.14292520939512424,3942,0.3290890841961935,0.9187542200088501,0.025945134793597304,35.411425969372054,0.812052648176892,31.29884098259875,0.11779815879680189,0.7870131918568134,30.33374843174957,0.1449890876935719
Qwen3-14B-Base,Qwen3-14B,E,embed,151936,5120,1298.2218017578125,0.007997407013217543,0.027901796943178268,0.04399617283745147,0.10191284865140915,0.035100555848733235,0.022419843778301276,0.0798058642601297,5121,2069,0.05098902843084737,0.1267223060131073,0.013617575821398484,9.305790375257356,0.07649629790484383,5.617468109458846,0.0021343841710458255,0.06272625574841459,4.606271818942059,0.002759715189353432,2461,0.05683313347499721,0.1294766664505005,0.01619760951979781,7.99356635263033,0.07929943429403756,4.895749227508691,0.002212596713381143,0.06550212237851724,4.043937613044451,0.002881842697385142,3693,0.06847711473955934,0.13871076703071594,0.024306286857624263,5.706785567175428,0.08861423944157533,3.645733301867097,0.0024724965151730134,0.07472701876412893,3.0743905559021645,0.0032877028331740957
Qwen3-14B-Base,Qwen3-14B,U,lm_head,151936,5120,3171.772705078125,0.06270665787327963,0.13401886960486178,0.17302270601245529,0.7402971982955933,0.3535633303218566,0.2772925801831404,0.3515391621697159,5121,3821,0.3144704636025438,0.9115936756134033,0.025148746840775064,36.2480755556132,0.8461952872782242,33.64761244907204,0.1134061358659889,0.8049022427545395,32.005660077245146,0.1392663641168846,4380,0.324464243420412,0.9142338633537292,0.028827927548441448,31.71347859874708,0.8523786741499854,29.567809642842963,0.11423482638487185,0.8127484470080925,28.193093160872497,0.14062393560876077,4918,0.3359556469686022,0.9190247058868408,0.032368892165122155,28.39221994990302,0.8633717607719642,26.672885694316623,0.1157081074274178,0.8260803656490446,25.520810580572032,0.1429306602483562
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,E,embed,151936,2048,1055.433837890625,0.00222946414676871,0.009440209208437455,0.01716288019681443,0.05444168299436569,0.017580218801543413,0.009905079958865347,0.04113942836053284,2049,1219,0.028884537030161757,0.09029628336429596,0.0080231149957877,11.254516906675693,0.05460770821432564,6.806297584291863,0.0005155081899365425,0.04923372940503324,6.13648557086393,0.0008449925994209654,1564,0.03431979311746294,0.09267894923686981,0.010293807919123842,9.003368817936733,0.057207085060699665,5.55742690267421,0.0005400468511778817,0.0517562554872002,5.027901811830722,0.0008882864123625365,1922,0.0394253346069691,0.09527187049388885,0.012650063184498737,7.531335543891517,0.059836636578459314,4.7301452732491125,0.000564870367629897,0.05440801178085694,4.301007116512112,0.0009337981879417159
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,U,lm_head,151936,2048,1721.5504150390625,0.09100016797914705,0.17785038595850328,0.22183957941822205,0.7570258378982544,0.3888332273149794,0.3148184262210091,0.35954755820080364,2049,1447,0.3176621103357094,0.8940497040748596,0.009523746840775064,93.87583679220309,0.7382694894194614,77.51880659601609,0.13130151363463835,0.7144293892089745,75.01557959837922,0.15848871522613617,1702,0.3298158873386764,0.8973524570465088,0.011202085088458298,80.10584190001079,0.7465064277821645,66.63995335576436,0.1327664563015615,0.7233775081782036,64.57525563017833,0.16047376217485415,1950,0.343323105443042,0.9025355577468872,0.012834351305812975,70.32186794965695,0.7607847178878513,59.277224049747986,0.13530585570768539,0.7389170139077006,57.573382269271995,0.16392103959025284
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,E,embed,248320,1024,198.681640625,0.04566227209541657,0.09728263624354878,0.13222296249078397,0.6128347516059875,0.2909418407035143,0.21454025901043985,0.1444798322683706,1025,435,0.09457483411157533,0.7317748069763184,0.001751771907216495,417.73406912266523,0.498110983855462,284.3469414045708,0.04845754965132711,0.4160761595534513,237.51731480531728,0.055014822437945435,686,0.10966613994531826,0.7430558204650879,0.002762564432989691,268.9732089473624,0.5232550543332062,189.40917651898215,0.050903631113295655,0.4426735200777743,160.2400707080363,0.05853160424090685,933,0.12780024076861637,0.7611597180366516,0.0037572487113402063,202.58433138570345,0.5615135398322133,149.44806239135605,0.05462551744132465,0.4857124965240442,129.27344816382706,0.06422234520920374
