family,size,model_a,model_b,tie_word_embeddings,hidden_dim,vocab,E_U_same_matrix,E_identity_R2,E_full_affine_R2,E_delta_R2,E_delta_over_Yc,E_P_over_D_full_affine_gain,E_R_over_D,E_mean_shift_over_raw_delta,E_D_rank95_over_h,E_P_rank95_over_h,E_AminusI_rank95_over_h,E_R_rank95_over_h,E_D_eff_over_h,E_P_eff_over_h,E_AminusI_eff_over_h,E_R_eff_over_h,E_D_energy_5pct_h,E_P_energy_5pct_h,E_AminusI_energy_5pct_h,E_R_energy_5pct_h,E_aff_vs_W_ratio_r1,E_aff_vs_W_ratio_r2,E_aff_vs_W_ratio_r4,E_aff_vs_W_ratio_r8,E_aff_vs_W_ratio_r16,E_aff_vs_W_ratio_r32,E_aff_vs_W_ratio_r64,E_aff_rank_budget_r1,E_aff_rank_budget_r8,E_boundary_rank_w_first_3_losses,U_identity_R2,U_full_affine_R2,U_delta_R2,U_delta_over_Yc,U_P_over_D_full_affine_gain,U_R_over_D,U_mean_shift_over_raw_delta,U_D_rank95_over_h,U_P_rank95_over_h,U_AminusI_rank95_over_h,U_R_rank95_over_h,U_D_eff_over_h,U_P_eff_over_h,U_AminusI_eff_over_h,U_R_eff_over_h,U_D_energy_5pct_h,U_P_energy_5pct_h,U_AminusI_energy_5pct_h,U_R_energy_5pct_h,U_aff_vs_W_ratio_r1,U_aff_vs_W_ratio_r2,U_aff_vs_W_ratio_r4,U_aff_vs_W_ratio_r8,U_aff_vs_W_ratio_r16,U_aff_vs_W_ratio_r32,U_aff_vs_W_ratio_r64,U_aff_rank_budget_r1,U_aff_rank_budget_r8,U_boundary_rank_w_first_3_losses,U_minus_E_full_affine_gain,U_over_E_full_affine_gain,U_minus_E_aff_vs_W_ratio_r1,analysis_scope
DeepSeek,V3,DeepSeek-V3-Base,DeepSeek-V3,False,7168,129280,False,3.651247510594313e-05,0.999995109242179,0.9999585967670731,0.9999634875248941,0.06028393127065296,0.9397310329910454,3.651247510595005e-05,0.8812779017857143,0.5779854910714286,0.5340401785714286,0.8801618303571429,0.7822511739057026,0.5099388556682415,0.4634848364608836,0.7809445059157353,0.19302469491958618,0.2572421431541443,0.2789239287376404,0.19326600432395935,0.24626565616255278,0.24633296614760783,0.24077193841057107,0.23883423787196137,0.24002610944270847,0.25023958531874296,0.27005298509895986,9,76,1,0.029016042237887896,0.9999979631561335,0.9709819209182456,0.9709839577621121,0.12157432648258512,0.878442018035048,0.029016083751280917,0.8473772321428571,0.40931919642857145,0.39146205357142855,0.8589564732142857,0.21538430049119736,0.018883876577608708,0.025574212737365067,0.32727312838210204,0.43111374974250793,0.7384582161903381,0.6973056793212891,0.37300223112106323,0.7476286031860326,0.4886730054931888,0.40093949217618086,0.3536280604313173,0.33067122430725715,0.3160408555818398,0.3044799074172771,9,76,1,0.061290395211932164,2.0166953932841665,0.5013629470234798,clean
DeepSeek,V3.1,DeepSeek-V3.1-Base,DeepSeek-V3.1,False,7168,129280,False,3.745961660406305e-05,0.9999856465174676,0.9999481869008635,0.9999625403833959,0.060522450379373934,0.9394857024925697,3.74596166040912e-05,0.8892299107142857,0.5862165178571429,0.5419921875,0.8882533482142857,0.8415211301357101,0.5396923006602717,0.4891819319928445,0.8402925410368216,0.16088955104351044,0.23250240087509155,0.25593024492263794,0.16104760766029358,0.28573744719261557,0.29597950869366485,0.28915415235635683,0.2874373252817228,0.289400125439739,0.30338324786003035,0.3307847845164516,9,76,1,0.03254579052547413,0.9999896617870091,0.967443871261535,0.9674542094745259,0.11176800922023875,0.8882350117725983,0.03254577079836987,0.8610491071428571,0.43973214285714285,0.42313058035714285,0.8709542410714286,0.3189682752081938,0.032861027686881615,0.05620001723916004,0.4629847470697951,0.3859390318393707,0.6960858702659607,0.6353466510772705,0.32756394147872925,1.1466897219348504,0.7144011992302278,0.5415966752361987,0.43037451178591885,0.3783969017450913,0.3490480827288348,0.3279849422778399,9,76,2,0.05124555884086481,1.846719829082289,0.8609522747422349,clean
Gemma-2,27B,Gemma-2-27B,Gemma-2-27B-Instruct,True,4608,256000,True,0.9964781784501565,0.997605742209408,0.001127563759251493,0.003521821549843446,0.32016493263309553,0.6798333493332521,0.19552542439620604,0.7977430555555556,0.1519097222222222,0.009331597222222222,0.8726128472222222,0.08781631856334082,0.013102161703848704,0.0022455653128245715,0.5955164744350223,0.5699486136436462,0.9069637060165405,0.9843341708183289,0.2682991921901703,2.9968820832088054,2.0395823372215505,1.4893802217339362,1.1994636445723916,1.0409606986792963,0.9233715223088537,0.8387937693731109,28,226,20,0.9964781784501565,0.997605742209408,0.001127563759251493,0.003521821549843446,0.32016493263309553,0.67983337178456,0.19552540202039165,0.7977430555555556,0.1519097222222222,0.009331597222222222,0.8726128472222222,0.08781631856334082,0.013102167951447747,0.0022455653128245715,0.5955161904707067,0.5699484944343567,0.9069637060165405,0.9843341708183289,0.2682991921901703,2.9968820832088054,2.0395823372215505,1.4893802217339362,1.1994636445723916,1.0409606986792963,0.9233715223088537,0.8387937693731109,28,226,20,0.0,1.0,0.0,clean
Gemma-2,2B,Gemma-2-2B,Gemma-2-2B-Instruct,True,2304,256000,True,0.9989458769818493,0.9993343738643692,0.00038849688251985093,0.0010541230181506573,0.3685498521808143,0.6314455041483379,0.18121540361179148,0.6775173611111112,0.20963541666666666,0.012586805555555556,0.8033854166666666,0.04916716195483079,0.017957992067491296,0.003612921664449634,0.2281511551293763,0.6888808608055115,0.8700900077819824,0.9777856469154358,0.4808231294155121,1.2981108247512383,1.1618533700050893,0.9892732282620456,0.8801130575946096,0.7990168574199679,0.7274585659721416,0.653488306899447,56,448,4,0.9989458769818493,0.9993343738643692,0.00038849688251985093,0.0010541230181506573,0.3685498521808143,0.6314455041483379,0.18121540361179148,0.6775173611111112,0.20963541666666666,0.012586805555555556,0.8033854166666666,0.04916716195483079,0.017957996349010758,0.003612921664449634,0.22815093754758317,0.6888808012008667,0.8700900077819824,0.9777857065200806,0.4808230698108673,1.2981108247512383,1.1618533700050893,0.9892732282620456,0.8801130575946096,0.7990168574199679,0.7274585659721416,0.653488306899447,56,448,4,0.0,1.0,0.0,clean
Gemma-2,9B,Gemma-2-9B,Gemma-2-9B-Instruct,True,3584,256000,True,0.9878627279082711,0.9911235605544993,0.003260832646228229,0.01213727209172885,0.26866272928414836,0.7313369144647023,0.1894499118347798,0.8713727678571429,0.14983258928571427,0.26255580357142855,0.9171316964285714,0.15191909061976205,0.01137869124522493,0.02523200934024335,0.8625208400924694,0.46468037366867065,0.9065914750099182,0.843457043170929,0.14543862640857697,2.6002796816567635,1.8233153782803804,1.4977610965693964,1.2735506318069514,1.1361151950828206,1.0320251237172848,0.9412023596580837,36,289,41,0.9878627279082711,0.9911235605544993,0.003260832646228229,0.01213727209172885,0.26866272928414836,0.7313368650139,0.18944989034565943,0.8713727678571429,0.14983258928571427,0.26255580357142855,0.9171316964285714,0.15192169850617376,0.01137869124522493,0.02523200934024335,0.8625208400924694,0.4646778702735901,0.9065914750099182,0.843457043170929,0.14543862640857697,2.6002796816567635,1.8233153782803804,1.4977610965693964,1.2735506318069514,1.1361151950828206,1.0320251237172848,0.9412023596580837,36,289,41,0.0,1.0,0.0,clean
Gemma-3,12B,Gemma-3-12B,Gemma-3-12B-Instruct,True,3840,262208,True,0.962656724315314,0.9672602147356555,0.004603490420341472,0.037343275684686005,0.12327494939683,0.8767240675019169,0.016466287288620318,0.9044270833333333,0.44765625,0.5916666666666667,0.91328125,0.699388340381413,0.042078712718119235,0.2838259434982769,0.9150347716747179,0.20275670289993286,0.7308074235916138,0.44884470105171204,0.12136353552341461,2.1794194613384508,1.9322482325374195,1.5603383496757683,1.3419444850612916,1.1864086510406338,1.063790631962484,0.9414316039484422,34,277,47,0.962656724315314,0.9672602147356555,0.004603490420341472,0.037343275684686005,0.12327494939683,0.8767240675019169,0.016466287288620318,0.9044270833333333,0.44765625,0.5916666666666667,0.91328125,0.6993920088288696,0.042078712718119235,0.2838259434982769,0.9150347716747179,0.20275534689426422,0.7308074235916138,0.44884470105171204,0.12136353552341461,2.1794194613384508,1.9322482325374195,1.5603383496757683,1.3419444850612916,1.1864086510406338,1.063790631962484,0.9414316039484422,34,277,47,0.0,1.0,0.0,clean
Gemma-3,27B,Gemma-3-27B,Gemma-3-27B-Instruct,True,5376,262208,True,0.9675574083518943,0.9707730352560784,0.003215626904184088,0.032442591648105645,0.09911744841666441,0.9008819528392389,0.01277251391050981,0.8956473214285714,0.44568452380952384,0.5587797619047619,0.9025297619047619,0.7336921027200566,0.05424994848838796,0.30173674023450314,0.8844396803343011,0.20068538188934326,0.7000434398651123,0.42282330989837646,0.14225241541862488,2.5753876172903576,2.1087537995513226,1.7220621107178193,1.4277549108278016,1.1637782951800208,0.966740140044882,0.8347593924140946,24,199,28,0.9675574083518943,0.9707730352560784,0.003215626904184088,0.032442591648105645,0.09911744841666441,0.9008819528392389,0.01277251391050981,0.8956473214285714,0.44568452380952384,0.5587797619047619,0.9025297619047619,0.7336942018330028,0.05424994848838796,0.30173674023450314,0.8844405238021108,0.2006843537092209,0.7000433802604675,0.42282330989837646,0.14225241541862488,2.5753876172903576,2.1087537995513226,1.7220621107178193,1.4277549108278016,1.1637782951800208,0.966740140044882,0.8347593924140946,24,199,28,0.0,1.0,0.0,clean
Gemma-3,4B,Gemma-3-4B,Gemma-3-4B-Instruct,True,2560,262208,True,0.9531679034284962,0.9578971974013178,0.004729293972821624,0.04683209657150381,0.1009840327263784,0.8990161820775457,0.046039888687322644,0.909765625,0.2734375,0.423828125,0.91953125,0.6644274133306775,0.034389659300944966,0.09481517072128759,0.9418885829622454,0.21285511553287506,0.8488757610321045,0.7054887413978577,0.10513487458229065,4.315497466377396,2.739746224457343,1.9109778265726183,1.4342693149552623,1.141893993453397,0.9357327625211912,0.7481673706857321,51,413,26,0.9531679034284962,0.9578971974013178,0.004729293972821624,0.04683209657150381,0.1009840327263784,0.8990162563233763,0.046039892314502076,0.909765625,0.2734375,0.423828125,0.91953125,0.664430898400293,0.034389659300944966,0.09481521593269493,0.9418885829622454,0.21285349130630493,0.8488757610321045,0.7054888606071472,0.10513486713171005,4.315497466377396,2.739746224457343,1.9109778265726183,1.4342693149552623,1.141893993453397,0.9357327625211912,0.7481673706857321,51,413,26,0.0,1.0,0.0,clean
Llama-3.1,70B,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,False,8192,128256,False,0.9984301656151496,0.998559587945804,0.0001294223306543829,0.0015698343848503684,0.08244330223834276,0.9175554845830389,0.00022219872935090782,0.8558349609375,0.578369140625,0.5587158203125,0.853759765625,0.7712371220882216,0.5200962777891647,0.5062133413625489,0.7689054127928462,0.1912163645029068,0.25079861283302307,0.25083088874816895,0.19163550436496735,0.35930798036933626,0.34741708018316547,0.3740329165806154,0.384440808018602,0.39224808692795754,0.4001774288314566,0.4102775617250525,8,66,1,0.9950256673885755,0.9974053026118898,0.0023796352233143026,0.004974332611424567,0.4783828121684043,0.5216144684134787,0.06884954297182258,0.591796875,0.1982421875,0.1424560546875,0.72998046875,0.09134692118906906,0.025836052547106764,0.026050696465760297,0.34777899187483124,0.6638154983520508,0.8537687063217163,0.890550434589386,0.4546639025211334,2.1816592356163937,2.003076393612503,1.7932565882461635,1.5702926330760514,1.3399489385654553,1.1482288977347925,1.0149001075412658,8,66,70,0.39593950993006155,5.802567330277533,1.8223512552470575,clean
Llama-3.1,8B,Llama-3.1-8B,Llama-3.1-8B-Instruct,False,4096,128256,False,0.9983613904442429,0.9984405298260309,7.913938178805147e-05,0.00163860955575709,0.048296668056131815,0.9517025422459094,0.0002464371180909272,0.890380859375,0.61376953125,0.607666015625,0.88916015625,0.8688705918577491,0.5793382061754869,0.580856805441598,0.8676202767835346,0.14328151941299438,0.20749276876449585,0.2007552832365036,0.14360570907592773,0.2556009439841447,0.254387804454544,0.2893712540795277,0.3318667365930379,0.38126541904260974,0.422447932541443,0.43832493333679035,16,129,1,0.9958805526042451,0.9975749045071948,0.0016943519029496423,0.004119447395754818,0.41130562917143865,0.5886915307001286,0.08995717648417684,0.681396484375,0.25537109375,0.262451171875,0.785888671875,0.13271279210545966,0.04067282318071042,0.053157863957686735,0.4255822114443944,0.6086203455924988,0.8283380270004272,0.8185967803001404,0.40073370933532715,2.818451830218981,2.5732336134875617,2.030645992244627,1.6472094873683745,1.3224683846928653,1.0800586839209183,0.916513084443558,16,129,44,0.36300896111530684,8.516231982989119,2.5628508862348367,clean
