model_a,model_b,tied,E_identity_R2,E_one_minus_identity_R2,E_full_affine_R2,E_one_minus_full_affine_R2,E_affine_gain_R2,U_identity_R2,U_one_minus_identity_R2,U_full_affine_R2,U_one_minus_full_affine_R2,U_affine_gain_R2
DeepSeek-V3-Base,DeepSeek-V3,False,0.9999947955307101,5.204469289865621e-06,0.999995109242179,4.890757820952274e-06,3.137114689133469e-07,0.9999976813000512,2.318699948822278e-06,0.9999979631561335,2.0368438664597477e-06,2.8185608236253046e-07
DeepSeek-V3.1-Base,DeepSeek-V3.1,False,0.9999847218879409,1.5278112059147197e-05,0.9999856465174676,1.435348253242541e-05,9.246295267217874e-07,0.9999883609458544,1.1639054145584637e-05,0.9999896617870091,1.0338212990901319e-05,1.3008411546833187e-06
Gemma-2-27B,Gemma-2-27B-Instruct,True,0.9964781769867835,0.003521823013216463,0.9976057471139504,0.0023942528860495527,0.0011275701271669103,0.9964781769867835,0.003521823013216463,0.9976057471139504,0.0023942528860495527,0.0011275701271669103
Gemma-2-2B,Gemma-2-2B-Instruct,True,0.9989458764817247,0.001054123518275274,0.9993343784311904,0.0006656215688095601,0.0003885019494657138,0.9989458764817247,0.001054123518275274,0.9993343784311904,0.0006656215688095601,0.0003885019494657138
Gemma-2-9B,Gemma-2-9B-Instruct,True,0.9878627246651723,0.012137275334827669,0.9911235620291692,0.00887643797083082,0.003260837363996849,0.9878627246651723,0.012137275334827669,0.9911235620291692,0.00887643797083082,0.003260837363996849
Gemma-3-12B,Gemma-3-12B-Instruct,True,0.9626567118601845,0.03734328813981547,0.9672602427168877,0.03273975728311229,0.004603530856703175,0.9626567118601845,0.03734328813981547,0.9672602427168877,0.03273975728311229,0.004603530856703175
Gemma-3-27B,Gemma-3-27B-Instruct,True,0.9675573989770995,0.03244260102290053,0.9707730427305877,0.029226957269412268,0.003215643753488262,0.9675573989770995,0.03244260102290053,0.9707730427305877,0.029226957269412268,0.003215643753488262
Gemma-3-4B,Gemma-3-4B-Instruct,True,0.9531678782026247,0.04683212179737528,0.9578971652648591,0.04210283473514087,0.004729287062234411,0.9531678782026247,0.04683212179737528,0.9578971652648591,0.04210283473514087,0.004729287062234411
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,False,0.998430163563052,0.001569836436947969,0.998559589191473,0.0014404108085269707,0.00012942562842099825,0.9950256653182931,0.004974334681706938,0.9974053150616384,0.002594684938361569,0.002379649743345369
Llama-3.1-8B,Llama-3.1-8B-Instruct,False,0.99836138821765,0.0016386117823500301,0.9984405304987342,0.0015594695012658422,7.914228108418797e-05,0.995880550484195,0.004119449515805007,0.9975749153712573,0.002425084628742691,0.0016943648870623162
Llama-3.2-1B,Llama-3.2-1B-Instruct,True,0.958285896529426,0.04171410347057403,0.9753091845405636,0.02469081545943641,0.017023288011137616,0.958285896529426,0.04171410347057403,0.9753091845405636,0.02469081545943641,0.017023288011137616
Llama-3.2-3B,Llama-3.2-3B-Instruct,True,0.9657056757992565,0.03429432420074352,0.9795068249326268,0.020493175067373248,0.013801149133370272,0.9657056757992565,0.03429432420074352,0.9795068249326268,0.020493175067373248,0.013801149133370272
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,True,0.9868950119412168,0.01310498805878324,0.9902607098733518,0.009739290126648203,0.0033656979321350367,0.9868950119412168,0.01310498805878324,0.9902607098733518,0.009739290126648203,0.0033656979321350367
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,True,0.9992619356366323,0.000738064363367652,0.9996813415065288,0.00031865849347123554,0.0004194058698964165,0.9992619356366323,0.000738064363367652,0.9996813415065288,0.00031865849347123554,0.0004194058698964165
Qwen2.5-14B,Qwen2.5-14B-Instruct,False,0.9998309532084124,0.0001690467915875793,0.9998389456857062,0.000161054314293807,7.992477293772282e-06,0.9994339208041764,0.0005660791958236322,0.9997092801728646,0.00029071982713535505,0.00027535936868827715
Qwen2.5-32B,Qwen2.5-32B-Instruct,False,0.9998697139556336,0.00013028604436637892,0.9998761118536126,0.00012388814638741863,6.3978979789602874e-06,0.9994232702514232,0.0005767297485768097,0.9997200626119744,0.000279937388025564,0.0002967923605512457
Qwen2.5-3B,Qwen2.5-3B-Instruct,True,0.9993997003540083,0.0006002996459917309,0.9997321531880566,0.0002678468119433619,0.000332452834048369,0.9993997003540083,0.0006002996459917309,0.9997321531880566,0.0002678468119433619,0.000332452834048369
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,False,0.9996624235593171,0.00033757644068288517,0.9996872170493445,0.0003127829506555102,2.4793490027374965e-05,0.998665775571365,0.0013342244286349558,0.9993069603843717,0.000693039615628277,0.0006411848130066788
Qwen2.5-7B,Qwen2.5-7B-Instruct,False,0.9997140634258569,0.0002859365741431086,0.9997231554449361,0.00027684455506393757,9.09201907917101e-06,0.9986040536808437,0.0013959463191562937,0.9992492299095472,0.0007507700904527681,0.0006451762287035256
Qwen3-0.6B-Base,Qwen3-0.6B,True,0.9821210172878215,0.01787898271217847,0.9876894506828213,0.012310549317178676,0.005568433394999794,0.9821210172878215,0.01787898271217847,0.9876894506828213,0.012310549317178676,0.005568433394999794
Qwen3-1.7B-Base,Qwen3-1.7B,True,0.991214578779646,0.008785421220353973,0.9938152314061097,0.0061847685938902774,0.0026006526264636953,0.991214578779646,0.008785421220353973,0.9938152314061097,0.0061847685938902774,0.0026006526264636953
Qwen3-14B-Base,Qwen3-14B,False,0.995181642249001,0.004818357750999036,0.9955615155647812,0.00443848443521877,0.00037987331578026584,0.9907810097574015,0.009218990242598535,0.9937198435506143,0.006280156449385732,0.002938833793212803
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,False,0.9917874662912727,0.008212533708727321,0.9921235164246368,0.007876483575363191,0.0003360501333641297,0.9919979788437154,0.008002021156284567,0.9944893606962468,0.005510639303753173,0.0024913818525313935
Qwen3-4B-Base,Qwen3-4B,True,0.9859308045440895,0.014069195455910455,0.9901264236933547,0.009873576306645315,0.00419561914926514,0.9859308045440895,0.014069195455910455,0.9901264236933547,0.009873576306645315,0.00419561914926514
