model_a,model_b,matrix_kind,series,hidden_dim,is_anomaly,reported_affine_R2,Delta_rank95_over_h,Centered_delta_rank95_over_h,A_delta_rank95_over_h,Pred_delta_rank95_over_h,Residual_rank95_over_h,Delta_eff_over_h,Centered_delta_eff_over_h,A_delta_eff_over_h,Pred_delta_eff_over_h,Residual_eff_over_h,Delta_energy_5pct_h,Centered_delta_energy_5pct_h,A_delta_energy_5pct_h,Pred_delta_energy_5pct_h,Residual_energy_5pct_h,Mean_shift_energy_5pct_h,Delta_rank_95,Pred_delta_rank_95,Delta_effective_rank,Pred_delta_effective_rank,Delta_total_energy,Pred_delta_total_energy,Centered_delta_total_energy,Residual_total_energy,Mean_shift_total_energy,Residual_over_centered_delta_energy,Mean_shift_over_raw_delta_energy,solver
DeepSeek-V3-Base,DeepSeek-V3,lm_head,DeepSeek,7168,False,0.9999979631561335,0.8473772321428571,0.8512834821428571,0.39146205357142855,0.40931919642857145,0.8589564732142857,0.21538430049119736,0.24994191261061127,0.025574212737365067,0.018883876577608708,0.32727312838210204,0.43111374974250793,0.4141422212123871,0.6973056793212891,0.7384582161903381,0.37300223112106323,0.9999995231628418,6074,2934,1543.8746659209028,135.35962730829922,13.941320419311523,1.6457271575927734,13.536798477172852,11.891292572021484,0.40452253818511963,0.878442018035048,0.029016083751280917,solve
DeepSeek-V3.1-Base,DeepSeek-V3.1,lm_head,DeepSeek,7168,False,0.9999896617870091,0.8610491071428571,0.865234375,0.42313058035714285,0.43973214285714285,0.8709542410714286,0.3189682752081938,0.3743526643857592,0.05620001723916004,0.032861027686881615,0.4629847470697951,0.3859390318393707,0.3653067350387573,0.6353466510772705,0.6960858702659607,0.32756394147872925,0.9999995231628418,6172,3152,2286.364596692333,235.54784645956744,70.15496826171875,7.5858869552612305,67.87171936035156,60.28603744506836,2.283247470855713,0.8882350117725983,0.03254577079836987,solve
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,lm_head,Qwen3,2048,False,0.9944893606962468,0.83935546875,0.84912109375,0.60595703125,0.5908203125,0.875,0.3666951786572663,0.48128941050478047,0.06481025787657956,0.13785556598534857,0.6876338185659223,0.4004587233066559,0.3554952144622803,0.6907454133033752,0.6400413513183594,0.24081049859523773,0.9999996423721313,1719,1210,750.9917258900814,282.32819913799386,1721.5504150390625,498.46710205078125,1601.0177001953125,1102.55029296875,120.53260803222656,0.6886559048249415,0.07001399114285753,solve
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,lm_head,Qwen3.5,2048,False,0.9988217804952013,0.83447265625,0.83935546875,0.5625,0.5341796875,0.85888671875,0.518660845176096,0.593973971945274,0.16610162082940866,0.16622260850120538,0.7325490949694987,0.3240922689437866,0.2985112965106964,0.6110444068908691,0.6074957847595215,0.2253633588552475,0.9999995231628418,1709,1094,1062.2174109206446,340.4239022104686,248.61416625976562,49.543792724609375,239.48828125,189.94439697265625,9.125887870788574,0.7931260602032328,0.03670703042816029,solve
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,Gemma-2,4608,False,0.9976057471139504,0.7977430555555556,0.8315972222222222,0.009331597222222222,0.1519097222222222,0.8726128472222222,0.08781631856334082,0.23989943192743388,0.0022455653128245715,0.013102167951447747,0.5955161904707067,0.5699484944343567,0.46548497676849365,0.9843341708183289,0.9069637060165405,0.2682991921901703,0.9999994039535522,3676,700,404.6575959398745,60.37478992027122,1081.9375,278.6690673828125,870.3912353515625,591.7210083007812,211.5462646484375,0.67983337178456,0.19552540202039165,solve
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,Gemma-2,2304,False,0.9993343784311904,0.6775173611111112,0.7261284722222222,0.012586805555555556,0.20963541666666666,0.8033854166666666,0.04916716195483079,0.10307550379442652,0.003612921664449634,0.017957996349010758,0.22815093754758317,0.6888808012008667,0.6201390027999878,0.9777857065200806,0.8700900077819824,0.4808230698108673,0.9999992847442627,1561,483,113.28114114393014,41.37522358812079,876.9840087890625,264.6415710449219,718.06103515625,453.4164123535156,158.9230194091797,0.6314455041483379,0.18121540361179148,solve
Gemma-2-9B,Gemma-2-9B-Instruct,lm_head,Gemma-2,3584,False,0.9911235620291692,0.8713727678571429,0.8942522321428571,0.26255580357142855,0.14983258928571427,0.9171316964285714,0.15192169850617376,0.39121269216147986,0.02523200934024335,0.01137869124522493,0.8625208400924694,0.4646778702735901,0.33963537216186523,0.843457043170929,0.9065914750099182,0.14543862640857697,0.9999996423721313,3123,537,544.4873674461268,40.78122942288615,8909.109375,1940.09326171875,7221.2802734375,5281.1884765625,1687.8299560546875,0.7313368650139,0.18944989034565943,solve
Gemma-3-12B,Gemma-3-12B-Instruct,lm_head,Gemma-3,3840,False,0.9672602427168877,0.9044270833333333,0.9059895833333333,0.5916666666666667,0.44765625,0.91328125,0.6993920088288696,0.741644132131783,0.2838259434982769,0.042078712718119235,0.9150347716747179,0.20275534689426422,0.18947388231754303,0.44884470105171204,0.7308074235916138,0.12136353552341461,0.9999992251396179,3473,1719,2685.6653139028595,161.58225683757786,8835.578125,1071.270751953125,8690.0888671875,7618.81005859375,145.48916625976562,0.8767240675019169,0.016466287288620318,solve
Gemma-3-27B,Gemma-3-27B-Instruct,lm_head,Gemma-3,5376,False,0.9707730427305877,0.8956473214285714,0.8967633928571429,0.5587797619047619,0.44568452380952384,0.9025297619047619,0.7336942018330028,0.7689628534402045,0.30173674023450314,0.05424994848838796,0.8844405238021108,0.2006843537092209,0.19039340317249298,0.42282330989837646,0.7000433802604675,0.14225241541862488,0.9999995827674866,4815,2396,3944.340029054223,291.6477230735737,8880.14453125,868.935302734375,8766.72265625,7897.7822265625,113.42176818847656,0.9008819528392389,0.01277251391050981,solve
Gemma-3-4B,Gemma-3-4B-Instruct,lm_head,Gemma-3,2560,False,0.9578971652648591,0.909765625,0.913671875,0.423828125,0.2734375,0.91953125,0.664430898400293,0.8033414023771087,0.09481521593269493,0.034389659300944966,0.9418885829622454,0.21285349130630493,0.17493821680545807,0.7054888606071472,0.8488757610321045,0.10513486713171005,0.9999992251396179,2329,700,1700.9430999047502,88.03752781041912,12395.53515625,1194.1207275390625,11824.845703125,10630.728515625,570.6890869140625,0.8990162563233763,0.046039892314502076,solve
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,lm_head,Llama,8192,False,0.9974053150616384,0.591796875,0.6114501953125,0.1424560546875,0.1982421875,0.72998046875,0.09134692118906906,0.12300667498510026,0.026050696465760297,0.025836052547106764,0.34777899187483124,0.6638154983520508,0.6390098929405212,0.890550434589386,0.8537687063217163,0.4546639025211334,0.999999463558197,4848,1624,748.3139783808538,211.6489424658986,614.6450805664062,273.791748046875,572.3270263671875,298.5340576171875,42.318031311035156,0.5216144684134787,0.06884954297182258,solve
Llama-3.1-8B,Llama-3.1-8B-Instruct,lm_head,Llama,4096,False,0.9975749153712573,0.681396484375,0.703857421875,0.262451171875,0.25537109375,0.785888671875,0.13271279210545966,0.19520274152654665,0.053157863957686735,0.04067282318071042,0.4255822114443944,0.6086203455924988,0.5700470209121704,0.8185967803001404,0.8283380270004272,0.40073370933532715,0.9999995827674866,2791,1046,543.5915964639628,166.5958837481899,454.5806884765625,170.15220642089844,413.6878967285156,243.53456115722656,40.89279556274414,0.5886915307001286,0.08995717648417684,solve
Llama-3.2-1B,Llama-3.2-1B-Instruct,lm_head,Llama,2048,False,0.9753091845405636,0.8173828125,0.84228515625,0.63916015625,0.55078125,0.8828125,0.20522464076357796,0.41279537279819756,0.18798566692452487,0.1234888156351151,0.7155669886199199,0.49393755197525024,0.4016827940940857,0.6074082851409912,0.6771169900894165,0.22209203243255615,0.999999463558197,1674,1128,420.30006428380767,252.90509442071573,4775.09619140625,1647.928466796875,4038.10791015625,2390.178955078125,736.9879150390625,0.5919056667769039,0.15433992154679282,solve
Llama-3.2-3B,Llama-3.2-3B-Instruct,lm_head,Llama,3072,False,0.9795068249326268,0.8157552083333334,0.8362630208333334,0.6331380208333334,0.5364583333333334,0.876953125,0.2259283545686904,0.4109183007758002,0.20203483870956204,0.12419674135651233,0.7005371520468039,0.47479793429374695,0.3988926112651825,0.5818513035774231,0.6657435297966003,0.23066851496696472,0.9999994039535522,2506,1648,694.0519052350169,381.5323894472059,5131.6416015625,1804.1209716796875,4483.041015625,2678.919921875,648.6002197265625,0.5975675690982989,0.1263923548003308,solve
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,lm_head,Qwen2.5,896,False,0.9902607098733518,0.890625,0.9051339285714286,0.6506696428571429,0.6283482142857143,0.9129464285714286,0.3085715802142937,0.5623309749556358,0.11028637583490232,0.05896424374106201,0.9121467515862361,0.36254212260246277,0.2500463128089905,0.6658024787902832,0.6931515336036682,0.10975753515958786,0.9999995827674866,798,563,276.48013587200717,52.83196239199156,412.97698974609375,90.11956024169922,350.89794921875,260.77838134765625,62.07903289794922,0.7431744241545477,0.15032080620998606,solve
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,lm_head,Qwen2.5,1536,False,0.9996813415065288,0.5774739583333334,0.6236979166666666,0.06380208333333333,0.047526041666666664,0.7981770833333334,0.013776428858062467,0.01931415983935855,0.004444957589477913,0.002607779607693851,0.16339745797784655,0.7910252809524536,0.7568309307098389,0.9448009133338928,0.9514544010162354,0.507197916507721,0.999999463558197,887,73,21.160594725983948,4.005549477417755,122.517822265625,59.81171417236328,105.25578308105469,45.44407272338867,17.262035369873047,0.4317489395180633,0.14089408045399568,solve
Qwen2.5-14B,Qwen2.5-14B-Instruct,lm_head,Qwen2.5,5120,False,0.9997092801728646,0.6439453125,0.6896484375,0.0640625,0.083984375,0.8107421875,0.02411395477957622,0.045484335126283845,0.0036936550561181896,0.003462034042119394,0.3076313938721408,0.7327134013175964,0.6826401352882385,0.9437215328216553,0.9329643249511719,0.4523427188396454,0.9999994039535522,3297,430,123.46344847143024,17.725614295651297,148.80523681640625,60.95546340942383,125.31240844726562,64.35636901855469,23.492828369140625,0.5135674097720127,0.1578763548363942,solve
Qwen2.5-32B,Qwen2.5-32B-Instruct,lm_head,Qwen2.5,5120,False,0.9997200626119744,0.62734375,0.6654296875,0.0822265625,0.081640625,0.803515625,0.02005193740832725,0.032646456607968735,0.004377296616420895,0.0021756433007873123,0.31244936252049693,0.7336350083351135,0.6943867206573486,0.9347857236862183,0.9341860413551331,0.44697266817092896,0.9999994039535522,3212,418,102.66591953063552,11.13929370003104,155.88143920898438,69.90800476074219,135.84695434570312,65.93841552734375,20.03447723388672,0.48538751453745344,0.12852382115606584,solve
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,Qwen2.5,2048,False,0.9997321531880566,0.6298828125,0.6650390625,0.05859375,0.0576171875,0.81982421875,0.017504469472356156,0.023783758572819894,0.003032999518731834,0.002432688447938643,0.22974383186912037,0.7550367712974548,0.7225378751754761,0.946907103061676,0.9468611478805542,0.45101723074913025,0.9999995231628418,1290,118,35.84915347938541,4.982145941378341,115.9566650390625,56.68367004394531,102.35192108154297,45.66825866699219,13.604743957519531,0.446188583315487,0.11732610585977511,solve
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,lm_head,Qwen2.5,8192,False,0.9993069603843717,0.6339111328125,0.68408203125,0.089599609375,0.1103515625,0.800537109375,0.017113188112003318,0.03784760640419069,0.006591200096196835,0.0016854951352410902,0.3618454404554981,0.7098096013069153,0.6484315991401672,0.9297500252723694,0.920945942401886,0.40350106358528137,0.9999993443489075,5193,904,140.19123701353118,13.807576147895011,180.53909301757812,71.60862731933594,149.00927734375,77.4002685546875,31.529829025268555,0.5194325476536106,0.17464265587324984,solve
Qwen2.5-7B,Qwen2.5-7B-Instruct,lm_head,Qwen2.5,3584,False,0.9992492299095472,0.6780133928571429,0.7184709821428571,0.1328125,0.13504464285714285,0.8236607142857143,0.034256314852823926,0.06481886924718701,0.017410210486664163,0.004322227325230685,0.3943330929448367,0.6800107359886169,0.6220086216926575,0.8985941410064697,0.9055940508842468,0.3854874074459076,0.9999992251396179,2430,484,122.77463243252096,15.490862733626775,116.93473815917969,45.742103576660156,98.97127532958984,53.228885650634766,17.963462829589844,0.5378215595724541,0.15361955833121832,solve
