model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,rank_affine_gain_over_w_gain,rank_affine_gain_over_w_gain_raw,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,full_affine_update_gain_over_raw,mean_shift_over_raw_delta,centered_delta_over_raw_delta,raw_delta_over_Yc_energy,centered_delta_over_Yc_energy
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,1,37,0.01806640625,156032,153600,0.9844134536505332,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.991805074030082,0.9918134866453427,0.0021438945764080974,0.003168257643427143,0.00237502970335042,0.003399155495389392,1.4778047756132084,1.4312054668597418,0.07742739816664264,0.0021438945764080974,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,2,75,0.03662109375,310016,309248,0.9975227085053675,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.9918214264157386,0.9918329998263219,0.004135044700958225,0.005544282374790464,0.0043657186143705624,0.005774629864055209,1.3408034920410106,1.3227214976812653,0.13549382887840003,0.004135044700958225,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,4,150,0.0732421875,617984,616448,0.9975144987572494,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.9918501675988688,0.9918647268392409,0.007634718178042621,0.009407525760315404,0.00786458145606476,0.009636978399866379,1.2322034082896944,1.2253644334034888,0.22990562157027386,0.007634718178042621,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,8,300,0.146484375,1233920,1230848,0.9975103734439834,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.9919022722568493,0.9919156200209475,0.013979247863574157,0.015604539897687557,0.014207641547266727,0.015832557112189248,1.1162646266791247,1.1143691273119938,0.3813512219790845,0.013979247863574157,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,16,601,0.29345703125,2465792,2463744,0.9991694352159468,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.9919972944145066,0.9919913563860173,0.02554963184468962,0.024826587121172684,0.02577534546042879,0.025052468217005474,0.971700385825042,0.97195470204141,0.606724030205621,0.02554963184468962,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,32,1203,0.58740234375,4929536,4929536,1.0,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.992172446592888,0.9920807850946712,0.04687705703652545,0.035715884139604887,0.04709783054406437,0.03593924292882955,0.7619054266093528,0.7630763989268056,0.8728418876816818,0.04687705703652545,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,64,2048,1.0,9857024,8390656,0.8512362351963433,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.9924961311303712,0.9921235164840164,0.08629054205696134,0.04091907668921381,0.08650218615113703,0.04114123025399386,0.4742011779483628,0.47560913873450217,1.0,0.08629054205696134,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,embed,2048,151936,128,2048,1.0,19712000,8390656,0.4256623376623377,0.9917874672256084,0.9921235164840163,0.9921235164246368,0.993084132716737,0.9921235164840164,0.1578886230045661,0.04091907668921381,0.1580836827120364,0.04114123025399386,0.2591641874540285,0.26024969527649666,1.0,0.1578886230045661,0.04091907668921381,0.04114123025399386,0.0002316317209325542,0.9997683682790673,0.0082144354982226,0.008212532774391657
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,1,61,0.02978515625,252416,251904,0.9979716024340771,0.9986870899262132,0.998713360923914,0.9987133610282297,0.9986938182408371,0.9986910682556166,0.005124733794197004,0.003030161381792039,0.005315643504843249,0.003221473026456309,0.5912817140322965,0.6060363196894457,0.15143427168890292,0.005124733794197004,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,2,122,0.0595703125,502784,501760,0.9979633401221996,0.9986870899262132,0.998713360923914,0.9987133610282297,0.99870026576749,0.9986935992438108,0.010035600716208572,0.004957931032439153,0.010225568065319709,0.0051488727513864015,0.49403430573234774,0.5035292629706258,0.24777580477816324,0.010035600716208572,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,4,244,0.119140625,1003520,1001472,0.9979591836734694,0.9986870899262132,0.998713360923914,0.9987133610282297,0.9987106942276877,0.998697450710257,0.017978612507954073,0.007891465112891308,0.018167055647815736,0.008081843906855402,0.4389362699374035,0.4448626163495623,0.394381064688487,0.017978612507954073,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,8,489,0.23876953125,2004992,2004992,1.0,0.9986870899262132,0.998713360923914,0.9987133610282297,0.9987260395648226,0.9987030110127231,0.029666646167957087,0.012126562837593077,0.029852846454669367,0.012316128945476167,0.40876082752795173,0.41256129341561554,0.6060328081650189,0.029666646167957087,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,16,978,0.4775390625,4007936,4007936,1.0,0.9986870899262132,0.998713360923914,0.9987133610282297,0.9987508304856821,0.9987095412054776,0.04854906725262002,0.01710039378374742,0.04873164413279279,0.017289005447732878,0.3522290901031589,0.3547798510680385,0.8546032213979807,0.04854906725262002,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,32,1956,0.955078125,8013824,8013824,1.0,0.9986870899262132,0.998713360923914,0.9987133610282297,0.9987924269645033,0.9987133465778721,0.08023172370539308,0.019998819556017705,0.08040822090203027,0.020186875032062516,0.2492632419247576,0.25105486485838674,0.9994539209368015,0.08023172370539308,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,64,2048,1.0,16025600,8390656,0.5235782747603834,0.9986870899262132,0.998713360923914,0.9987133610282297,0.9988603029123645,0.998713360923914,0.13193057895550525,0.020009746459619213,0.13209715549793402,0.02019779983886649,0.1516687535068551,0.1529010958845543,1.0,0.13193057895550525,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,embed,2048,248320,128,2048,1.0,32049152,8390656,0.2618058661895329,0.9986870899262132,0.998713360923914,0.9987133610282297,0.9989611405228208,0.998713360923914,0.20873523791099882,0.020009746459619213,0.2088870761684229,0.02019779983886649,0.09586185188411278,0.09669243406222637,1.0,0.20873523791099882,0.020009746459619213,0.02019779983886649,0.0001918931117609596,0.9998081068882391,0.0013131620605407724,0.001312910073786729
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,1,9,0.0012555803571428572,143616,136192,0.948306595365419,0.9999947955812982,0.9999951093241175,0.999995109242179,0.999994831187025,0.9999948043497658,0.006841441635594504,0.0016848121134874889,0.0068777044561562604,0.0017212632161009759,0.24626565616255278,0.2502671097709449,0.027947946956599336,0.006841441635594504,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
DeepSeek-V3-Base,DeepSeek-V3,embed,7168,129280,2,19,0.002650669642857143,280064,279552,0.9981718464351006,0.9999947955812982,0.9999951093241175,0.999995109242179,0.9999948519075634,0.9999948094563142,0.0108227774251461,0.0026660068650916084,0.010858894876709001,0.0027024221417144578,0.24633296614760783,0.24886714277995473,0.044224170668668,0.0108227774251461,0.06028393127065296,0.060318242765924616,3.6512619517144614e-05,0.9999634873804829,5.20460873567355e-06,5.204418701775048e-06
