model_a,model_b,tied,hidden,gcorr_E_euc,E_R2,E_d_rank95_h,AI_rank95_h,E_e5,AI_e5
Qwen3-0.6B-Base,Qwen3-0.6B,True,1024,0.9942,0.9877,0.829,0.605,0.418,0.669
Qwen3-1.7B-Base,Qwen3-1.7B,True,2048,0.9983,0.9938,0.826,0.518,0.407,0.775
Qwen3-4B-Base,Qwen3-4B,True,2560,0.9974,0.9901,0.824,0.516,0.404,0.717
Qwen3-8B-Base,Qwen3-8B,False,4096,1.0000,0.9957,0.725,0.558,0.284,0.343
Qwen3-14B-Base,Qwen3-14B,False,5120,1.0000,0.9956,0.559,0.397,0.409,0.454
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,False,2048,0.9998,0.9921,0.868,0.759,0.131,0.156
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,True,1024,0.9988,0.9979,0.852,0.474,0.272,0.693
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,True,2048,0.9985,0.9966,0.849,0.463,0.273,0.670
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,True,2560,0.9986,0.9972,0.848,0.459,0.274,0.648
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,False,4096,1.0000,0.9986,0.875,0.625,0.186,0.206
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,False,2048,1.0000,0.9987,0.886,0.666,0.182,0.183
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,True,896,0.9964,0.9903,0.891,0.651,0.363,0.666
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,True,1536,0.9999,0.9997,0.577,0.064,0.791,0.945
Qwen2.5-3B,Qwen2.5-3B-Instruct,True,2048,0.9999,0.9997,0.630,0.059,0.755,0.947
Qwen2.5-7B,Qwen2.5-7B-Instruct,False,3584,1.0000,0.9997,0.491,0.320,0.407,0.485
Qwen2.5-14B,Qwen2.5-14B-Instruct,False,5120,1.0000,0.9998,0.515,0.306,0.390,0.483
Qwen2.5-32B,Qwen2.5-32B-Instruct,False,5120,1.0000,0.9999,0.479,0.305,0.433,0.505
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,False,8192,1.0000,0.9997,0.782,0.468,0.341,0.370
Llama-3.2-1B,Llama-3.2-1B-Instruct,True,2048,0.9700,0.9753,0.817,0.639,0.494,0.607
Llama-3.2-3B,Llama-3.2-3B-Instruct,True,3072,0.9852,0.9795,0.816,0.633,0.475,0.582
Llama-3.1-8B,Llama-3.1-8B-Instruct,False,4096,0.9999,0.9984,0.890,0.608,0.143,0.201
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,False,8192,1.0000,0.9986,0.856,0.559,0.191,0.251
Gemma-2-2B,Gemma-2-2B-Instruct,True,2304,0.9992,0.9993,0.678,0.013,0.689,0.978
Gemma-2-9B,Gemma-2-9B-Instruct,True,3584,0.9960,0.9911,0.871,0.263,0.465,0.843
Gemma-2-27B,Gemma-2-27B-Instruct,True,4608,0.9820,0.9976,0.798,0.009,0.570,0.984
Gemma-3-4B,Gemma-3-4B-Instruct,True,2560,0.8940,0.9579,0.910,0.424,0.213,0.705
Gemma-3-12B,Gemma-3-12B-Instruct,True,3840,0.9461,0.9673,0.904,0.592,0.203,0.449
Gemma-3-27B,Gemma-3-27B-Instruct,True,5376,0.9528,0.9708,0.896,0.559,0.201,0.423
DeepSeek-V3-Base,DeepSeek-V3,False,7168,1.0000,1.0000,0.881,0.534,0.193,0.279
DeepSeek-V3.1-Base,DeepSeek-V3.1,False,7168,1.0000,1.0000,0.889,0.542,0.161,0.256
