model,hidden_dim,R2_EU,rel_err_EU
Qwen2.5-7B,3584,0.20611476855026212,0.858530399885717
Qwen2.5-7B-Instruct,3584,0.20670052067849143,0.8574789891251932
DeepSeek-R1-Distill-Qwen-7B,3584,0.21552129404445453,0.8054411324384025
Qwen3-30B-A3B,2048,0.2464325048119731,0.8371087949134314
Qwen3-30B-A3B-Base,2048,0.2513474137252133,0.8354603163377519
Qwen3-8B,4096,0.2549256823417806,0.840889396979595
DeepSeek-R1-Distill-Llama-8B,4096,0.2566029156755574,0.832229212246058
Qwen3-8B-Base,4096,0.25935523228112256,0.8396532518935507
Llama-3.1-8B-Instruct,4096,0.26110842246271815,0.8329069214274911
Llama-3.1-8B,4096,0.26529227626719853,0.8317946245350597
DeepSeek-R1-Distill-Qwen-32B,5120,0.268037352337004,0.8444344083289157
DeepSeek-R1-Distill-Qwen-14B,5120,0.26869667449218393,0.8451940559778988
Qwen3-32B,5120,0.2693187313476352,0.8435680118008706
Qwen2.5-32B-Instruct,5120,0.2697007107393814,0.8445151575180989
Qwen2.5-32B,5120,0.2702491129524568,0.8445885625348246
Qwen3.5-35B-A3B-Instruct,2048,0.270702749980526,0.8087885873691225
Qwen3.6-35B-A3B,2048,0.2712072502100198,0.8066259973483844
Qwen2.5-14B-Instruct,5120,0.27184369025399635,0.846689604726248
Qwen2.5-14B,5120,0.2722618389823894,0.8469169474045366
Qwen3.5-35B-A3B-Base,2048,0.27293430552620035,0.8080085592821059
Qwen3-14B,5120,0.27345754505330233,0.8440051219538097
Qwen3.5-9B-Instruct,4096,0.27402753149035486,0.816872327466949
MiniMax-M2.5-Chat,3072,0.2760798324385487,0.8285446469188485
MiniMax-M2.7,3072,0.27623977168692526,0.8304545505590584
Qwen3.5-9B-Base,4096,0.27628499581956556,0.816278650193574
Qwen3-14B-Base,5120,0.2764133283710173,0.8428797308749956
