model_a,model_b,align_mode,n_tokens,n_bootstrap,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos_mean,gcorr_E_cos_std,gcorr_E_cos_se,gcorr_E_cos_ci95_low,gcorr_E_cos_ci95_high,gcorr_E_cos_median,gcorr_E_euc_mean,gcorr_E_euc_std,gcorr_E_euc_se,gcorr_E_euc_ci95_low,gcorr_E_euc_ci95_high,gcorr_E_euc_median,gcorr_E_euc2_mean,gcorr_E_euc2_std,gcorr_E_euc2_se,gcorr_E_euc2_ci95_low,gcorr_E_euc2_ci95_high,gcorr_E_euc2_median,gcorr_U_cos_mean,gcorr_U_cos_std,gcorr_U_cos_se,gcorr_U_cos_ci95_low,gcorr_U_cos_ci95_high,gcorr_U_cos_median,gcorr_U_euc_mean,gcorr_U_euc_std,gcorr_U_euc_se,gcorr_U_euc_ci95_low,gcorr_U_euc_ci95_high,gcorr_U_euc_median,gcorr_U_euc2_mean,gcorr_U_euc2_std,gcorr_U_euc2_se,gcorr_U_euc2_ci95_low,gcorr_U_euc2_ci95_high,gcorr_U_euc2_median
Qwen3-0.6B-Base,Qwen3-0.6B,id,20000,100,5000000,1024,1024,151936,151936,True,True,0.989602742155382,0.00994334498907803,0.000994334498907803,0.959125832693126,0.9930939624845372,0.9928616011187765,0.9941811807515396,0.00029188861258622965,2.9188861258622965e-05,0.9934341158725097,0.9946382526032101,0.9942244356626432,0.993272332740871,0.00020885630487165661,2.088563048716566e-05,0.9928993083960653,0.9937099641517205,0.9932609907377179,0.9895873459258249,0.010001817680855469,0.001000181768085547,0.9594124786148718,0.9930837751411768,0.9928523077463995,0.9941792153415535,0.0002967271760202639,2.9672717602026388e-05,0.993400314229709,0.9946304377168927,0.9942278124391809,0.9932717655986295,0.00020984682395321048,2.0984682395321047e-05,0.9928922918654602,0.9937038728314869,0.9932716476480569
Qwen3-1.7B-Base,Qwen3-1.7B,id,20000,100,5000000,2048,2048,151936,151936,True,True,0.9947217369919181,0.006118907416164807,0.0006118907416164807,0.9751200986888546,0.996843605724002,0.996683181493949,0.9983066092840538,5.9595679446219374e-05,5.959567944621938e-06,0.9981915446301955,0.9984151571184425,0.9983057764856353,0.9980100755459399,6.07117829940855e-05,6.07117829940855e-06,0.9978899137506689,0.9981292771352015,0.9980047844934941,0.9947305316595347,0.006147011836189751,0.0006147011836189751,0.9750766078302929,0.9968534853432195,0.9966839128488362,0.9983068688674962,5.946040780213448e-05,5.946040780213448e-06,0.9981877173559256,0.9984134290582622,0.9983091210706692,0.9980102793079844,6.0514185104748e-05,6.0514185104748e-06,0.997893685434749,0.9981283905545353,0.9980086464070402
Qwen3-4B-Base,Qwen3-4B,id,20000,100,5000000,2560,2560,151936,151936,True,True,0.9972287933955417,7.971226936900265e-05,7.971226936900265e-06,0.99707136416883,0.9973798595542404,0.9972359730841975,0.9974344658572731,6.935578508351227e-05,6.935578508351227e-06,0.9973076938253286,0.9975763914356263,0.9974313402189032,0.9969178065369466,7.295667082705543e-05,7.295667082705543e-06,0.9967895326366131,0.9970591629422608,0.9969170454524099,0.9972289681796072,7.966414769307802e-05,7.966414769307802e-06,0.9970772996549218,0.9973832314452995,0.9972354653194178,0.9974345745907235,6.955859651240752e-05,6.955859651240751e-06,0.9973097032821955,0.9975764247322304,0.9974357810226281,0.9969178997771679,7.328297890899528e-05,7.328297890899528e-06,0.9967947926949711,0.9970600986400524,0.9969169369719322
Qwen3-8B-Base,Qwen3-8B,id,20000,100,5000000,4096,4096,151936,151936,False,False,0.9940134077706431,0.000278248411112093,2.7824841111209297e-05,0.9932399278292454,0.9942827705285359,0.9941349486122106,0.9999576787927541,6.779586994936666e-07,6.779586994936666e-08,0.9999562985709437,0.9999589796544031,0.9999576663659775,0.9999457811192145,7.308842671159033e-07,7.308842671159032e-08,0.9999442913419211,0.9999472482226782,0.9999458086331289,0.998338588907448,5.916074782118265e-05,5.9160747821182655e-06,0.9982342249311946,0.9984455711341645,0.9983393355338324,0.9989596960250146,2.3206832809339883e-05,2.3206832809339885e-06,0.998919727161352,0.9990069649267216,0.9989603544114772,0.9987630161875081,2.4362330451306277e-05,2.4362330451306277e-06,0.9987234708783942,0.9988122359413951,0.9987635177695777
Qwen3-14B-Base,Qwen3-14B,id,20000,100,5000000,5120,5120,151936,151936,False,False,0.993438959771175,0.00011701041036467463,1.1701041036467463e-05,0.9931635190342828,0.9936012822369507,0.9934612077191458,0.9999542850646249,6.327310912650809e-07,6.327310912650809e-08,0.9999529391213744,0.9999554756052974,0.9999543148906462,0.9999420343559801,6.694599445294029e-07,6.694599445294028e-08,0.9999405770798424,0.999943257701183,0.9999420327066402,0.9973446966187213,0.00011225735874225805,1.1225735874225804e-05,0.9971689492382607,0.9975672690283004,0.9973519996118101,0.9991446949459558,1.6277555854906452e-05,1.6277555854906451e-06,0.9991131067738875,0.9991735544603388,0.9991443090291252,0.999026843940092,1.6224203819906295e-05,1.6224203819906294e-06,0.9989986518619097,0.9990560963756315,0.9990253561995726
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,id,20000,100,5000000,2048,2048,151936,151936,False,False,0.986566049310611,0.0007237689488068563,7.237689488068563e-05,0.9852427711917364,0.9878690170733604,0.9866129973159306,0.999824467865066,3.998155421620269e-06,3.998155421620269e-07,0.9998171046374654,0.9998310076990473,0.9998243251793255,0.9998062741000883,3.579273561160394e-06,3.579273561160394e-07,0.9997998381276108,0.9998126164512339,0.9998062932893068,0.9978858671316629,4.568412884057272e-05,4.568412884057272e-06,0.9978057311723214,0.9979762458880893,0.9978864228639763,0.9975985863573656,5.1441492652941524e-05,5.144149265294152e-06,0.9974942200433147,0.9976860566639293,0.9976013489685491,0.9972005770292479,5.439148733842294e-05,5.4391487338422944e-06,0.9970925639676159,0.9972934986260641,0.9972050778408481
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,id,20000,100,5000000,1024,1024,248320,248320,True,True,0.9994655435143891,8.163590551631944e-06,8.163590551631944e-07,0.9994505301818646,0.9994824446952922,0.9994654598435384,0.9988445257353163,1.8744766011826055e-05,1.8744766011826054e-06,0.9988078835734898,0.9988775519676935,0.9988453374257306,0.9988456252990183,1.9497479643892112e-05,1.9497479643892113e-06,0.998805046959532,0.9988822760232886,0.9988475079613326,0.9994654861483402,8.121789101871701e-06,8.121789101871701e-07,0.9994505225606225,0.9994813488168125,0.9994651266309064,0.9988445135884745,1.877448477439225e-05,1.877448477439225e-06,0.9988075533237787,0.9988764922904014,0.9988452715899475,0.9988456401610644,1.947385267547699e-05,1.947385267547699e-06,0.9988056101320487,0.998882803420996,0.998846993403638
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,id,20000,100,5000000,2048,2048,248320,248320,True,True,0.9995466729381094,7.224687533740883e-06,7.224687533740883e-07,0.9995341076158102,0.9995623450474445,0.9995461622700912,0.998513586028977,2.4083228214782917e-05,2.4083228214782915e-06,0.9984654254000243,0.9985597014458418,0.9985165613948265,0.9985313758775027,2.5151062322878378e-05,2.515106232287838e-06,0.9984811060111461,0.9985717738456311,0.9985342048887912,0.9995466411623768,7.167905615456514e-06,7.167905615456513e-07,0.999534313764283,0.9995620309082613,0.9995457665683749,0.9985134157414894,2.4161690596953156e-05,2.4161690596953157e-06,0.9984660861113596,0.998560188272003,0.9985158132149694,0.9985312045700205,2.519233287565164e-05,2.5192332875651638e-06,0.9984817128943736,0.9985724870855859,0.9985341258275153
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,id,20000,100,5000000,2560,2560,248320,248320,True,True,0.9996167128093348,5.947420631656268e-06,5.947420631656268e-07,0.9996063320195654,0.9996289751022273,0.9996159877061037,0.9986087355845206,2.2700915888261326e-05,2.2700915888261325e-06,0.9985645187844091,0.9986456916931449,0.9986107661452832,0.9986222990789551,2.2617871740509633e-05,2.2617871740509634e-06,0.9985786299255995,0.9986601890817942,0.9986253327285619,0.999616694012059,5.901955674383192e-06,5.901955674383192e-07,0.9996063461324978,0.9996287949344325,0.9996160288107186,0.9986086529090202,2.2565255461737384e-05,2.2565255461737384e-06,0.9985656582945102,0.9986457070725252,0.9986115593609295,0.9986222354963672,2.2464446144402174e-05,2.2464446144402175e-06,0.9985794949729032,0.9986613422080995,0.9986258489318303
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,id,20000,100,5000000,4096,4096,248320,248320,False,False,0.9984136182902994,6.0036479339600616e-06,6.003647933960062e-07,0.9984031216787544,0.9984255980119319,0.9984131021840668,0.999980284179076,3.423822498904453e-07,3.423822498904453e-08,0.9999797041077357,0.9999809601873669,0.9999802709966885,0.9999772906397847,3.4183183183946906e-07,3.418318318394691e-08,0.9999767121099111,0.9999779690120426,0.9999772785312484,0.9995285076503331,7.325322413343382e-06,7.325322413343382e-07,0.9995153162436532,0.99954483635755,0.9995282648695171,0.9994016710905183,8.815897931378259e-06,8.815897931378259e-07,0.999384418648299,0.9994188578998524,0.9994027156024365,0.9993937172385091,8.337472583098719e-06,8.337472583098718e-07,0.9993768651578312,0.9994099351682634,0.9993951210753027
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,id,20000,100,5000000,2048,2048,248320,248320,False,False,0.9986758318014459,4.893165709296497e-06,4.893165709296497e-07,0.9986673373022881,0.9986853140851004,0.9986763929972661,0.9999525800135786,6.657813190255143e-07,6.657813190255143e-08,0.9999515106813774,0.9999539803216153,0.9999524416559491,0.9999472573748085,6.36226884071684e-07,6.36226884071684e-08,0.9999462357436606,0.999948637399486,0.9999471934089719,0.9995838782788443,6.596119916151403e-06,6.596119916151403e-07,0.9995724224193427,0.9995972378362817,0.9995841016992439,0.9989515552819621,1.4739328056587489e-05,1.4739328056587488e-06,0.9989198270011084,0.9989788283343294,0.9989532153670238,0.9989383063646065,1.4850183069593324e-05,1.4850183069593325e-06,0.9989065025839365,0.9989656249283678,0.9989410217103512
