series,model_a,model_b,source_a,source_b,selected_a,selected_b
llama,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-70B-Base,Llama-3.1-8B,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct
llama,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,Llama-3.1-70B-Base,Llama-3.2-1B,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct
llama,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-70B-Base,Llama-3.2-3B,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct
llama,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct
llama,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct
llama,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-1B,Llama-3.2-3B,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-0.5B,Qwen2.5-3B,Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5-0.5B,Qwen2.5-7B,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5-0.5B,Qwen2.5-14B,Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5-0.5B,Qwen2.5-32B,Qwen2.5-0.5B-Instruct,Qwen2.5-32B-Instruct
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5-0.5B,Qwen2.5-72B-Base,Qwen2.5-0.5B-Instruct,Qwen2.5-72B-Instruct
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5-1.5B,Qwen2.5-7B,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5-1.5B,Qwen2.5-14B,Qwen2.5-1.5B-Instruct,Qwen2.5-14B-Instruct
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5-1.5B,Qwen2.5-32B,Qwen2.5-1.5B-Instruct,Qwen2.5-32B-Instruct
