model,hidden_dim,vocab_size,actual_tied,n_fit,R2_EU,rel_err_EU,norm_A_EU,norm_b_EU
DeepSeek-R1-0528,7168,129280,False,24000,0.47326974163763547,0.7234926550700769,155.70057678222656,0.9544692635536194
DeepSeek-R1-Distill-Qwen-1.5B,1536,151936,False,24000,0.9621643236367442,0.16210117145412992,36.231937408447266,0.09148813784122467
DeepSeek-V2-Lite-Chat,2048,102400,False,24000,0.3276282142193643,0.7980244249054929,28.314998626708984,2.7872283458709717
DeepSeek-R1-Distill-Qwen-7B,3584,152064,False,24000,0.21552129404445453,0.8054411324384025,59.560401916503906,0.496859610080719
DeepSeek-R1-Distill-Llama-8B,4096,128256,False,24000,0.2566029156755574,0.832229212246058,44.04034423828125,0.349829763174057
DeepSeek-R1-Distill-Qwen-14B,5120,152064,False,24000,0.26869667449218393,0.8451940559778988,109.17771911621094,0.2260381579399109
DeepSeek-R1,7168,129280,False,24000,0.4740927957888976,0.7229461289848869,155.35580444335938,0.9630632400512695
DeepSeek-V3.1,7168,129280,False,24000,0.4738199348092984,0.7231944764495558,155.5818634033203,0.9829548597335815
DeepSeek-R1-Distill-Qwen-32B,5120,152064,False,24000,0.268037352337004,0.8444344083289157,118.3069839477539,0.26134371757507324
DeepSeek-V3-Base,7168,129280,False,24000,0.47362202216460025,0.7233095391205261,155.42227172851562,0.9686319231987
DeepSeek-V2-Lite,2048,102400,False,24000,0.32817159691397046,0.7978883867934341,28.38121223449707,2.861600160598755
DeepSeek-V3.1-Base,7168,129280,False,24000,0.4738942295651638,0.7231025985440178,155.5099334716797,0.9818382263183594
DeepSeek-R1-Distill-Llama-70B,8192,128256,False,24000,0.4105445799816645,0.7610818355101278,90.5629653930664,0.282396525144577
DeepSeek-V3.2-Speciale,7168,129280,False,24000,0.4738005228340898,0.7232015609162138,155.8318634033203,0.9974640011787415
DeepSeek-V3,7168,129280,False,24000,0.47445795111037414,0.7226748873956172,155.42962646484375,0.9759854674339294
DeepSeek-V3.2,7168,129280,False,24000,0.4739636967908667,0.7231066900867085,155.90077209472656,0.9846687316894531
GLM-5.1,6144,154880,False,24000,0.43225886085403775,0.7376646705643145,132.02896118164062,0.36823922395706177
DeepSeek-V4-Flash,4096,129280,False,24000,0.4176101543434648,0.758948757986264,72.47803497314453,3.141390562057495
DeepSeek-V4-Pro,7168,129280,False,24000,0.48819720570448877,0.711605347970919,100.7364273071289,3.372753620147705
Gemma-2-2B-Instruct,2304,256000,True,0,1.0,0.0,nan,nan
Gemma-2-9B,3584,256000,True,0,1.0,0.0,nan,nan
Gemma-2-2B,2304,256000,True,0,1.0,0.0,nan,nan
Gemma-2-27B-Instruct,4608,256000,True,0,1.0,0.0,nan,nan
Gemma-3-12B-Instruct,3840,262208,True,0,1.0,0.0,nan,nan
GLM-5-744B,6144,154880,False,24000,0.4326941648436411,0.7372498562703554,132.34217834472656,0.3699476420879364
Gemma-2-9B-Instruct,3584,256000,True,0,1.0,0.0,nan,nan
Gemma-2-27B,4608,256000,True,0,1.0,0.0,nan,nan
Gemma-3-1B-Instruct,1152,262144,True,0,1.0,0.0,nan,nan
Gemma-3-1B,1152,262144,True,0,1.0,0.0,nan,nan
Gemma-3-4B,2560,262208,True,0,1.0,0.0,nan,nan
Gemma-3-12B,3840,262208,True,0,1.0,0.0,nan,nan
Gemma-3-4B-Instruct,2560,262208,True,0,1.0,0.0,nan,nan
Gemma-3-27B,5376,262208,True,0,1.0,0.0,nan,nan
Gemma-4-26B-A4B,2816,262144,True,0,1.0,0.0,nan,nan
Gemma-4-26B-A4B-Instruct,2816,262144,True,0,1.0,0.0,nan,nan
Gemma-3-27B-Instruct,5376,262208,True,0,1.0,0.0,nan,nan
Gemma-4-E2B,1536,262144,True,0,1.0,0.0,nan,nan
Gemma-4-E4B,2560,262144,True,0,1.0,0.0,nan,nan
Gemma-4-31B,5376,262144,True,0,1.0,0.0,nan,nan
Gemma-4-31B-Instruct,5376,262144,True,0,1.0,0.0,nan,nan
Gemma-4-E4B-Instruct,2560,262144,True,0,1.0,0.0,nan,nan
Llama-3.2-3B,3072,128256,True,0,1.0,0.0,nan,nan
Llama-3.2-1B,2048,128256,True,0,1.0,0.0,nan,nan
Llama-3.1-8B,4096,128256,False,24000,0.26529227626719853,0.8317946245350597,45.96717071533203,0.46956750750541687
Llama-3.2-3B-Instruct,3072,128256,True,0,1.0,0.0,nan,nan
Gemma-4-E2B-Instruct,1536,262144,True,0,1.0,0.0,nan,nan
Qwen2.5-0.5B,896,151936,True,0,1.0,0.0,nan,nan
Llama-3.1-8B-Instruct,4096,128256,False,24000,0.26110842246271815,0.8329069214274911,45.26984405517578,0.4481073021888733
Llama-3.2-1B-Instruct,2048,128256,True,0,1.0,0.0,nan,nan
Qwen2.5-0.5B-Instruct,896,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-1.5B,1536,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-1.5B-Instruct,1536,151936,True,0,1.0,0.0,nan,nan
Llama-3.1-70B-Base,8192,128256,False,24000,0.41516616951319874,0.7587427780195359,91.9483642578125,0.29527896642684937
Llama-3.1-70B-Instruct,8192,128256,False,24000,0.4118144064349948,0.7608905614656003,91.12932586669922,0.2957949638366699
Qwen2.5-3B-Instruct,2048,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-3B,2048,151936,True,0,1.0,0.0,nan,nan
MiniMax-M2.7,3072,200064,False,24000,0.27623977168692526,0.8304545505590584,23.254369735717773,0.2256002575159073
Qwen2.5-14B,5120,152064,False,24000,0.2722618389823894,0.8469169474045366,111.41922760009766,0.19816625118255615
MiniMax-M2.5-Chat,3072,200064,False,24000,0.2760798324385487,0.8285446469188485,23.30499839782715,0.34801149368286133
Qwen2.5-32B-Instruct,5120,152064,False,24000,0.2697007107393814,0.8445151575180989,120.04316711425781,0.25554001331329346
Qwen2.5-72B-Base,8192,152064,False,24000,0.3889424168594696,0.7618003642140405,126.7319107055664,0.26770541071891785
Qwen3-0.6B-Base,1024,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-14B-Instruct,5120,152064,False,24000,0.27184369025399635,0.846689604726248,111.61067199707031,0.2089482694864273
Qwen3-1.7B,2048,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-7B,3584,152064,False,24000,0.20611476855026212,0.858530399885717,51.03968048095703,0.35286644101142883
Qwen2.5-32B,5120,152064,False,24000,0.2702491129524568,0.8445885625348246,120.02476501464844,0.25179916620254517
Qwen3-1.7B-Base,2048,151936,True,0,1.0,0.0,nan,nan
Qwen3-0.6B,1024,151936,True,0,1.0,0.0,nan,nan
Qwen2.5-72B-Instruct,8192,152064,False,24000,0.3883476451415212,0.7623303603198862,126.07535552978516,0.2653898596763611
Qwen3-235B-A22B,4096,151936,False,24000,0.30338812086395117,0.8289401025376827,50.12259292602539,0.16982929408550262
Qwen3-14B,5120,151936,False,24000,0.27345754505330233,0.8440051219538097,108.21210479736328,0.3175775706768036
Qwen2.5-7B-Instruct,3584,152064,False,24000,0.20670052067849143,0.8574789891251932,50.820030212402344,0.35495907068252563
Qwen3-30B-A3B,2048,151936,False,24000,0.2464325048119731,0.8371087949134314,26.628583908081055,0.3101601004600525
Qwen3-4B,2560,151936,True,0,1.0,0.0,nan,nan
Qwen3-30B-A3B-Base,2048,151936,False,24000,0.2513474137252133,0.8354603163377519,27.151227951049805,0.316638708114624
Qwen3.5-0.8B-Base,1024,248320,True,0,1.0,0.0,nan,nan
Qwen3-4B-Base,2560,151936,True,0,1.0,0.0,nan,nan
Qwen3.5-0.8B-Instruct,1024,248320,True,0,1.0,0.0,nan,nan
Qwen3.5-2B-Instruct,2048,248320,True,0,1.0,0.0,nan,nan
Qwen3-32B,5120,151936,False,24000,0.2693187313476352,0.8435680118008706,112.83263397216797,0.3863055408000946
Qwen3.5-2B-Base,2048,248320,True,0,1.0,0.0,nan,nan
Qwen3-14B-Base,5120,151936,False,24000,0.2764133283710173,0.8428797308749956,109.98529815673828,0.32311442494392395
Qwen3.5-122B-A10B-Instruct,3072,248320,False,24000,0.3122125220788905,0.7785404331609206,36.535438537597656,0.45103633403778076
Qwen3-8B,4096,151936,False,24000,0.2549256823417806,0.840889396979595,61.376590728759766,0.3873029947280884
Qwen3.5-4B-Base,2560,248320,True,0,1.0,0.0,nan,nan
Qwen3.5-4B-Instruct,2560,248320,True,0,1.0,0.0,nan,nan
Qwen3.5-397B-A17B-Instruct,4096,248320,False,24000,0.33038669103492013,0.8053828318974278,60.462493896484375,0.3921414017677307
Qwen3.5-35B-A3B-Base,2048,248320,False,24000,0.27293430552620035,0.8080085592821059,31.371334075927734,0.5162343978881836
Qwen3.6-35B-A3B,2048,248320,False,24000,0.2712072502100198,0.8066259973483844,31.02056884765625,0.5116376280784607
Qwen3-8B-Base,4096,151936,False,24000,0.25935523228112256,0.8396532518935507,62.056800842285156,0.38756418228149414
Qwen3.5-35B-A3B-Instruct,2048,248320,False,24000,0.270702749980526,0.8087885873691225,31.059101104736328,0.4971989393234253
Qwen3.5-27B-Instruct,5120,248320,False,24000,0.3083664060320187,0.8039072149328641,48.48514175415039,0.48686957359313965
Qwen3.5-9B-Instruct,4096,248320,False,24000,0.27402753149035486,0.816872327466949,38.496883392333984,0.49995505809783936
Qwen3.5-9B-Base,4096,248320,False,24000,0.27628499581956556,0.816278650193574,38.775718688964844,0.5107380747795105
