model_a,model_b,generation,hidden_a,hidden_b,base_norm_median,inst_norm_median,inst_over_base_norm_ratio,base_frac_near_1,inst_frac_near_1,aligned_mean_abs_norm_diff,task1_gcorr_E_cos,task1_gcorr_E_euc,task1_cos_minus_euc,verify_gcorr_E_cos_raw,verify_gcorr_E_euc_raw,verify_gcorr_E_cos_row_unit,verify_gcorr_E_euc_row_unit
Gemma-2-2B,Gemma-2-2B-Instruct,gemma2,2304,2304,1.7573661804199219,1.7499597072601318,0.9957854696179368,0.0,0.0,0.007878150790929794,0.9997445760900497,0.9992479468210079,0.000496629269041815,0.9997486082942455,0.9992359851960892,0.9997486082220434,0.9997336232009488
Gemma-2-9B,Gemma-2-9B-Instruct,gemma2,3584,3584,1.7033405303955078,1.7007420063018799,0.9984744541404034,0.0,0.0,0.009141151793301105,0.9985101925184453,0.9960486492944828,0.0024615432239625257,0.9984928857177927,0.9958270508317407,0.9984928856784557,0.9984978797866578
Gemma-2-27B,Gemma-2-27B-Instruct,gemma2,4608,4608,0.9992201328277588,0.9943196773529053,0.9950957198380447,0.9979666666666667,0.8151666666666667,0.005711957346647978,0.9981624962631662,0.9820383003016147,0.01612419596155157,0.9981505401786936,0.9818285962368398,0.9981505401829306,0.9981573209134852
Gemma-3-1B,Gemma-3-1B-Instruct,gemma3,1152,1152,1.0467219352722168,0.9468216896057129,0.9045589451218262,0.0,0.06353333333333333,0.09898156672716141,0.7773450589717976,0.7097854650417293,0.06755959393006827,0.7735653001711424,0.6993092481111579,0.7735652993416362,0.8377757998507084
Gemma-3-4B,Gemma-3-4B-Instruct,gemma3,2560,2560,0.9725132584571838,0.9986879825592041,1.0269145164596978,0.0,0.48683333333333334,0.026875915005803108,0.9791577562059511,0.8940217290409812,0.08513602716496993,0.9788337435588665,0.8879647418963461,0.9788337436762196,0.9870022020355647
Gemma-3-12B,Gemma-3-12B-Instruct,gemma3,3840,3840,0.9647848606109619,0.9509739279747009,0.9856849612798494,0.0,0.0001,0.014861575327813625,0.9883863310411382,0.9461472136682891,0.04223911737284902,0.9880935592125148,0.9429407968835534,0.9880935591791984,0.9937640337741939
Gemma-3-27B,Gemma-3-27B-Instruct,gemma3,5376,5376,1.0310536623001099,1.0210752487182617,0.990322120034385,0.0,0.1265,0.011558492667973042,0.9898735731863937,0.9528294643306394,0.037044108855754265,0.9894761483212845,0.9500236278900208,0.9894761481061616,0.9944368681143504
Gemma-4-E2B,Gemma-4-E2B-Instruct,gemma4,1536,1536,0.9999978542327881,1.199070930480957,1.1990735034135653,1.0,0.002033333333333333,0.19324620068073273,0.8465831222913,0.6756054774165149,0.17097764487478506,0.8509149598929575,0.6854270888316082,0.8509149589851953,0.9043072830044323
Gemma-4-E4B,Gemma-4-E4B-Instruct,gemma4,2560,2560,0.9999990463256836,1.2183728218078613,1.2183739837398373,1.0,0.026166666666666668,0.2063538134098053,0.7880055837518973,0.5307993088720356,0.2572062748798617,0.7904457692557005,0.5384993940530266,0.7904457695394466,0.853699821505163
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,gemma4,2816,2816,0.999901533126831,1.5580695867538452,1.5582230201023346,1.0,0.0017666666666666666,0.5152072906494141,0.8121912346884834,0.4405134395517698,0.3716777951367136,0.8173391062779836,0.45062182252845717,0.8173391050964319,0.8831073740318733
Gemma-4-31B,Gemma-4-31B-Instruct,gemma4,5376,5376,0.9998114705085754,1.117926836013794,1.1181376379340162,1.0,0.029833333333333333,0.12239653617143631,0.9510416254762479,0.5711747709745388,0.3798668545017091,0.9526634564177487,0.5439610949625695,0.9526634584632108,0.9799749195270953
