pair,gen,base_med,inst_med,inst/base,base_near1,aligned_gap_proxy,task1_cos,task1_euc,cos-euc
Gemma-2-27B|Gemma-2-27B-Instruct,gemma2,0.9992316961288452,0.9943249225616455,0.9950894536410232,0.99789453125,0.004906773567199707,0.9981624962631662,0.9820383003016147,0.01612419596155157
Gemma-2-2B|Gemma-2-2B-Instruct,gemma2,1.7587661743164062,1.7517695426940918,0.9960218522936775,0.0,0.006996631622314453,0.9997445760900497,0.9992479468210079,0.000496629269041815
Gemma-2-9B|Gemma-2-9B-Instruct,gemma2,1.7036155462265015,1.700979471206665,0.9984526585087373,0.0,0.0026360750198364258,0.9985101925184453,0.9960486492944828,0.0024615432239625257
Gemma-3-12B|Gemma-3-12B-Instruct,gemma3,0.9647856950759888,0.9508403539657593,0.9855456593299394,0.0,0.013945341110229492,0.9883863310411382,0.9461472136682891,0.04223911737284902
Gemma-3-1B|Gemma-3-1B-Instruct,gemma3,1.0467222929000854,0.9467456936836243,0.9044860323558577,0.0,0.09997659921646118,0.7773450589717976,0.7097854650417293,0.06755959393006827
Gemma-3-27B|Gemma-3-27B-Instruct,gemma3,1.0310534238815308,1.02095627784729,0.990206961346165,0.0,0.010097146034240723,0.9898735731863937,0.9528294643306394,0.037044108855754265
Gemma-3-4B|Gemma-3-4B-Instruct,gemma3,0.9725134372711182,0.9985840320587158,1.0268074391452646,0.0,0.026070594787597656,0.9791577562059511,0.8940217290409812,0.08513602716496993
Gemma-4-26B-A4B|Gemma-4-26B-A4B-Instruct,gemma4,0.9999018311500549,1.5588651895523071,1.5590182365796355,1.0,0.5589633584022522,0.8121912346884834,0.4405134395517698,0.3716777951367136
Gemma-4-31B|Gemma-4-31B-Instruct,gemma4,0.9998112916946411,1.1186496019363403,1.1188607402505657,1.0,0.11883831024169922,0.9510416254762479,0.5711747709745388,0.3798668545017091
Gemma-4-E2B|Gemma-4-E2B-Instruct,gemma4,0.9999985694885254,1.1993507146835327,1.1993524303709464,1.0,0.19935214519500732,0.8465831222913,0.6756054774165149,0.17097764487478506
Gemma-4-E4B|Gemma-4-E4B-Instruct,gemma4,0.9999988079071045,1.2182568311691284,1.218258283446173,1.0,0.21825802326202393,0.7880055837518973,0.5307993088720356,0.2572062748798617
