model,generation,role,mean,std,median,frac_near_1,frac_near_sqrt_d,hidden_size,sqrt_hidden,runtime_norm_median_if_scaled
Gemma-2-27B,gemma2,base,0.9992180466651917,0.0015103641198948026,0.9992316961288452,0.99789453125,0.0,4608,67.88225099390856,67.83009338378906
Gemma-2-27B-Instruct,gemma2,instruct,0.9936171770095825,0.003825765335932374,0.9943249225616455,0.8145625,0.0,4608,67.88225099390856,67.49700927734375
Gemma-2-2B,gemma2,base,1.7797690629959106,0.2526971697807312,1.7587661743164062,0.0,0.0,2304,48.0,84.4207763671875
Gemma-2-2B-Instruct,gemma2,instruct,1.7720335721969604,0.25203487277030945,1.7517695426940918,0.0,0.0,2304,48.0,84.0849380493164
Gemma-2-9B,gemma2,base,1.722504734992981,0.21295376121997833,1.7036155462265015,0.0,0.0,3584,59.86651818838306,101.98953247070312
Gemma-2-9B-Instruct,gemma2,instruct,1.7215255498886108,0.2135186344385147,1.700979471206665,0.0,0.0,3584,59.86651818838306,101.83171844482422
Gemma-3-12B,gemma3,base,0.9645566940307617,0.015094081871211529,0.9647856950759888,0.0,0.0,3840,61.96773353931867,59.78558349609375
Gemma-3-12B-Instruct,gemma3,instruct,0.9502406120300293,0.018319953233003616,0.9508403539657593,0.00016399194532584817,0.0,3840,61.96773353931867,58.921424865722656
Gemma-3-1B,gemma3,base,1.046724796295166,0.0001418670144630596,1.0467222929000854,0.0,0.0,1152,33.94112549695428,35.52693176269531
Gemma-3-1B-Instruct,gemma3,instruct,0.947531521320343,0.027256857603788376,0.9467456936836243,0.0635833740234375,0.0,1152,33.94112549695428,32.13361358642578
Gemma-3-27B,gemma3,base,1.0307968854904175,0.016131358221173286,1.0310534238815308,0.0,0.0,5376,73.32121111929344,75.59809112548828
Gemma-3-27B-Instruct,gemma3,instruct,1.0202463865280151,0.01868649572134018,1.02095627784729,0.1295498230412497,0.0,5376,73.32121111929344,74.85774993896484
Gemma-3-4B,gemma3,base,0.9722772836685181,0.015207625925540924,0.9725134372711182,0.0,0.0,2560,50.59644256269407,49.205718994140625
Gemma-3-4B-Instruct,gemma3,instruct,0.9982269406318665,0.022032085806131363,0.9985840320587158,0.485275048816207,0.0,2560,50.59644256269407,50.52479934692383
Gemma-4-26B-A4B,gemma4,base,0.9999024271965027,6.125152867753059e-05,0.9999018311500549,1.0,0.0,2816,53.0659966456864,53.060787200927734
Gemma-4-26B-A4B-Instruct,gemma4,instruct,1.5153628587722778,0.18589459359645844,1.5588651895523071,0.001499176025390625,0.0,2816,53.0659966456864,82.72274017333984
Gemma-4-31B,gemma4,base,0.9997997879981995,0.00023681772290728986,0.9998112916946411,1.0,0.0,5376,73.32121111929344,73.307373046875
Gemma-4-31B-Instruct,gemma4,instruct,1.1182231903076172,0.0832425206899643,1.1186496019363403,0.029083251953125,0.0,5376,73.32121111929344,82.02074432373047
Gemma-4-E2B,gemma4,base,0.9999984502792358,7.917816401459277e-05,0.9999985694885254,1.0,0.0,1536,39.191835884530846,39.19178009033203
Gemma-4-E2B-Instruct,gemma4,instruct,1.193636178970337,0.07720419764518738,1.1993507146835327,0.001995086669921875,0.0,1536,39.191835884530846,47.004756927490234
Gemma-4-E4B,gemma4,base,0.9999985694885254,6.186349492054433e-05,0.9999988079071045,1.0,0.0,2560,50.59644256269407,50.59638214111328
Gemma-4-E4B-Instruct,gemma4,instruct,1.2063524723052979,0.08350939303636551,1.2182568311691284,0.02724456787109375,0.0,2560,50.59644256269407,61.639461517333984
