model,hidden_dim,R2_EU,rel_err_EU
Qwen2.5-7B,3584,0.20611476855026212,0.858530399885717
Qwen2.5-7B-Instruct,3584,0.20670052067849143,0.8574789891251932
DeepSeek-R1-Distill-Qwen-7B,3584,0.21552120355183535,0.8054411788937589
Qwen3-30B-A3B,2048,0.24643244291766309,0.8371088292914204
Qwen3-8B,4096,0.2549256207649785,0.8408894317273226
DeepSeek-R1-Distill-Llama-8B,4096,0.2566029156755574,0.832229212246058
Qwen3-8B-Base,4096,0.25935523228112256,0.8396532518935507
Llama-3.1-8B-Instruct,4096,0.26110842246271815,0.8329069214274911
Llama-3.1-8B,4096,0.26529227626719853,0.8317946245350597
DeepSeek-R1-Distill-Qwen-32B,5120,0.2680371921457143,0.8444345007318751
DeepSeek-R1-Distill-Qwen-14B,5120,0.2686965595912837,0.8451941223754871
Qwen3-32B,5120,0.2693185998192801,0.843568087725294
Qwen2.5-32B-Instruct,5120,0.26970060607265856,0.8445152180361852
Qwen2.5-32B,5120,0.2702489566904116,0.8445886529609766
Qwen3.5-35B-A3B-Instruct,2048,0.2707026873631341,0.8087886220903769
