model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0,id,20000,5000000,8192,4096,128256,128256,False,False,0.4125550642216289,0.8850951173390139,0.8816005165398387,0.8434133870374737,0.8984066296866509,0.8930866325956667
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,5,id,20000,5000000,8192,4096,128256,128256,False,False,0.41095634168456785,0.8834935451141906,0.8801882643058044,0.8407744610416218,0.8945366250760384,0.8891621270869313
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,1,id,20000,5000000,8192,4096,128256,128256,False,False,0.41077707788722756,0.8847039609467663,0.881263635163227,0.8447015491917759,0.8964574248121533,0.8909263362151398
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,7,id,20000,5000000,8192,4096,128256,128256,False,False,0.4103051139116287,0.8849401174440352,0.8816484632051697,0.8440620617160016,0.8968075635544274,0.8912838806763687
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,4,id,20000,5000000,8192,4096,128256,128256,False,False,0.41273986333695345,0.883449895782742,0.8798752841052228,0.8418713264421559,0.8966016991006359,0.8912043535075687
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,3,id,20000,5000000,8192,4096,128256,128256,False,False,0.4104455370951716,0.8855495267158652,0.8817997253121228,0.8439233007954541,0.8985506678030714,0.8931870441764532
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,6,id,20000,5000000,8192,4096,128256,128256,False,False,0.4098013578035628,0.8868165696939061,0.8833023322910634,0.8447607887610536,0.8952497036538674,0.8892301889552934
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,2,id,20000,5000000,8192,4096,128256,128256,False,False,0.4104355318173551,0.8830045513579204,0.8800363652295868,0.8434764851286075,0.8970338442053375,0.8915709693116443
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,8,id,20000,5000000,8192,4096,128256,128256,False,False,0.40838518545307934,0.8832703891851524,0.8800808035156772,0.8403924791657285,0.8952599714441174,0.8894864600481611
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,9,id,20000,5000000,8192,4096,128256,128256,False,False,0.41039154524053534,0.8850615155601027,0.8817851497409445,0.8430148284475455,0.8991318377477189,0.8942249486817954
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,11,id,20000,5000000,8192,4096,128256,128256,False,False,0.40779211188341036,0.8860892484472312,0.8821143688754253,0.8441586967045126,0.8977292343605354,0.8921219848549171
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,14,id,20000,5000000,8192,4096,128256,128256,False,False,0.40953017520276347,0.8844388324291235,0.8808885371765243,0.8434898347382037,0.8969508501206598,0.8909705922671695
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,10,id,20000,5000000,8192,4096,128256,128256,False,False,0.4088740369394457,0.8849376152266516,0.8811758189752199,0.8442418458298517,0.8963195977005968,0.8903865129176405
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,15,id,20000,5000000,8192,4096,128256,128256,False,False,0.40897199805161255,0.8873248168595881,0.8832928994656428,0.8457380161654349,0.8971088125006782,0.8915544942576833
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,12,id,20000,5000000,8192,4096,128256,128256,False,False,0.4091458566298462,0.8855403356250522,0.8816536542592853,0.8440562400890137,0.8968447322153177,0.8913440394702786
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,13,id,20000,5000000,8192,4096,128256,128256,False,False,0.4105646323792176,0.8832505084775382,0.879761000779426,0.8440230383638223,0.8954820077805828,0.8902022599972141
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,16,id,20000,5000000,8192,4096,128256,128256,False,False,0.41277316598440156,0.8850016496093949,0.8816879408283762,0.8458325928594901,0.8991144567336588,0.8934577028019589
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,17,id,20000,5000000,8192,4096,128256,128256,False,False,0.4099078314796611,0.8863494394707666,0.882482028816197,0.8434455230049988,0.8988603284909775,0.893812792278425
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,18,id,20000,5000000,8192,4096,128256,128256,False,False,0.4113864013548915,0.8860726155403588,0.8824872496210939,0.8435974616121223,0.8963086059499674,0.8908042900023161
