model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,0,id,20000,5000000,1024,896,151936,151936,True,True,0.7787630250930158,0.8759134718905882,0.8581286718047628,0.7787900940744172,0.8759598414359273,0.8581206563321063
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,5,id,20000,5000000,1024,896,151936,151936,True,True,0.7754925538535332,0.8726494701123364,0.8541773595643153,0.7751979024119992,0.8725695943080995,0.8540745055435306
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,1,id,20000,5000000,1024,896,151936,151936,True,True,0.788258945165298,0.8774964337207634,0.8575981398431458,0.7881715752417795,0.8775966235245592,0.8577254650047664
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,3,id,20000,5000000,1024,896,151936,151936,True,True,0.7862868958271417,0.8764653504693839,0.8564174796705577,0.7864673138881978,0.8766379226324624,0.8566764358425186
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,6,id,20000,5000000,1024,896,151936,151936,True,True,0.7818434108653995,0.8747693713189536,0.8550111218866923,0.7809008980559871,0.8744068743508598,0.854854502988043
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,2,id,20000,5000000,1024,896,151936,151936,True,True,0.7874921546527809,0.8795718255817926,0.8611403035982583,0.7876360279834325,0.8793514161666072,0.8607580584186884
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,7,id,20000,5000000,1024,896,151936,151936,True,True,0.7848924951811166,0.8794068307273818,0.8607738320087324,0.7847066505687605,0.8792500861277621,0.8605478974726369
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,4,id,20000,5000000,1024,896,151936,151936,True,True,0.785204998789092,0.8772579101111327,0.8577096530458916,0.7848748166813555,0.8769736387462955,0.857482649729534
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,8,id,20000,5000000,1024,896,151936,151936,True,True,0.7881486059513565,0.8807597595100787,0.8617873908488414,0.7880999487425329,0.8809247807490947,0.8619579810390919
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,9,id,20000,5000000,1024,896,151936,151936,True,True,0.7830627638232731,0.877530009568752,0.8584943509803477,0.7828833004281047,0.8772414334406814,0.8582606237503615
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,10,id,20000,5000000,1024,896,151936,151936,True,True,0.7849370793207708,0.8778364010603642,0.8578624689343491,0.7844875242062539,0.8777017164907643,0.8578543251390913
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,11,id,20000,5000000,1024,896,151936,151936,True,True,0.7827272579717125,0.8742297348370751,0.8548048293140468,0.7834273002016067,0.8743501764369488,0.8549396391631451
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,13,id,20000,5000000,1024,896,151936,151936,True,True,0.7861287453462894,0.8757682381612218,0.85610499562504,0.78656517533287,0.8758628915381806,0.8561125343319023
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,12,id,20000,5000000,1024,896,151936,151936,True,True,0.7874819562643539,0.8792283453812418,0.860013834297195,0.7874983041016903,0.8791948448899094,0.8598674279337163
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,14,id,20000,5000000,1024,896,151936,151936,True,True,0.7817879556134892,0.8758525928434442,0.8567870891580855,0.781380900875509,0.8762363465786945,0.8572333844258466
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,15,id,20000,5000000,1024,896,151936,151936,True,True,0.7766794968292651,0.8757980183168405,0.8580946270837682,0.776846630113431,0.8755488589226731,0.8576925916010855
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,16,id,20000,5000000,1024,896,151936,151936,True,True,0.7848015232804967,0.8754536339170623,0.8563875075799465,0.784396813358677,0.8754342199942723,0.8564567812728555
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,17,id,20000,5000000,1024,896,151936,151936,True,True,0.7817060177429096,0.8754831796740719,0.8564044690469369,0.7816683693081546,0.8754418700145215,0.8563054109855772
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,18,id,20000,5000000,1024,896,151936,151936,True,True,0.7916283892145634,0.879228847698764,0.859124981233011,0.7917643142192462,0.8793628768546902,0.859240627343878
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,19,id,20000,5000000,1024,896,151936,151936,True,True,0.7821604106712061,0.8759831447822862,0.8574226459795276,0.7819707547276673,0.8760839135667446,0.8577233045400677
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,20,id,20000,5000000,1024,896,151936,151936,True,True,0.7865440101613119,0.8753910800933944,0.854742640861655,0.7860349826001628,0.8748670365319551,0.8543118209917695
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,21,id,20000,5000000,1024,896,151936,151936,True,True,0.7861868215081316,0.8761966455109573,0.8559137097755197,0.7865263974650907,0.8764772343459081,0.8562226362330198
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,22,id,20000,5000000,1024,896,151936,151936,True,True,0.7878102977249897,0.8783847002921406,0.8591082194311618,0.7876174941461525,0.8780132379428478,0.85860755878498
Qwen3-0.6B,Qwen2.5-0.5B-Instruct,23,id,20000,5000000,1024,896,151936,151936,True,True,0.7819105062190415,0.8768376994292663,0.8584997504444096,0.7817392364964107,0.8769426485223554,0.8587833018141107
