model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,0,string,20000,5000000,2048,2048,151936,248320,False,False,0.37878064865730376,0.7074474706461459,0.7144421883144341,0.7343464230491672,0.762758708860726,0.781306256796383
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,6,string,20000,5000000,2048,2048,151936,248320,False,False,0.37856555786379986,0.7102853920433873,0.7161413173341585,0.7300217414985738,0.7664409022696427,0.784753509917664
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,7,string,20000,5000000,2048,2048,151936,248320,False,False,0.38091129420457154,0.708735293129416,0.7151002473465199,0.7283258166223506,0.7636461464326961,0.7824713337934152
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,2,string,20000,5000000,2048,2048,151936,248320,False,False,0.37873622236817095,0.7169771262352271,0.7217555806761043,0.7358991311760223,0.769154939853006,0.7869307115827509
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,5,string,20000,5000000,2048,2048,151936,248320,False,False,0.37760825334047243,0.713635665402644,0.7190055840603814,0.7350618106022458,0.7730195996979663,0.7907437788548759
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,3,string,20000,5000000,2048,2048,151936,248320,False,False,0.37846081313775076,0.7147608958130217,0.7205958341131028,0.7364653006377354,0.7630787532888215,0.7818494879933435
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,1,string,20000,5000000,2048,2048,151936,248320,False,False,0.37961496546606943,0.7070096622523993,0.7131917385681044,0.734656595159594,0.7606662809981013,0.7795999083979235
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,4,string,20000,5000000,2048,2048,151936,248320,False,False,0.38158020792727576,0.7021775528184618,0.7089856999585895,0.7282762548391242,0.7649608153302089,0.7842205357380233
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,8,string,20000,5000000,2048,2048,151936,248320,False,False,0.381074006573087,0.7103349081414558,0.7163760827902778,0.7366482969249382,0.7684392047306324,0.7861436164579492
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,9,string,20000,5000000,2048,2048,151936,248320,False,False,0.37891503853342284,0.7080872547292817,0.7136369542713715,0.7336066317375028,0.770572029229763,0.7879953860677562
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,11,string,20000,5000000,2048,2048,151936,248320,False,False,0.37901494302104355,0.7025532185500125,0.7098166774682807,0.7299489411543943,0.7549090173049245,0.7749128188900899
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,10,string,20000,5000000,2048,2048,151936,248320,False,False,0.3795043951048154,0.7091622300590869,0.7152431068438453,0.7335034685926624,0.7616805955406898,0.780176703652061
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,12,string,20000,5000000,2048,2048,151936,248320,False,False,0.37863676253311696,0.7066192223177375,0.7134628046696684,0.7358556687482823,0.7622474033246401,0.7807878640220193
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,13,string,20000,5000000,2048,2048,151936,248320,False,False,0.3787018453500814,0.69476223806694,0.7025778588201892,0.7301366260275478,0.7617263050758358,0.7808997465100161
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,14,string,20000,5000000,2048,2048,151936,248320,False,False,0.3785210760154985,0.7182992179020352,0.72429748925016,0.735187976902957,0.7641293522103326,0.7822875828107169
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,15,string,20000,5000000,2048,2048,151936,248320,False,False,0.3779820725210321,0.7013430936195721,0.7093476314903304,0.7254456073502359,0.7562955762108128,0.7760812890287139
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,16,string,20000,5000000,2048,2048,151936,248320,False,False,0.37975007925054927,0.705539297277225,0.7122255881303242,0.7353723418023633,0.7670252246089025,0.7853706686685886
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,18,string,20000,5000000,2048,2048,151936,248320,False,False,0.3788088237016395,0.6968207847012544,0.704208747258926,0.7266745932603983,0.7617897636373494,0.7813940796280814
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,17,string,20000,5000000,2048,2048,151936,248320,False,False,0.3786296343593925,0.7078542871946043,0.7143311979018689,0.7325198984715318,0.761618522366373,0.7800291056264036
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,20,string,20000,5000000,2048,2048,151936,248320,False,False,0.3791709021528048,0.706723080393573,0.7131085011748002,0.7368269864060141,0.7601396214615724,0.7788709107199822
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,19,string,20000,5000000,2048,2048,151936,248320,False,False,0.378493864854622,0.7101656944699737,0.7166189507733072,0.7291110346871829,0.7641041452544952,0.7829648465917678
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,21,string,20000,5000000,2048,2048,151936,248320,False,False,0.37770249193968575,0.7161067127203291,0.7212421206211137,0.733506287634684,0.7755218942802086,0.7914532226170578
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,22,string,20000,5000000,2048,2048,151936,248320,False,False,0.3765827792232197,0.7005337595736485,0.7073156837186347,0.7280406935120659,0.7591857165083871,0.7789179201841927
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,23,string,20000,5000000,2048,2048,151936,248320,False,False,0.3797939245185837,0.7169200406591048,0.7223266725336164,0.7360511446177979,0.7708357819119265,0.7877559143594408
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,25,string,20000,5000000,2048,2048,151936,248320,False,False,0.37760977519855227,0.7020736523919464,0.7093594923115126,0.7291849829552154,0.7616976558917926,0.7813211336583312
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,27,string,20000,5000000,2048,2048,151936,248320,False,False,0.3777812399216493,0.7100441764078781,0.7162912992619963,0.7272427988521407,0.7657339875902125,0.7840495922322126
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,26,string,20000,5000000,2048,2048,151936,248320,False,False,0.37950829912339656,0.7182040320272264,0.723049072677236,0.737623504912551,0.7695068012464423,0.7866742452294351
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,28,string,20000,5000000,2048,2048,151936,248320,False,False,0.37887821516648584,0.6972337635278024,0.7049200356991833,0.7294736087453763,0.7579634378092095,0.7777172582478832
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,30,string,20000,5000000,2048,2048,151936,248320,False,False,0.3791359225121253,0.7101782624316418,0.7167344736188798,0.7367309814207247,0.7694340690412093,0.787166240385105
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,29,string,20000,5000000,2048,2048,151936,248320,False,False,0.38178493697677124,0.7166484420990776,0.7224963409690894,0.7426324183752049,0.7672971476566675,0.7846436170851181
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,31,string,20000,5000000,2048,2048,151936,248320,False,False,0.3788127417333916,0.7080063244446603,0.7143404273027254,0.7356467850019202,0.7653639567659896,0.7831305554192028
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,24,string,20000,5000000,2048,2048,151936,248320,False,False,0.3790058041951119,0.7097559872140866,0.7157814666587821,0.7378655921178872,0.7645475651597787,0.7828126636462845
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,32,string,20000,5000000,2048,2048,151936,248320,False,False,0.37860253161568735,0.7137310872668244,0.7193583214911903,0.7381554248289789,0.76944079771642,0.7866168559088967
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,33,string,20000,5000000,2048,2048,151936,248320,False,False,0.37825131946251267,0.7043581588725656,0.710425057618596,0.7253203434975255,0.7594187972915258,0.7790505721297968
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,35,string,20000,5000000,2048,2048,151936,248320,False,False,0.37851980341129754,0.7033468862789511,0.7106866329525316,0.7348664880048217,0.7611039638827338,0.7799485075507021
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,34,string,20000,5000000,2048,2048,151936,248320,False,False,0.37924730860855893,0.7066689817136795,0.7131696012001341,0.7329914194253904,0.7663362053254796,0.7834463466448728
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,37,string,20000,5000000,2048,2048,151936,248320,False,False,0.3795220838214138,0.7000006061254478,0.7072886949920654,0.7314341438024103,0.7581228453436684,0.777670138741111
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,36,string,20000,5000000,2048,2048,151936,248320,False,False,0.3781687776185168,0.7033426375372415,0.7103667477634074,0.738097777126268,0.7624587768746732,0.7810241867760053
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,38,string,20000,5000000,2048,2048,151936,248320,False,False,0.3794370705520153,0.709839144465909,0.7159871205896688,0.7332788635490081,0.7704046890551458,0.7884212620658317
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,39,string,20000,5000000,2048,2048,151936,248320,False,False,0.38044927371344284,0.703107902442379,0.7099754722442432,0.7344181469316171,0.766517094236568,0.7847557538672668
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,40,string,20000,5000000,2048,2048,151936,248320,False,False,0.378697674591394,0.697965406758692,0.7041300930801305,0.7331223745984163,0.7633587077329407,0.780927661783111
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,42,string,20000,5000000,2048,2048,151936,248320,False,False,0.37733410027219305,0.7038710347461208,0.7097882542294874,0.7283232622604905,0.7655203613414412,0.7839000994929859
