scale_group,series_a,series_b,model_a,model_b,source_a,source_b,selected_a,selected_b
moe_active_compact,qwen3,qwen3.5_moe,Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,Qwen3-30B-A3B-Base,Qwen3.5-35B-A3B-Base,Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct
moe_active_compact,qwen3,qwen3.6,Qwen3-30B-A3B,Qwen3.6-35B-A3B,Qwen3-30B-A3B-Base,Qwen3.6-35B-A3B,Qwen3-30B-A3B,Qwen3.6-35B-A3B
moe_active_compact,qwen3,gemma4,Qwen3-30B-A3B,Gemma-4-26B-A4B-Instruct,Qwen3-30B-A3B-Base,Gemma-4-26B-A4B,Qwen3-30B-A3B,Gemma-4-26B-A4B-Instruct
moe_active_compact,qwen3,deepseek_v2_moe,Qwen3-30B-A3B,DeepSeek-V2-Lite-Chat,Qwen3-30B-A3B-Base,DeepSeek-V2-Lite,Qwen3-30B-A3B,DeepSeek-V2-Lite-Chat
moe_active_compact,qwen3,deepseek_r1,Qwen3-30B-A3B,DeepSeek-R1-0528,Qwen3-30B-A3B-Base,DeepSeek-R1-0528,Qwen3-30B-A3B,DeepSeek-R1-0528
moe_active_compact,qwen3,minimax_m2,Qwen3-30B-A3B,MiniMax-M2.7,Qwen3-30B-A3B-Base,MiniMax-M2.7,Qwen3-30B-A3B,MiniMax-M2.7
moe_active_compact,qwen3.5_moe,qwen3.6,Qwen3.5-35B-A3B-Instruct,Qwen3.6-35B-A3B,Qwen3.5-35B-A3B-Base,Qwen3.6-35B-A3B,Qwen3.5-35B-A3B-Instruct,Qwen3.6-35B-A3B
moe_active_compact,qwen3.5_moe,gemma4,Qwen3.5-35B-A3B-Instruct,Gemma-4-26B-A4B-Instruct,Qwen3.5-35B-A3B-Base,Gemma-4-26B-A4B,Qwen3.5-35B-A3B-Instruct,Gemma-4-26B-A4B-Instruct
moe_active_compact,qwen3.5_moe,deepseek_v2_moe,Qwen3.5-35B-A3B-Instruct,DeepSeek-V2-Lite-Chat,Qwen3.5-35B-A3B-Base,DeepSeek-V2-Lite,Qwen3.5-35B-A3B-Instruct,DeepSeek-V2-Lite-Chat
moe_active_compact,qwen3.5_moe,deepseek_r1,Qwen3.5-35B-A3B-Instruct,DeepSeek-R1-0528,Qwen3.5-35B-A3B-Base,DeepSeek-R1-0528,Qwen3.5-35B-A3B-Instruct,DeepSeek-R1-0528
moe_active_compact,qwen3.5_moe,minimax_m2,Qwen3.5-35B-A3B-Instruct,MiniMax-M2.7,Qwen3.5-35B-A3B-Base,MiniMax-M2.7,Qwen3.5-35B-A3B-Instruct,MiniMax-M2.7
moe_active_compact,qwen3.6,gemma4,Qwen3.6-35B-A3B,Gemma-4-26B-A4B-Instruct,Qwen3.6-35B-A3B,Gemma-4-26B-A4B,Qwen3.6-35B-A3B,Gemma-4-26B-A4B-Instruct
moe_active_compact,qwen3.6,deepseek_v2_moe,Qwen3.6-35B-A3B,DeepSeek-V2-Lite-Chat,Qwen3.6-35B-A3B,DeepSeek-V2-Lite,Qwen3.6-35B-A3B,DeepSeek-V2-Lite-Chat
moe_active_compact,qwen3.6,deepseek_r1,Qwen3.6-35B-A3B,DeepSeek-R1-0528,Qwen3.6-35B-A3B,DeepSeek-R1-0528,Qwen3.6-35B-A3B,DeepSeek-R1-0528
moe_active_compact,qwen3.6,minimax_m2,Qwen3.6-35B-A3B,MiniMax-M2.7,Qwen3.6-35B-A3B,MiniMax-M2.7,Qwen3.6-35B-A3B,MiniMax-M2.7
moe_active_compact,gemma4,deepseek_v2_moe,Gemma-4-26B-A4B-Instruct,DeepSeek-V2-Lite-Chat,Gemma-4-26B-A4B,DeepSeek-V2-Lite,Gemma-4-26B-A4B-Instruct,DeepSeek-V2-Lite-Chat
moe_active_compact,gemma4,deepseek_r1,Gemma-4-26B-A4B-Instruct,DeepSeek-R1-0528,Gemma-4-26B-A4B,DeepSeek-R1-0528,Gemma-4-26B-A4B-Instruct,DeepSeek-R1-0528
moe_active_compact,gemma4,minimax_m2,Gemma-4-26B-A4B-Instruct,MiniMax-M2.7,Gemma-4-26B-A4B,MiniMax-M2.7,Gemma-4-26B-A4B-Instruct,MiniMax-M2.7
moe_active_compact,deepseek_v2_moe,deepseek_r1,DeepSeek-V2-Lite-Chat,DeepSeek-R1-0528,DeepSeek-V2-Lite,DeepSeek-R1-0528,DeepSeek-V2-Lite-Chat,DeepSeek-R1-0528
moe_active_compact,deepseek_v2_moe,minimax_m2,DeepSeek-V2-Lite-Chat,MiniMax-M2.7,DeepSeek-V2-Lite,MiniMax-M2.7,DeepSeek-V2-Lite-Chat,MiniMax-M2.7
moe_active_compact,deepseek_r1,minimax_m2,DeepSeek-R1-0528,MiniMax-M2.7,DeepSeek-R1-0528,MiniMax-M2.7,DeepSeek-R1-0528,MiniMax-M2.7
