model_a,model_b,align_mode,n_tokens,n_bootstrap,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos_mean,gcorr_E_cos_std,gcorr_E_cos_se,gcorr_E_cos_ci95_low,gcorr_E_cos_ci95_high,gcorr_E_cos_median,gcorr_E_euc_mean,gcorr_E_euc_std,gcorr_E_euc_se,gcorr_E_euc_ci95_low,gcorr_E_euc_ci95_high,gcorr_E_euc_median,gcorr_E_euc2_mean,gcorr_E_euc2_std,gcorr_E_euc2_se,gcorr_E_euc2_ci95_low,gcorr_E_euc2_ci95_high,gcorr_E_euc2_median,gcorr_U_cos_mean,gcorr_U_cos_std,gcorr_U_cos_se,gcorr_U_cos_ci95_low,gcorr_U_cos_ci95_high,gcorr_U_cos_median,gcorr_U_euc_mean,gcorr_U_euc_std,gcorr_U_euc_se,gcorr_U_euc_ci95_low,gcorr_U_euc_ci95_high,gcorr_U_euc_median,gcorr_U_euc2_mean,gcorr_U_euc2_std,gcorr_U_euc2_se,gcorr_U_euc2_ci95_low,gcorr_U_euc2_ci95_high,gcorr_U_euc2_median
Qwen3-30B-A3B,Qwen3.5-35B-A3B-Instruct,string,20000,100,5000000,2048,2048,151936,248320,False,False,0.37885393507571585,0.0010977436544770058,0.00010977436544770058,0.3767046248578557,0.3813397622840361,0.37883817845857337,0.7071378937745016,0.005708581126989529,0.0005708581126989529,0.6963704904227338,0.7177187656767595,0.7074050735152895,0.7134944760928147,0.0051556109975779965,0.0005155610997577997,0.703882752208105,0.7229035435406783,0.7135677875595736,0.7330740597630936,0.003984648648400989,0.00039846486484009885,0.725463253277474,0.7404093526253811,0.7332909162244181,0.7659993913311831,0.004388518732831432,0.0004388518732831432,0.7570795543653867,0.7729138672366827,0.7668348514260978,0.7842367001492998,0.003645428265161909,0.0003645428265161909,0.7771194450798831,0.7902701729088182,0.7847116939437091
Qwen3-30B-A3B,Qwen3.6-35B-A3B,string,20000,100,5000000,2048,2048,151936,248320,False,False,0.3794280098635829,0.0010732511410310108,0.00010732511410310108,0.37733297019914613,0.3819245256807796,0.3794040256330091,0.710262355826549,0.00576094140830308,0.000576094140830308,0.699518132102845,0.7211206886341242,0.7104061129542625,0.7165105239287237,0.005204101516977516,0.0005204101516977516,0.7069993807955904,0.7263082443964364,0.7165583229529169,0.7463816708603255,0.003907467830795778,0.00039074678307957783,0.7389109700095219,0.753597159061246,0.7464529790759633,0.7576440426435899,0.004206791235100431,0.0004206791235100431,0.7495057674062586,0.7638223415725339,0.7584309370677538,0.7740724514578226,0.0035314117049763927,0.0003531411704976393,0.7673319435433817,0.7795491465153785,0.7745764717347658
Qwen3-30B-A3B,Gemma-4-26B-A4B-Instruct,string,20000,100,5000000,2048,2816,151936,262144,False,True,0.43774803901589715,0.0007945003756355218,7.945003756355218e-05,0.43627460967240306,0.4391904630274638,0.43767677357728463,0.24439111074214911,0.004603129713101612,0.00046031297131016115,0.23642317570591675,0.2539851586147556,0.2439869893365861,0.23563351708257374,0.004641412316126356,0.0004641412316126356,0.22770928051058398,0.24504714179357245,0.23510097328676832,0.3599085374784557,0.0023499925221419317,0.00023499925221419317,0.35476585754855483,0.36411621635787034,0.3600518687848399,0.45541142776661303,0.0025273630029017877,0.0002527363002901788,0.45081960924091025,0.45947478271609005,0.45541319199179203,0.4517465901010505,0.0024786307156453727,0.00024786307156453725,0.4471485381138863,0.4559052893755159,0.4517754196234953
Qwen3-30B-A3B,DeepSeek-V2-Lite-Chat,string,20000,100,5000000,2048,2048,151936,102400,False,False,0.463615555733443,0.001045434008269707,0.0001045434008269707,0.4616149864860469,0.46550450809541644,0.4635985036440338,0.648749649282193,0.004431496487129864,0.0004431496487129864,0.6400567014603434,0.6567422162557018,0.6489030391647099,0.637900248364447,0.004220136013535407,0.00042201360135354075,0.6296785347737498,0.645994156463586,0.6381296202909739,0.5724676106311741,0.0022389418337775916,0.00022389418337775917,0.5684749364078797,0.5761483012462355,0.5724240512601917,0.7275785371258201,0.003839790190930084,0.0003839790190930084,0.7200213854843481,0.7351740879245425,0.7276433460937815,0.7270565077928751,0.0037935666803047235,0.0003793566680304724,0.7196742978354858,0.7344015828201296,0.7270555434022665
Qwen3-30B-A3B,DeepSeek-R1-0528,string,20000,100,5000000,2048,7168,151936,129280,False,False,0.4492205083543842,0.0011958065290411165,0.00011958065290411165,0.44688610540744905,0.45128454924852035,0.4492657545247675,0.40350403274202123,0.0055214232093936284,0.0005521423209393628,0.39290084878674153,0.4136299182239285,0.40347405306666706,0.399931940615457,0.005270346674686654,0.0005270346674686654,0.38967174817205213,0.40992602731105604,0.40016942160885316,0.38240081683766264,0.0023589391915996576,0.00023589391915996576,0.37833492794609946,0.3867469050854288,0.38230714617055883,0.7931005909040469,0.002685146633122861,0.0002685146633122861,0.7877357315702145,0.7975140321951916,0.7931520050844467,0.7950980945360463,0.00248428255258652,0.00024842825525865197,0.7905851905255034,0.7991193231101427,0.7954753543407892
Qwen3-30B-A3B,MiniMax-M2.7,string,20000,100,5000000,2048,3072,151936,200064,False,False,0.4128601552158825,0.0011500217033895766,0.00011500217033895766,0.41078060133828587,0.41508373131531595,0.41292899350465806,0.42518716756832114,0.006833096683068416,0.0006833096683068416,0.4123674985001884,0.4382920571590965,0.42453891097867696,0.4162603909199267,0.00643218339935468,0.000643218339935468,0.4040684862759431,0.4287814422429297,0.41603321687597816,0.6613638429691653,0.00268436965024366,0.000268436965024366,0.6553246685992475,0.6661754378707286,0.6615822842236704,0.7015529671614124,0.00491785018778335,0.000491785018778335,0.6915446383268936,0.7109362443262519,0.7021938402825896,0.7034953869053726,0.004682353118848353,0.00046823531188483535,0.694194361563657,0.7122646220718992,0.7039886384154463
Qwen3.5-35B-A3B-Instruct,Qwen3.6-35B-A3B,id,20000,100,5000000,2048,2048,248320,248320,False,False,0.9533392023151896,0.0001490030186327541,1.490030186327541e-05,0.9529668139788994,0.9536210776900229,0.9533384483318452,0.9972101607482619,4.25188322721182e-05,4.25188322721182e-06,0.997136370837985,0.997288365641649,0.9972045476638132,0.9970512959601201,4.059093398478596e-05,4.0590933984785954e-06,0.9969805380834841,0.9971250410392577,0.9970414004474532,0.9940589017500692,8.651785927838976e-05,8.651785927838975e-06,0.9938886187982868,0.9942223761080541,0.9940590186548428,0.9896053925042793,0.00015767135756689354,1.5767135756689354e-05,0.9892743895284566,0.9898589048352782,0.9896015382833617,0.9894307562235249,0.0001582103449020765,1.582103449020765e-05,0.9890695605467545,0.9896892503194457,0.9894223691298257
Qwen3.5-35B-A3B-Instruct,Gemma-4-26B-A4B-Instruct,string,20000,100,5000000,2048,2816,248320,262144,False,True,0.42568138673727296,0.0010164683226867096,0.00010164683226867095,0.42363692927466806,0.4279720686358875,0.4256532831874824,0.18578409221208964,0.004963946000044159,0.0004963946000044159,0.17566044259970365,0.19351098217212212,0.18631444354529117,0.17667561251481612,0.004969894541595676,0.0004969894541595676,0.1668812642710894,0.18474655371256488,0.17685350096276153,0.31015112624950875,0.002470654103640359,0.0002470654103640359,0.30559167940265075,0.31507831822810106,0.30994024047715557,0.4413873193748726,0.0037007228334896827,0.00037007228334896825,0.4349546041276434,0.44872138254151095,0.4415431075961028,0.4358998264418304,0.0037775304104144007,0.0003777530410414401,0.429164933561333,0.44344139389411524,0.43587029155107404
Qwen3.5-35B-A3B-Instruct,DeepSeek-V2-Lite-Chat,string,20000,100,5000000,2048,2048,248320,102400,False,False,0.4581977250915363,0.001024434218983373,0.00010244342189833729,0.4563308220102917,0.4602844679590713,0.4581999942961232,0.5273459517528817,0.005191345637146197,0.0005191345637146197,0.5179128423370684,0.538300470260941,0.5275823090627807,0.5215921138007339,0.005103362728190723,0.0005103362728190724,0.5119929520381211,0.5321462160428824,0.521693015865749,0.5458900678068249,0.0028961392793178326,0.00028961392793178326,0.5409976561688845,0.5519709614782266,0.5459621951805191,0.6409992918641795,0.004173002884809954,0.0004173002884809954,0.6334987407332651,0.6496926845399924,0.6412065887612994,0.6375894384679703,0.004292137319682306,0.0004292137319682306,0.6298674058974656,0.6463706494794917,0.6380306020740645
Qwen3.5-35B-A3B-Instruct,DeepSeek-R1-0528,string,20000,100,5000000,2048,7168,248320,129280,False,False,0.46172955474664706,0.0010373128566088282,0.00010373128566088282,0.45956302403651883,0.463410671802538,0.46179998872659667,0.3209196039759181,0.00554334212048173,0.000554334212048173,0.30972925836757204,0.3300187716907791,0.32112144237412843,0.3167382279329419,0.005432930864283684,0.0005432930864283684,0.30566630178836934,0.3256953450792116,0.3168714725535937,0.47100940748802617,0.0019945850695305004,0.00019945850695305003,0.46797985427993155,0.4746720532783717,0.4708060307299613,0.695140357366639,0.004250490557337734,0.00042504905573377343,0.6873354267762981,0.7024407479417414,0.6951670120835742,0.6894199191295695,0.0044009057646595745,0.00044009057646595746,0.6817032932932755,0.6971334415005355,0.6895016878456786
