model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,task1_base_instruct,id,248044,24000,1024,1024,248320,248320,True,True,0.997949276132325,0.040632392207659594,31.689210891723633,0.00783588644117117,0.997949276132325,0.040632392207659594,31.689210891723633,0.00783588644117117
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,task1_base_instruct,id,248044,24000,2560,2560,248320,248320,True,True,0.9974521882021828,0.04677609383074215,50.063934326171875,0.008134049363434315,0.9974521882021828,0.04677609383074215,50.063934326171875,0.008134049363434315
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,task1_base_instruct,id,248044,24000,2048,2048,248320,248320,True,True,0.9968726611951201,0.05038732564849961,44.72874450683594,0.009580695070326328,0.9968726611951201,0.05038732564849961,44.72874450683594,0.009580695070326328
Qwen3-0.6B-Base,Qwen3-0.6B,task1_base_instruct,id,151643,24000,1024,1024,151936,151936,True,True,0.9886933968942051,0.10062649562187921,30.622657775878906,0.08346186578273773,0.9886933968942051,0.10062649562187921,30.622657775878906,0.08346186578273773
Qwen3-1.7B-Base,Qwen3-1.7B,task1_base_instruct,id,151643,24000,2048,2048,151936,151936,True,True,0.9943875669804451,0.07302732466321059,44.004920959472656,0.14210258424282074,0.9943875669804451,0.07302732466321059,44.004920959472656,0.14210258424282074
Qwen3-4B-Base,Qwen3-4B,task1_base_instruct,id,151643,24000,2560,2560,151936,151936,True,True,0.9910817631256006,0.09062690667446836,48.92392349243164,0.12869010865688324,0.9910817631256006,0.09062690667446836,48.92392349243164,0.12869010865688324
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,task1_base_instruct,id,151643,24000,896,896,151936,151936,True,True,0.9905606041393752,0.08932597523018568,28.951669692993164,0.010567608289420605,0.9905606041393752,0.08932597523018568,28.951669692993164,0.010567608289420605
Qwen3-14B-Base,Qwen3-14B,task1_base_instruct,id,151643,24000,5120,5120,151936,151936,False,False,0.9965326171129416,0.05830451011227175,70.95116424560547,0.00259163836017251,0.9949739148514858,0.07019722011346155,69.8210678100586,0.09375465661287308
Qwen3-8B-Base,Qwen3-8B,task1_base_instruct,id,151643,24000,4096,4096,151936,151936,False,False,0.9964203306085269,0.059342698265673545,63.23115158081055,0.0023082506377249956,0.9951326429702934,0.06795797005416622,62.42788314819336,0.1247297003865242
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,task1_base_instruct,id,151643,24000,1536,1536,151936,151936,True,True,0.9997003455771837,0.0164073343911173,39.01015090942383,0.013497449457645416,0.9997003455771837,0.0164073343911173,39.01015090942383,0.013497449457645416
